STATE,DISTRICT,YEAR,Murder,Rape,Kidnapping Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against STs,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
ANDHRA PRADESH,ADILABAD,2001,0,1,2,0,0,0,2,0,0,13,ST,02_District_wise_crimes_committed_against_ST_2001_2012.csv,0,02_District_wise_crimes_committed_against_ST_2001_2012.csv::0,False,UNIQUE,ADILABAD,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,ANANTAPUR,2001,0,0,0,0,0,0,7,0,1,6,ST,02_District_wise_crimes_committed_against_ST_2001_2012.csv,1,02_District_wise_crimes_committed_against_ST_2001_2012.csv::1,False,UNIQUE,ANANTAPUR,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,CHITTOOR,2001,0,0,0,0,0,0,2,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2001_2012.csv,2,02_District_wise_crimes_committed_against_ST_2001_2012.csv::2,False,UNIQUE,CHITTOOR,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,CUDDAPAH,2001,0,0,0,0,0,0,2,0,2,0,ST,02_District_wise_crimes_committed_against_ST_2001_2012.csv,3,02_District_wise_crimes_committed_against_ST_2001_2012.csv::3,False,UNIQUE,CUDDAPAH,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,EAST GODAVARI,2001,0,0,0,0,0,0,0,0,0,14,ST,02_District_wise_crimes_committed_against_ST_2001_2012.csv,4,02_District_wise_crimes_committed_against_ST_2001_2012.csv::4,False,UNIQUE,EAST GODAVARI,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,GUNTAKAL RLY.,2001,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2001_2012.csv,5,02_District_wise_crimes_committed_against_ST_2001_2012.csv::5,False,UNIQUE,GUNTAKAL RLY.,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,GUNTUR,2001,0,2,1,0,0,0,10,0,3,19,ST,02_District_wise_crimes_committed_against_ST_2001_2012.csv,6,02_District_wise_crimes_committed_against_ST_2001_2012.csv::6,False,UNIQUE,GUNTUR,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,HYDERABAD CITY,2001,0,0,0,0,0,0,0,0,0,2,ST,02_District_wise_crimes_committed_against_ST_2001_2012.csv,7,02_District_wise_crimes_committed_against_ST_2001_2012.csv::7,False,UNIQUE,HYDERABAD CITY,SPECIAL_UNIT,VALID
ANDHRA PRADESH,KARIMNAGAR,2001,0,0,0,0,0,0,15,0,0,2,ST,02_District_wise_crimes_committed_against_ST_2001_2012.csv,8,02_District_wise_crimes_committed_against_ST_2001_2012.csv::8,False,UNIQUE,KARIMNAGAR,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,KHAMMAM,2001,1,4,0,0,0,0,8,0,9,20,ST,02_District_wise_crimes_committed_against_ST_2001_2012.csv,9,02_District_wise_crimes_committed_against_ST_2001_2012.csv::9,False,UNIQUE,KHAMMAM,DISTRICT_OR_REPORTING_UNIT,VALID
