STATE,DISTRICT,YEAR,Murder,Rape,Kidnapping Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against STs,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
Andhra Pradesh,ADILABAD,2013,0,7,0,0,0,0,2,0,6,25,ST,02_District_wise_crimes_committed_against_ST_2013.csv,0,02_District_wise_crimes_committed_against_ST_2013.csv::0,False,UNIQUE,ADILABAD,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,ANANTAPUR,2013,0,0,0,0,0,0,3,0,1,9,ST,02_District_wise_crimes_committed_against_ST_2013.csv,1,02_District_wise_crimes_committed_against_ST_2013.csv::1,False,UNIQUE,ANANTAPUR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,CHITTOOR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,2,02_District_wise_crimes_committed_against_ST_2013.csv::2,False,UNIQUE,CHITTOOR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,CUDDAPAH,2013,0,1,0,0,0,0,17,0,2,10,ST,02_District_wise_crimes_committed_against_ST_2013.csv,3,02_District_wise_crimes_committed_against_ST_2013.csv::3,False,UNIQUE,CUDDAPAH,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,CYBERABAD,2013,1,2,0,0,0,0,1,0,19,18,ST,02_District_wise_crimes_committed_against_ST_2013.csv,4,02_District_wise_crimes_committed_against_ST_2013.csv::4,False,UNIQUE,CYBERABAD,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,EAST GODAVARI,2013,0,3,0,0,0,0,0,0,3,15,ST,02_District_wise_crimes_committed_against_ST_2013.csv,5,02_District_wise_crimes_committed_against_ST_2013.csv::5,False,UNIQUE,EAST GODAVARI,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,GUNTAKAL RLY.,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,6,02_District_wise_crimes_committed_against_ST_2013.csv::6,False,UNIQUE,GUNTAKAL RLY.,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,GUNTUR,2013,1,0,0,0,0,0,3,0,2,40,ST,02_District_wise_crimes_committed_against_ST_2013.csv,7,02_District_wise_crimes_committed_against_ST_2013.csv::7,False,UNIQUE,GUNTUR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,GUNTUR URBAN,2013,0,0,0,0,0,1,3,0,0,10,ST,02_District_wise_crimes_committed_against_ST_2013.csv,8,02_District_wise_crimes_committed_against_ST_2013.csv::8,False,UNIQUE,GUNTUR URBAN,SPECIAL_UNIT,VALID
Andhra Pradesh,HYDERABAD CITY,2013,0,0,0,0,0,0,0,0,6,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,9,02_District_wise_crimes_committed_against_ST_2013.csv::9,False,UNIQUE,HYDERABAD CITY,SPECIAL_UNIT,VALID
Andhra Pradesh,KARIMNAGAR,2013,0,2,0,0,0,0,2,0,7,30,ST,02_District_wise_crimes_committed_against_ST_2013.csv,10,02_District_wise_crimes_committed_against_ST_2013.csv::10,False,UNIQUE,KARIMNAGAR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,KHAMMAM,2013,0,5,0,0,0,0,6,0,6,27,ST,02_District_wise_crimes_committed_against_ST_2013.csv,11,02_District_wise_crimes_committed_against_ST_2013.csv::11,False,UNIQUE,KHAMMAM,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,KRISHNA,2013,1,0,0,0,0,0,1,0,2,10,ST,02_District_wise_crimes_committed_against_ST_2013.csv,12,02_District_wise_crimes_committed_against_ST_2013.csv::12,False,UNIQUE,KRISHNA,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,KURNOOL,2013,0,0,0,0,0,0,1,0,0,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv,13,02_District_wise_crimes_committed_against_ST_2013.csv::13,False,UNIQUE,KURNOOL,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,MAHABOOBNAGAR,2013,3,1,0,0,0,0,10,0,6,41,ST,02_District_wise_crimes_committed_against_ST_2013.csv,14,02_District_wise_crimes_committed_against_ST_2013.csv::14,False,UNIQUE,MAHABOOBNAGAR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,MEDAK,2013,0,3,0,0,0,0,1,0,3,10,ST,02_District_wise_crimes_committed_against_ST_2013.csv,15,02_District_wise_crimes_committed_against_ST_2013.csv::15,False,UNIQUE,MEDAK,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,NALGONDA,2013,1,4,0,0,0,0,4,0,7,32,ST,02_District_wise_crimes_committed_against_ST_2013.csv,16,02_District_wise_crimes_committed_against_ST_2013.csv::16,False,UNIQUE,NALGONDA,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,NELLORE,2013,1,2,0,0,0,0,11,0,15,29,ST,02_District_wise_crimes_committed_against_ST_2013.csv,17,02_District_wise_crimes_committed_against_ST_2013.csv::17,False,UNIQUE,NELLORE,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,NIZAMABAD,2013,1,4,0,0,0,0,1,0,3,12,ST,02_District_wise_crimes_committed_against_ST_2013.csv,18,02_District_wise_crimes_committed_against_ST_2013.csv::18,False,UNIQUE,NIZAMABAD,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,PRAKASHAM,2013,0,0,0,0,0,0,1,0,2,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv,19,02_District_wise_crimes_committed_against_ST_2013.csv::19,False,UNIQUE,PRAKASHAM,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,RAJAHMUNDRY,2013,0,0,0,0,0,0,0,0,1,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,20,02_District_wise_crimes_committed_against_ST_2013.csv::20,False,UNIQUE,RAJAHMUNDRY,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,RANGA REDDY,2013,0,0,0,0,0,0,1,0,2,12,ST,02_District_wise_crimes_committed_against_ST_2013.csv,21,02_District_wise_crimes_committed_against_ST_2013.csv::21,False,UNIQUE,RANGA REDDY,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,SECUNDERABAD RLY.,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,22,02_District_wise_crimes_committed_against_ST_2013.csv::22,False,UNIQUE,SECUNDERABAD RLY.,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,SRIKAKULAM,2013,0,0,0,0,0,0,0,0,4,5,ST,02_District_wise_crimes_committed_against_ST_2013.csv,23,02_District_wise_crimes_committed_against_ST_2013.csv::23,False,UNIQUE,SRIKAKULAM,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,TIRUPATHI URBAN,2013,0,0,0,0,0,0,4,0,4,2,ST,02_District_wise_crimes_committed_against_ST_2013.csv,24,02_District_wise_crimes_committed_against_ST_2013.csv::24,False,UNIQUE,TIRUPATHI URBAN,SPECIAL_UNIT,VALID
Andhra Pradesh,VIJAYAWADA CITY,2013,0,0,1,0,0,0,1,0,1,4,ST,02_District_wise_crimes_committed_against_ST_2013.csv,25,02_District_wise_crimes_committed_against_ST_2013.csv::25,False,UNIQUE,VIJAYAWADA CITY,SPECIAL_UNIT,VALID
Andhra Pradesh,VIJAYAWADA RLY.,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,26,02_District_wise_crimes_committed_against_ST_2013.csv::26,False,UNIQUE,VIJAYAWADA RLY.,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,VISAKHA RURAL,2013,0,0,0,0,0,0,2,0,4,6,ST,02_District_wise_crimes_committed_against_ST_2013.csv,27,02_District_wise_crimes_committed_against_ST_2013.csv::27,False,UNIQUE,VISAKHA RURAL,SPECIAL_UNIT,VALID
Andhra Pradesh,VISAKHAPATNAM,2013,0,0,0,0,0,0,1,0,1,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,28,02_District_wise_crimes_committed_against_ST_2013.csv::28,False,UNIQUE,VISAKHAPATNAM,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,VIZIANAGARAM,2013,0,0,0,0,0,0,0,0,6,6,ST,02_District_wise_crimes_committed_against_ST_2013.csv,29,02_District_wise_crimes_committed_against_ST_2013.csv::29,False,UNIQUE,VIZIANAGARAM,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,WARANGAL,2013,0,2,0,0,0,0,4,0,6,27,ST,02_District_wise_crimes_committed_against_ST_2013.csv,30,02_District_wise_crimes_committed_against_ST_2013.csv::30,False,UNIQUE,WARANGAL,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,WARANGAL URBAN,2013,0,1,0,0,0,0,1,0,6,7,ST,02_District_wise_crimes_committed_against_ST_2013.csv,31,02_District_wise_crimes_committed_against_ST_2013.csv::31,False,UNIQUE,WARANGAL URBAN,SPECIAL_UNIT,VALID
Andhra Pradesh,WEST GODAVARI,2013,0,0,1,0,0,0,1,0,1,26,ST,02_District_wise_crimes_committed_against_ST_2013.csv,32,02_District_wise_crimes_committed_against_ST_2013.csv::32,False,UNIQUE,WEST GODAVARI,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,ZZ TOTAL,2013,9,37,2,0,0,1,82,0,126,415,ST,02_District_wise_crimes_committed_against_ST_2013.csv,33,02_District_wise_crimes_committed_against_ST_2013.csv::33,False,UNIQUE,ZZ TOTAL,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,ANJAW,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,34,02_District_wise_crimes_committed_against_ST_2013.csv::34,False,UNIQUE,ANJAW,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,CHANGLANG,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,35,02_District_wise_crimes_committed_against_ST_2013.csv::35,False,UNIQUE,CHANGLANG,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,DIBANG VALLEY,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,36,02_District_wise_crimes_committed_against_ST_2013.csv::36,False,UNIQUE,DIBANG VALLEY,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,K/KUMEY,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,37,02_District_wise_crimes_committed_against_ST_2013.csv::37,False,UNIQUE,K/KUMEY,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,KAMENG EAST,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,38,02_District_wise_crimes_committed_against_ST_2013.csv::38,False,UNIQUE,KAMENG EAST,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,KAMENG WEST,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,39,02_District_wise_crimes_committed_against_ST_2013.csv::39,False,UNIQUE,KAMENG WEST,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,LOHIT,2013,0,1,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,40,02_District_wise_crimes_committed_against_ST_2013.csv::40,False,UNIQUE,LOHIT,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,LONGDING,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,41,02_District_wise_crimes_committed_against_ST_2013.csv::41,False,UNIQUE,LONGDING,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,PAPUM PARE,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,42,02_District_wise_crimes_committed_against_ST_2013.csv::42,False,UNIQUE,PAPUM PARE,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,RURAL,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,43,02_District_wise_crimes_committed_against_ST_2013.csv::43,False,UNIQUE,RURAL,SPECIAL_UNIT,VALID
Arunachal Pradesh,SIANG EAST,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,44,02_District_wise_crimes_committed_against_ST_2013.csv::44,False,UNIQUE,SIANG EAST,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,SIANG UPPER,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,45,02_District_wise_crimes_committed_against_ST_2013.csv::45,False,UNIQUE,SIANG UPPER,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,SIANG WEST,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,46,02_District_wise_crimes_committed_against_ST_2013.csv::46,False,UNIQUE,SIANG WEST,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,SUBANSIRI LOWER,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,47,02_District_wise_crimes_committed_against_ST_2013.csv::47,False,UNIQUE,SUBANSIRI LOWER,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,SUBANSIRI UPPER,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,48,02_District_wise_crimes_committed_against_ST_2013.csv::48,False,UNIQUE,SUBANSIRI UPPER,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,TAWANG,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,49,02_District_wise_crimes_committed_against_ST_2013.csv::49,False,UNIQUE,TAWANG,DISTRICT_OR_REPORTING_UNIT,VALID
