STATE,DISTRICT,YEAR,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
ANDHRA PRADESH,ADILABAD,2001,50,30,16,149,34,175,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,0,42_District_wise_crimes_committed_against_women_2001_2012.csv::0,False,UNIQUE,ADILABAD,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,ANANTAPUR,2001,23,30,7,118,24,154,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,1,42_District_wise_crimes_committed_against_women_2001_2012.csv::1,False,UNIQUE,ANANTAPUR,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,CHITTOOR,2001,27,34,14,112,83,186,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,2,42_District_wise_crimes_committed_against_women_2001_2012.csv::2,False,UNIQUE,CHITTOOR,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,CUDDAPAH,2001,20,20,17,126,38,57,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,3,42_District_wise_crimes_committed_against_women_2001_2012.csv::3,False,UNIQUE,CUDDAPAH,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,EAST GODAVARI,2001,23,26,12,109,58,247,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,4,42_District_wise_crimes_committed_against_women_2001_2012.csv::4,False,UNIQUE,EAST GODAVARI,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,GUNTAKAL RLY.,2001,0,0,0,1,0,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,5,42_District_wise_crimes_committed_against_women_2001_2012.csv::5,False,UNIQUE,GUNTAKAL RLY.,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,GUNTUR,2001,54,51,7,139,129,378,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,6,42_District_wise_crimes_committed_against_women_2001_2012.csv::6,False,UNIQUE,GUNTUR,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,HYDERABAD CITY,2001,37,39,24,118,27,746,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,7,42_District_wise_crimes_committed_against_women_2001_2012.csv::7,False,UNIQUE,HYDERABAD CITY,SPECIAL_UNIT,VALID
ANDHRA PRADESH,KARIMNAGAR,2001,56,49,62,414,81,224,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,8,42_District_wise_crimes_committed_against_women_2001_2012.csv::8,False,UNIQUE,KARIMNAGAR,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,KHAMMAM,2001,47,30,17,180,336,172,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,9,42_District_wise_crimes_committed_against_women_2001_2012.csv::9,False,UNIQUE,KHAMMAM,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,KRISHNA,2001,37,21,10,208,72,265,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,10,42_District_wise_crimes_committed_against_women_2001_2012.csv::10,False,UNIQUE,KRISHNA,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,KURNOOL,2001,29,47,13,141,107,92,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,11,42_District_wise_crimes_committed_against_women_2001_2012.csv::11,False,UNIQUE,KURNOOL,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,MAHABOOBNAGAR,2001,59,27,14,176,41,69,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,12,42_District_wise_crimes_committed_against_women_2001_2012.csv::12,False,UNIQUE,MAHABOOBNAGAR,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,MEDAK,2001,35,20,26,100,25,192,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,13,42_District_wise_crimes_committed_against_women_2001_2012.csv::13,False,UNIQUE,MEDAK,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,NALGONDA,2001,35,19,31,188,59,214,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,14,42_District_wise_crimes_committed_against_women_2001_2012.csv::14,False,UNIQUE,NALGONDA,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,NELLORE,2001,46,80,10,207,228,287,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,15,42_District_wise_crimes_committed_against_women_2001_2012.csv::15,False,UNIQUE,NELLORE,DISTRICT_OR_REPORTING_UNIT,VALID
ANDHRA PRADESH,NIZAMABAD,2001,21,21,19,55,15,228,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,16,42_District_wise_crimes_committed_against_women_2001_2012.csv::16,False,UNIQUE,NIZAMABAD,DISTRICT_OR_REPORTING_UNIT,VALID
