STATE,DISTRICT,YEAR,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
Andhra Pradesh,ADILABAD,2013,61,47,12,197,138,464,0,WOMEN,42_District_wise_crimes_committed_against_women_2013.csv,0,42_District_wise_crimes_committed_against_women_2013.csv::0,False,UNIQUE,ADILABAD,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,ANANTAPUR,2013,28,84,23,337,43,161,0,WOMEN,42_District_wise_crimes_committed_against_women_2013.csv,1,42_District_wise_crimes_committed_against_women_2013.csv::1,False,UNIQUE,ANANTAPUR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,CHITTOOR,2013,31,27,13,119,84,435,0,WOMEN,42_District_wise_crimes_committed_against_women_2013.csv,2,42_District_wise_crimes_committed_against_women_2013.csv::2,False,UNIQUE,CHITTOOR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,CUDDAPAH,2013,19,50,9,318,163,207,0,WOMEN,42_District_wise_crimes_committed_against_women_2013.csv,3,42_District_wise_crimes_committed_against_women_2013.csv::3,False,UNIQUE,CUDDAPAH,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,CYBERABAD,2013,138,129,43,350,338,1526,0,WOMEN,42_District_wise_crimes_committed_against_women_2013.csv,4,42_District_wise_crimes_committed_against_women_2013.csv::4,False,UNIQUE,CYBERABAD,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,EAST GODAVARI,2013,74,33,15,352,222,483,0,WOMEN,42_District_wise_crimes_committed_against_women_2013.csv,5,42_District_wise_crimes_committed_against_women_2013.csv::5,False,UNIQUE,EAST GODAVARI,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,GUNTAKAL RLY.,2013,0,0,0,3,2,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2013.csv,6,42_District_wise_crimes_committed_against_women_2013.csv::6,False,UNIQUE,GUNTAKAL RLY.,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,GUNTUR,2013,38,54,16,296,135,608,0,WOMEN,42_District_wise_crimes_committed_against_women_2013.csv,7,42_District_wise_crimes_committed_against_women_2013.csv::7,False,UNIQUE,GUNTUR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,GUNTUR URBAN,2013,28,34,7,124,93,326,0,WOMEN,42_District_wise_crimes_committed_against_women_2013.csv,8,42_District_wise_crimes_committed_against_women_2013.csv::8,False,UNIQUE,GUNTUR URBAN,SPECIAL_UNIT,VALID
Andhra Pradesh,HYDERABAD CITY,2013,101,52,39,225,90,1480,0,WOMEN,42_District_wise_crimes_committed_against_women_2013.csv,9,42_District_wise_crimes_committed_against_women_2013.csv::9,False,UNIQUE,HYDERABAD CITY,SPECIAL_UNIT,VALID
