STATE,DISTRICT,YEAR,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against SCs,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
Andhra Pradesh,ADILABAD,2013,2,3,0,0,0,0,8,0,15,42,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv,0,02_01_District_wise_crimes_committed_against_SC_2013.csv::0,False,UNIQUE,ADILABAD,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,ANANTAPUR,2013,2,4,0,0,0,0,37,0,18,56,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv,1,02_01_District_wise_crimes_committed_against_SC_2013.csv::1,False,UNIQUE,ANANTAPUR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,CHITTOOR,2013,2,3,0,0,0,1,27,0,9,55,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv,2,02_01_District_wise_crimes_committed_against_SC_2013.csv::2,False,UNIQUE,CHITTOOR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,CUDDAPAH,2013,2,2,0,0,0,0,78,0,22,72,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv,3,02_01_District_wise_crimes_committed_against_SC_2013.csv::3,False,UNIQUE,CUDDAPAH,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,CYBERABAD,2013,2,8,0,0,0,0,15,1,61,58,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv,4,02_01_District_wise_crimes_committed_against_SC_2013.csv::4,False,UNIQUE,CYBERABAD,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,EAST GODAVARI,2013,3,9,0,0,0,1,26,2,28,112,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv,5,02_01_District_wise_crimes_committed_against_SC_2013.csv::5,False,UNIQUE,EAST GODAVARI,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,GUNTAKAL RLY.,2013,0,0,0,0,0,0,0,0,0,0,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv,6,02_01_District_wise_crimes_committed_against_SC_2013.csv::6,False,UNIQUE,GUNTAKAL RLY.,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,GUNTUR,2013,4,4,3,0,0,0,44,0,14,75,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv,7,02_01_District_wise_crimes_committed_against_SC_2013.csv::7,False,UNIQUE,GUNTUR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,KARIMNAGAR,2013,4,9,0,0,0,1,23,1,70,113,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv,10,02_01_District_wise_crimes_committed_against_SC_2013.csv::10,False,UNIQUE,KARIMNAGAR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,KHAMMAM,2013,0,5,0,0,0,0,4,0,4,34,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv,11,02_01_District_wise_crimes_committed_against_SC_2013.csv::11,False,UNIQUE,KHAMMAM,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,KRISHNA,2013,2,1,0,0,0,0,21,0,8,45,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv,12,02_01_District_wise_crimes_committed_against_SC_2013.csv::12,False,UNIQUE,KRISHNA,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,KURNOOL,2013,4,2,0,3,0,0,51,0,45,129,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv,13,02_01_District_wise_crimes_committed_against_SC_2013.csv::13,False,UNIQUE,KURNOOL,DISTRICT_OR_REPORTING_UNIT,VALID
