STATE,DISTRICT,YEAR,Infanticid,Other murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
Andhra Pradesh,ADILABAD,2013,0,1,21,9,0,0,0,0,0,0,1,1,33,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,0,03_District_wise_crimes_committed_against_children_2013.csv::0,False,UNIQUE,ADILABAD,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,ANANTAPUR,2013,0,1,15,68,0,3,0,0,0,0,0,0,87,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,1,03_District_wise_crimes_committed_against_children_2013.csv::1,False,UNIQUE,ANANTAPUR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,CHITTOOR,2013,0,6,1,0,0,0,0,0,0,0,0,0,7,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,2,03_District_wise_crimes_committed_against_children_2013.csv::2,False,UNIQUE,CHITTOOR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,CUDDAPAH,2013,2,0,14,32,0,0,0,0,0,0,1,0,49,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,3,03_District_wise_crimes_committed_against_children_2013.csv::3,False,UNIQUE,CUDDAPAH,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,CYBERABAD,2013,1,8,45,69,2,0,2,9,0,0,1,19,156,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,4,03_District_wise_crimes_committed_against_children_2013.csv::4,False,UNIQUE,CYBERABAD,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,EAST GODAVARI,2013,0,0,4,1,0,0,0,0,0,0,0,20,25,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,5,03_District_wise_crimes_committed_against_children_2013.csv::5,False,UNIQUE,EAST GODAVARI,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,GUNTAKAL RLY.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,6,03_District_wise_crimes_committed_against_children_2013.csv::6,False,UNIQUE,GUNTAKAL RLY.,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,GUNTUR,2013,1,9,21,46,0,0,7,0,0,0,0,0,84,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,7,03_District_wise_crimes_committed_against_children_2013.csv::7,False,UNIQUE,GUNTUR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,KARIMNAGAR,2013,1,3,33,84,0,0,0,0,0,0,1,4,126,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,10,03_District_wise_crimes_committed_against_children_2013.csv::10,False,UNIQUE,KARIMNAGAR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,KHAMMAM,2013,1,4,46,83,1,0,0,0,0,0,2,89,226,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,11,03_District_wise_crimes_committed_against_children_2013.csv::11,False,UNIQUE,KHAMMAM,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,KRISHNA,2013,0,2,49,35,0,3,0,0,0,0,0,81,170,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,12,03_District_wise_crimes_committed_against_children_2013.csv::12,False,UNIQUE,KRISHNA,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,KURNOOL,2013,1,0,15,50,0,0,6,0,0,0,0,27,99,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,13,03_District_wise_crimes_committed_against_children_2013.csv::13,False,UNIQUE,KURNOOL,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,MAHABOOBNAGAR,2013,0,12,70,35,0,0,2,6,0,0,0,0,125,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,14,03_District_wise_crimes_committed_against_children_2013.csv::14,False,UNIQUE,MAHABOOBNAGAR,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,MEDAK,2013,0,1,35,11,0,0,2,17,0,0,0,0,66,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,15,03_District_wise_crimes_committed_against_children_2013.csv::15,False,UNIQUE,MEDAK,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,NALGONDA,2013,0,1,53,70,2,0,1,0,0,0,3,0,130,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,16,03_District_wise_crimes_committed_against_children_2013.csv::16,False,UNIQUE,NALGONDA,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,NELLORE,2013,0,4,13,61,0,1,3,0,0,0,0,55,137,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,17,03_District_wise_crimes_committed_against_children_2013.csv::17,False,UNIQUE,NELLORE,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,NIZAMABAD,2013,0,6,24,9,2,0,5,6,0,0,2,11,65,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,18,03_District_wise_crimes_committed_against_children_2013.csv::18,False,UNIQUE,NIZAMABAD,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,PRAKASHAM,2013,0,3,35,36,0,0,1,1,0,1,0,57,134,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,19,03_District_wise_crimes_committed_against_children_2013.csv::19,False,UNIQUE,PRAKASHAM,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,RAJAHMUNDRY,2013,0,0,10,2,0,0,1,0,0,0,0,9,22,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,20,03_District_wise_crimes_committed_against_children_2013.csv::20,False,UNIQUE,RAJAHMUNDRY,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,RANGA REDDY,2013,0,5,21,13,0,0,0,0,0,0,1,6,46,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,21,03_District_wise_crimes_committed_against_children_2013.csv::21,False,UNIQUE,RANGA REDDY,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,SECUNDERABAD RLY.,2013,0,1,0,2,0,0,0,0,0,0,0,0,3,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,22,03_District_wise_crimes_committed_against_children_2013.csv::22,False,UNIQUE,SECUNDERABAD RLY.,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,SRIKAKULAM,2013,0,2,18,15,0,2,0,0,0,0,1,32,70,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,23,03_District_wise_crimes_committed_against_children_2013.csv::23,False,UNIQUE,SRIKAKULAM,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,VIJAYAWADA RLY.,2013,0,0,0,1,0,0,4,0,0,0,0,1,6,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,26,03_District_wise_crimes_committed_against_children_2013.csv::26,False,UNIQUE,VIJAYAWADA RLY.,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,VISAKHAPATNAM,2013,0,2,33,54,0,0,0,0,0,0,0,3,92,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,28,03_District_wise_crimes_committed_against_children_2013.csv::28,False,UNIQUE,VISAKHAPATNAM,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,VIZIANAGARAM,2013,0,0,13,10,0,0,0,0,0,0,0,17,40,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,29,03_District_wise_crimes_committed_against_children_2013.csv::29,False,UNIQUE,VIZIANAGARAM,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,WARANGAL,2013,0,3,33,45,0,4,0,0,0,0,1,1,87,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,30,03_District_wise_crimes_committed_against_children_2013.csv::30,False,UNIQUE,WARANGAL,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,WEST GODAVARI,2013,0,8,41,48,0,0,0,0,0,1,1,17,116,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,32,03_District_wise_crimes_committed_against_children_2013.csv::32,False,UNIQUE,WEST GODAVARI,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,ANJAW,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,34,03_District_wise_crimes_committed_against_children_2013.csv::34,False,UNIQUE,ANJAW,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,CHANGLANG,2013,0,0,4,5,0,0,0,0,0,0,0,0,9,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,35,03_District_wise_crimes_committed_against_children_2013.csv::35,False,UNIQUE,CHANGLANG,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,DIBANG VALLEY,2013,0,0,0,1,0,0,0,0,0,0,0,2,3,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,36,03_District_wise_crimes_committed_against_children_2013.csv::36,False,UNIQUE,DIBANG VALLEY,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,K/KUMEY,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,37,03_District_wise_crimes_committed_against_children_2013.csv::37,False,UNIQUE,K/KUMEY,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,KAMENG EAST,2013,0,0,1,7,0,0,0,0,0,0,0,0,8,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,38,03_District_wise_crimes_committed_against_children_2013.csv::38,False,UNIQUE,KAMENG EAST,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,KAMENG WEST,2013,0,0,1,0,0,0,0,0,0,0,0,0,1,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,39,03_District_wise_crimes_committed_against_children_2013.csv::39,False,UNIQUE,KAMENG WEST,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,LOHIT,2013,0,0,7,14,0,0,0,0,0,0,0,0,21,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,40,03_District_wise_crimes_committed_against_children_2013.csv::40,False,UNIQUE,LOHIT,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,LONGDING,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,41,03_District_wise_crimes_committed_against_children_2013.csv::41,False,UNIQUE,LONGDING,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,PAPUM PARE,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,42,03_District_wise_crimes_committed_against_children_2013.csv::42,False,UNIQUE,PAPUM PARE,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,SIANG EAST,2013,0,0,8,5,0,0,0,0,0,0,0,2,15,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,44,03_District_wise_crimes_committed_against_children_2013.csv::44,False,UNIQUE,SIANG EAST,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,SIANG UPPER,2013,0,0,0,1,0,0,0,0,0,0,0,0,1,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,45,03_District_wise_crimes_committed_against_children_2013.csv::45,False,UNIQUE,SIANG UPPER,DISTRICT_OR_REPORTING_UNIT,VALID
