STATE,DISTRICT,YEAR,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnaping & Abduction,Kidnaping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Kidnaping & Abduction_Others,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Sexual Harassment,Assault on women with intent to Disrobe,Voyeurism,Stalking,Others,Insult to the Modesty of Women_Total,At Office premises,In places related to work,In Public Transport system,In other Places,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Deaths caused with intent to cause miscarriage,Causing miscarriage without consent of women,Dacoity_Total,Dacoity with Murder,Other Dacoity,Robbery,Arson,HumanTrafficking,Abetment of Suicides of Women,UnNatural Offences,Other IPC Crimes,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986","Commission of Sati Prevention Act, 1987","Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,ITP Under Section 5,ITP Under Section 6,ITP Under Section 7,ITP Under Section 8,ITP Under Other Sections,Other SLL Crimes against Women,Total Crimes against Women,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
Andhra Pradesh,Anantapur,2014,35,0,0,0,35,0,35,1,106,0,0,0,88,18,25,436,82,34,4,80,236,26,0,0,0,26,165,0,50,20,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,1097,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,0,42_District_wise_crimes_committed_against_women_2014.csv::0,False,UNIQUE,Anantapur,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,Chittoor,2014,32,0,0,0,32,1,31,0,34,3,0,1,28,2,17,135,0,0,0,0,135,94,0,0,0,94,278,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,607,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,1,42_District_wise_crimes_committed_against_women_2014.csv::1,False,UNIQUE,Chittoor,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,Cuddapah,2014,28,0,0,0,28,0,28,4,16,0,0,0,11,5,16,215,212,0,0,0,3,12,1,11,0,0,91,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,175,0,0,0,5,0,0,0,0,5,0,609,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,2,42_District_wise_crimes_committed_against_women_2014.csv::2,False,UNIQUE,Cuddapah,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,East Godavari,2014,85,0,0,0,85,0,85,18,25,0,0,0,0,25,7,519,159,61,11,55,233,62,0,0,0,62,464,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,22,0,0,0,16,0,0,0,0,16,0,1277,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,3,42_District_wise_crimes_committed_against_women_2014.csv::3,False,UNIQUE,East Godavari,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,Guntur,2014,49,0,0,0,49,0,49,24,46,5,0,0,0,41,16,245,17,7,3,8,210,347,0,0,0,347,454,0,33,9,0,0,6,6,0,0,0,0,0,0,0,3,4,0,39,0,0,0,0,0,0,11,0,0,0,0,11,14,1300,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,5,42_District_wise_crimes_committed_against_women_2014.csv::5,False,UNIQUE,Guntur,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,Krishna,2014,80,0,0,0,80,1,79,20,34,13,0,0,19,2,8,354,98,44,13,76,123,232,2,0,0,230,613,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,35,0,0,0,0,0,0,4,0,0,0,0,4,0,1411,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,7,42_District_wise_crimes_committed_against_women_2014.csv::7,False,UNIQUE,Krishna,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,Kurnool,2014,32,0,0,0,32,1,31,4,37,0,0,0,16,21,12,403,81,18,2,40,262,251,0,0,0,251,362,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,39,0,0,0,2,0,0,0,0,2,0,1213,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,8,42_District_wise_crimes_committed_against_women_2014.csv::8,False,UNIQUE,Kurnool,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,Nellore,2014,58,0,0,0,58,3,55,16,124,48,1,1,64,10,14,295,79,14,8,32,162,205,0,62,56,87,362,0,35,28,0,0,4,1,1,2,0,0,1,0,1,17,5,1,0,0,0,1,0,0,0,19,0,0,0,0,19,0,1185,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,9,42_District_wise_crimes_committed_against_women_2014.csv::9,False,UNIQUE,Nellore,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,Prakasham,2014,50,0,0,0,50,2,48,8,50,17,0,0,11,22,8,197,24,3,7,13,150,16,0,0,0,16,402,0,24,11,1,0,2,2,0,0,0,0,0,0,0,10,4,0,0,0,0,1,2,0,0,12,12,0,0,0,0,0,798,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,10,42_District_wise_crimes_committed_against_women_2014.csv::10,False,UNIQUE,Prakasham,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,Rajahmundry,2014,35,0,0,0,35,1,34,3,8,0,0,1,2,5,3,121,37,6,0,17,61,27,0,0,0,27,190,0,10,10,0,0,1,1,0,0,0,0,0,0,0,6,1,0,3,0,90,0,0,0,0,0,0,0,0,0,0,0,508,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,11,42_District_wise_crimes_committed_against_women_2014.csv::11,False,UNIQUE,Rajahmundry,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,Srikakulam,2014,40,0,0,0,40,1,39,3,10,5,0,0,5,0,3,214,26,45,0,22,121,91,0,6,6,79,298,0,11,8,1,0,18,17,1,0,0,0,0,0,0,4,1,0,22,0,10,0,1,0,0,3,3,0,0,0,0,2,740,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,12,42_District_wise_crimes_committed_against_women_2014.csv::12,False,UNIQUE,Srikakulam,DISTRICT_OR_REPORTING_UNIT,VALID
Andhra Pradesh,Visakhapatnam,2014,84,0,0,0,84,0,84,0,50,50,0,0,0,0,13,147,50,0,0,27,70,112,0,0,0,112,371,0,8,13,0,0,16,15,1,0,0,0,1,0,1,6,2,0,0,0,92,0,0,0,0,21,0,0,0,0,21,2,938,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,17,42_District_wise_crimes_committed_against_women_2014.csv::17,False,UNIQUE,Visakhapatnam,DISTRICT_OR_REPORTING_UNIT,VALID
