STATE,DISTRICT,YEAR,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against SCs,CRIME_GROUP,SOURCE_FILE
Andhra Pradesh,ADILABAD,2013,2,3,0,0,0,0,8,0,15,42,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv
Andhra Pradesh,ANANTAPUR,2013,2,4,0,0,0,0,37,0,18,56,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv
Andhra Pradesh,CHITTOOR,2013,2,3,0,0,0,1,27,0,9,55,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv
Andhra Pradesh,CUDDAPAH,2013,2,2,0,0,0,0,78,0,22,72,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv
Andhra Pradesh,CYBERABAD,2013,2,8,0,0,0,0,15,1,61,58,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv
Andhra Pradesh,EAST GODAVARI,2013,3,9,0,0,0,1,26,2,28,112,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv
Andhra Pradesh,GUNTAKAL RLY.,2013,0,0,0,0,0,0,0,0,0,0,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv
Andhra Pradesh,GUNTUR,2013,4,4,3,0,0,0,44,0,14,75,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv
Andhra Pradesh,GUNTUR URBAN,2013,2,3,0,0,0,0,9,0,10,30,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv
Andhra Pradesh,HYDERABAD CITY,2013,1,3,0,0,0,0,0,0,110,2,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv
Andhra Pradesh,KARIMNAGAR,2013,4,9,0,0,0,1,23,1,70,113,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv
Andhra Pradesh,KHAMMAM,2013,0,5,0,0,0,0,4,0,4,34,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv
Andhra Pradesh,KRISHNA,2013,2,1,0,0,0,0,21,0,8,45,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv
Andhra Pradesh,KURNOOL,2013,4,2,0,3,0,0,51,0,45,129,SC,02_01_District_wise_crimes_committed_against_SC_2013.csv
