STATE,DISTRICT,YEAR,Murder,Rape,Kidnapping Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against STs,CRIME_GROUP,SOURCE_FILE
Andhra Pradesh,ADILABAD,2013,0,7,0,0,0,0,2,0,6,25,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,ANANTAPUR,2013,0,0,0,0,0,0,3,0,1,9,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,CHITTOOR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,CUDDAPAH,2013,0,1,0,0,0,0,17,0,2,10,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,CYBERABAD,2013,1,2,0,0,0,0,1,0,19,18,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,EAST GODAVARI,2013,0,3,0,0,0,0,0,0,3,15,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,GUNTAKAL RLY.,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,GUNTUR,2013,1,0,0,0,0,0,3,0,2,40,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,GUNTUR URBAN,2013,0,0,0,0,0,1,3,0,0,10,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,HYDERABAD CITY,2013,0,0,0,0,0,0,0,0,6,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,KARIMNAGAR,2013,0,2,0,0,0,0,2,0,7,30,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,KHAMMAM,2013,0,5,0,0,0,0,6,0,6,27,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,KRISHNA,2013,1,0,0,0,0,0,1,0,2,10,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,KURNOOL,2013,0,0,0,0,0,0,1,0,0,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,MAHABOOBNAGAR,2013,3,1,0,0,0,0,10,0,6,41,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,MEDAK,2013,0,3,0,0,0,0,1,0,3,10,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,NALGONDA,2013,1,4,0,0,0,0,4,0,7,32,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,NELLORE,2013,1,2,0,0,0,0,11,0,15,29,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,NIZAMABAD,2013,1,4,0,0,0,0,1,0,3,12,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,PRAKASHAM,2013,0,0,0,0,0,0,1,0,2,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,RAJAHMUNDRY,2013,0,0,0,0,0,0,0,0,1,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,RANGA REDDY,2013,0,0,0,0,0,0,1,0,2,12,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,SECUNDERABAD RLY.,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,SRIKAKULAM,2013,0,0,0,0,0,0,0,0,4,5,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,TIRUPATHI URBAN,2013,0,0,0,0,0,0,4,0,4,2,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,VIJAYAWADA CITY,2013,0,0,1,0,0,0,1,0,1,4,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,VIJAYAWADA RLY.,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,VISAKHA RURAL,2013,0,0,0,0,0,0,2,0,4,6,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,VISAKHAPATNAM,2013,0,0,0,0,0,0,1,0,1,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,VIZIANAGARAM,2013,0,0,0,0,0,0,0,0,6,6,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,WARANGAL,2013,0,2,0,0,0,0,4,0,6,27,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,WARANGAL URBAN,2013,0,1,0,0,0,0,1,0,6,7,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,WEST GODAVARI,2013,0,0,1,0,0,0,1,0,1,26,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Andhra Pradesh,ZZ TOTAL,2013,9,37,2,0,0,1,82,0,126,415,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,ANJAW,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,CHANGLANG,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,DIBANG VALLEY,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,K/KUMEY,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,KAMENG EAST,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,KAMENG WEST,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,LOHIT,2013,0,1,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,LONGDING,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,PAPUM PARE,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,RURAL,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,SIANG EAST,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,SIANG UPPER,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,SIANG WEST,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,SUBANSIRI LOWER,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,SUBANSIRI UPPER,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,TAWANG,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,TIRAP,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,UPPER DIBANG VALLEY,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Arunachal Pradesh,ZZ TOTAL,2013,0,1,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,BAKSA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,BARPETA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,BIEO,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,BONGAIGAON,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,C.I.D.,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,CACHAR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,CHIRANG,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,DARRANG,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,DHEMAJI,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,DHUBRI,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,DIBRUGARH,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,G.R.P.,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,GOALPARA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,GOLAGHAT,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,GUWAHATI CITY,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,HAILAKANDI,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,HAMREN,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,JORHAT,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,KAMRUP,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,KARBI ANGLONG,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,KARIMGANJ,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,KOKRAJHAR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,LAKHIMPUR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,MORIGAON,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,N.C.HILLS,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,NAGAON,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,NALBARI,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,R.P.O.,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,SIBSAGAR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,SONITPUR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,STF,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,TINSUKIA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,UDALGURI,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Assam,ZZ TOTAL,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,ARARIA,2013,0,0,0,0,0,0,0,0,4,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,ARWAL,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,AURANGABAD,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,BAGAHA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,BANKA,2013,0,0,0,0,0,0,0,0,1,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,BEGUSARAI,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,BETTIAH,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,BHABHUA,2013,0,0,0,0,0,0,4,0,6,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,BHAGALPUR,2013,0,0,0,0,0,0,1,0,1,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,BHOJPUR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,BUXAR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,DARBHANGA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,GAYA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,GOPALGANJ,2013,0,0,0,0,0,0,0,0,4,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,JAMALPUR RLY.,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,JAMUI,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,JEHANABAD,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,KATIHAR,2013,0,0,0,0,0,0,0,0,13,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,KATIHAR RLY.,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,KHAGARIA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,KISHANGANJ,2013,0,0,0,0,0,0,0,0,18,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,LAKHISARAI,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,MADHEPURA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,MADHUBANI,2013,0,0,1,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,MOTIHARI,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,MUNGER,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,MUZAFFARPUR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,MUZAFFARPUR RLY.,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,NALANDA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,NAUGACHIA,2013,2,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,NAWADAH,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,PATNA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,PATNA RLY.,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,PURNEA,2013,0,0,0,0,0,0,10,0,10,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,ROHTAS,2013,0,0,0,0,0,0,0,0,9,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,SAHARSA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,SAMASTIPUR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,SARAN,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,SHEIKHPURA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,SHEOHAR,2013,0,0,0,0,0,0,0,0,0,5,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,SITAMARHI,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,SIWAN,2013,0,0,0,0,0,0,0,0,2,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,SUPAUL,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,VAISHALI,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Bihar,ZZ TOTAL,2013,2,0,1,0,0,0,15,0,68,5,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,BALOD,2013,1,0,0,0,0,0,0,0,0,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,BALODA BAZAR,2013,0,1,0,0,0,0,7,0,0,8,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,BALRAMPUR,2013,0,8,1,0,0,0,3,0,0,10,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,BEMETARA,2013,0,2,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,BILASPUR,2013,0,6,0,0,0,0,5,0,0,13,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,BIZAPUR,2013,0,1,0,0,0,0,0,0,0,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,DANTEWARA,2013,0,2,0,0,0,0,1,0,0,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,DHAMTARI,2013,0,5,0,0,0,0,1,0,0,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,DURG,2013,0,1,0,0,0,0,0,0,0,4,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,GARIYABAND,2013,0,3,0,0,0,0,1,0,0,7,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,GRP RAIPUR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,JAGDALPUR,2013,0,7,1,0,0,0,0,0,0,3,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,JANJGIR,2013,0,1,0,0,0,0,12,0,0,9,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,JASHPUR,2013,2,17,1,0,0,0,6,0,0,12,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,KABIRDHAM,2013,1,1,0,0,0,0,1,0,0,2,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,KANKER,2013,0,7,0,0,0,0,0,0,0,5,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,KONDAGAON,2013,0,0,0,0,0,0,0,0,0,2,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,KORBA,2013,0,7,1,0,0,0,6,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,KORIYA,2013,1,7,0,0,0,0,6,0,0,14,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,MAHASAMUND,2013,0,1,0,0,0,0,0,0,0,2,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,MUNGELI,2013,0,0,0,0,0,0,0,0,0,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,NARAYANPUR,2013,0,1,0,0,0,0,0,0,0,2,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,RAIGARH,2013,2,9,0,0,0,0,12,0,0,9,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,RAIPUR,2013,0,0,0,0,0,0,0,0,0,4,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,RAJNANDGAON,2013,0,4,0,0,0,0,0,0,0,4,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,SARGUJA,2013,1,6,0,0,0,0,2,0,0,13,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,SUKMA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,SURAJPUR,2013,0,15,1,0,0,1,5,0,0,9,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Chhattisgarh,ZZ TOTAL,2013,8,112,5,0,0,1,68,0,0,137,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Goa,NORTH GOA,2013,0,0,0,0,0,0,0,1,1,4,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Goa,SOUTH GOA,2013,0,0,0,0,0,0,0,0,3,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Goa,ZZ TOTAL,2013,0,0,0,0,0,0,0,1,4,5,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,AHMEDABAD COMMR.,2013,0,2,2,0,0,0,0,0,3,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,AHMEDABAD RURAL,2013,0,1,0,0,0,0,1,0,0,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,AHWA-DANG,2013,0,1,0,0,0,0,0,0,0,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,AMRELI,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,ANAND,2013,1,0,5,0,0,0,1,0,3,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,BHARUCH,2013,2,4,1,0,0,0,5,0,16,9,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,BHAVNAGAR,2013,1,1,1,0,0,0,0,0,0,3,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,CID CRIME,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,DAHOD,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,GANDHINAGAR,2013,0,0,0,0,0,0,1,0,0,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,HIMATNAGAR,2013,0,0,2,0,0,0,2,0,0,2,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,JAMNAGAR,2013,0,0,0,0,0,0,1,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,JUNAGADH,2013,0,0,0,0,0,0,0,0,0,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,KHEDA NORTH,2013,0,2,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,KUTCH (EAST(G)),2013,0,0,1,0,0,0,0,0,0,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,KUTCH (WEST-BHUJ),2013,0,0,0,0,0,0,0,0,1,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,MEHSANA,2013,0,3,0,0,0,0,3,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,NARMADA,2013,0,1,0,0,0,0,1,0,1,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,NAVSARI,2013,0,3,2,0,0,0,0,0,0,11,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,PALANPUR,2013,0,2,3,1,0,0,9,0,22,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,PANCHMAHAL,2013,1,3,0,0,0,0,3,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,PATAN,2013,0,1,0,0,0,0,0,0,0,4,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,PORBANDAR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,RAJKOT COMMR.,2013,0,1,0,0,0,1,1,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,RAJKOT RURAL,2013,0,2,2,0,0,0,0,0,0,1,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,SURAT COMMR.,2013,0,1,0,0,0,0,0,0,9,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,SURAT RURAL,2013,2,2,0,0,0,0,3,0,1,7,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,SURENDRANAGAR,2013,0,0,0,0,0,0,0,0,0,4,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,TAPI,2013,0,0,1,0,0,0,2,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv
Gujarat,VADODARA COMMR.,2013,0,2,2,0,0,0,0,0,0,4,ST,02_District_wise_crimes_committed_against_ST_2013.csv
