STATE,DISTRICT,YEAR,Infanticid,Other murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total,CRIME_GROUP,SOURCE_FILE
Andhra Pradesh,ADILABAD,2013,0,1,21,9,0,0,0,0,0,0,1,1,33,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Andhra Pradesh,ANANTAPUR,2013,0,1,15,68,0,3,0,0,0,0,0,0,87,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Andhra Pradesh,CHITTOOR,2013,0,6,1,0,0,0,0,0,0,0,0,0,7,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Andhra Pradesh,CUDDAPAH,2013,2,0,14,32,0,0,0,0,0,0,1,0,49,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Andhra Pradesh,CYBERABAD,2013,1,8,45,69,2,0,2,9,0,0,1,19,156,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Andhra Pradesh,EAST GODAVARI,2013,0,0,4,1,0,0,0,0,0,0,0,20,25,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Andhra Pradesh,GUNTAKAL RLY.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Andhra Pradesh,GUNTUR,2013,1,9,21,46,0,0,7,0,0,0,0,0,84,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Andhra Pradesh,GUNTUR URBAN,2013,0,0,23,24,0,0,3,0,0,0,0,0,50,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Andhra Pradesh,HYDERABAD CITY,2013,0,2,21,16,0,1,0,1,0,0,0,11,52,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Andhra Pradesh,KARIMNAGAR,2013,1,3,33,84,0,0,0,0,0,0,1,4,126,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Andhra Pradesh,KHAMMAM,2013,1,4,46,83,1,0,0,0,0,0,2,89,226,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Andhra Pradesh,KRISHNA,2013,0,2,49,35,0,3,0,0,0,0,0,81,170,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Andhra Pradesh,KURNOOL,2013,1,0,15,50,0,0,6,0,0,0,0,27,99,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Andhra Pradesh,MAHABOOBNAGAR,2013,0,12,70,35,0,0,2,6,0,0,0,0,125,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
