File,Rows,Columns,Granularity,State_Column,Year_Column,Year_Source,Min_Year,Max_Year,Number_of_Years,Unique_States,Unique_State_Year_Keys,Duplicate_State_Year_Rows,Total_Summary_Rows,Duplicate_Complete_Rows,Numeric_Columns,Missing_Cells,Missing_Percentage,Malformed_Rows,Rows_Repaired,Unresolved_Rows
01_District_wise_crimes_committed_IPC_2001_2012.csv,9017,33,District-level,STATE/UT,YEAR,Year column,2001,2012,12,35,420,8597,0,0,31,0,0.0,0,0,0
01_District_wise_crimes_committed_IPC_2013.csv,823,33,District-level,STATE/UT,YEAR,Year column,2013,2013,1,35,35,788,0,0,31,0,0.0,0,0,0
01_District_wise_crimes_committed_IPC_2014.csv,838,91,District-level,States/UTs,Year,Year column,2014,2014,1,36,36,802,0,0,89,0,0.0,0,0,0
02_01_District_wise_crimes_committed_against_SC_2001_2012.csv,9018,13,District-level,STATE/UT,Year,Year column,2001,2012,12,35,420,8598,0,2,11,0,0.0,0,0,0
02_01_District_wise_crimes_committed_against_SC_2013.csv,823,13,District-level,STATE/UT,Year,Year column,2013,2013,1,35,35,788,0,0,11,0,0.0,0,0,0
02_01_District_wise_crimes_committed_against_SC_2014.csv,837,66,District-level,States/UTs,Year,Year column,2014,2014,1,36,36,801,0,0,64,0,0.0,0,0,0
02_District_wise_crimes_committed_against_ST_2001_2012.csv,9018,13,District-level,STATE/UT,Year,Year column,2001,2012,12,35,420,8598,0,2,11,0,0.0,0,0,0
02_District_wise_crimes_committed_against_ST_2013.csv,823,13,District-level,STATE/UT,Year,Year column,2013,2013,1,35,35,788,0,0,11,0,0.0,0,0,0
02_District_wise_crimes_committed_against_ST_2014.csv,837,66,District-level,States/UTs,Year,Year column,2014,2014,1,36,36,801,0,0,64,0,0.0,0,0,0
03_District_wise_crimes_committed_against_children_2001_2012.csv,9015,15,District-level,STATE/UT,Year,Year column,2001,2012,12,35,420,8595,0,1,13,0,0.0,0,0,0
03_District_wise_crimes_committed_against_children_2013.csv,823,16,District-level,STATE/UT,Year,Year column,2013,2013,1,35,35,788,0,0,14,0,0.0,0,0,0
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,494,14,State/Year level,STATE/UT,,Filename,2012,2012,1,38,38,456,39,0,12,0,0.0,0,0,0
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,494,14,State/Year level,STATE/UT,,Filename,2013,2013,1,38,38,456,39,0,12,0,0.0,0,0,0
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,2028,57,State/Year level,States/UTs,Year,Year column,2014,2014,1,39,39,1989,156,0,55,0,0.0,0,0,0
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,1026,14,State/Year level,STATE/UT,,Filename,2012,2012,1,38,38,988,81,0,12,0,0.0,0,0,0
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2013.csv,418,14,State/Year level,STATE/UT,,Filename,2013,2013,1,38,38,380,33,0,12,0,0.0,0,0,0
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2014.csv,2730,57,State/Year level,States/UTs,Year,Year column,2014,2014,1,39,39,2691,210,0,55,0,0.0,0,0,0
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2012.csv,1140,14,State/Year level,STATE/UT,,Filename,2012,2012,1,38,38,1102,90,0,12,0,0.0,0,0,0
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2013.csv,1140,14,State/Year level,STATE/UT,,Filename,2013,2013,1,38,38,1102,90,0,12,0,0.0,0,0,0
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2014.csv,3432,57,State/Year level,States/UTs,Year,Year column,2014,2014,1,39,39,3393,264,0,55,0,0.0,0,0,0
07_01_Persons_arrested_by_sex_and_age_group_IPC_2012.csv,1140,15,State/Year level,STATE/UT,,Filename,2012,2012,1,38,38,1102,90,0,13,0,0.0,0,0,0
07_01_Persons_arrested_by_sex_and_age_group_IPC_2013.csv,1140,15,State/Year level,STATE/UT,,Filename,2013,2013,1,38,38,1102,90,0,13,0,0.0,0,0,0
07_01_Persons_arrested_by_sex_and_age_group_IPC_2014.csv,3432,18,State/Year level,States/UTs,Year,Year column,2014,2014,1,39,39,3393,264,0,16,0,0.0,0,0,0
07_02_Persons_arrested_by_sex_and_age_group_SLL_2012.csv,1026,15,State/Year level,STATE/UT,,Filename,2012,2012,1,38,38,988,81,0,13,0,0.0,0,0,0
07_02_Persons_arrested_by_sex_and_age_group_SLL_2013.csv,1026,15,State/Year level,STATE/UT,,Filename,2013,2013,1,38,38,988,81,0,13,0,0.0,0,0,0
07_02_Persons_arrested_by_sex_and_age_group_SLL_2014.csv,2730,18,State/Year level,States/UTs,Year,Year column,2014,2014,1,39,39,2691,210,0,16,0,0.0,0,0,0
08_01_Juvenile_apprehended_state_IPC.csv,10500,12,State/Year level,STATE/UT,Year,Year column,2001,2010,10,35,350,10150,0,0,10,0,0.0,0,0,0
08_02_Juvenile_apprehended_state_SLL.csv,9450,12,State/Year level,STATE/UT,Year,Year column,2001,2010,10,35,350,9100,0,0,10,0,0.0,0,0,0
09_Juveniles_arrested_and_their_disposal.csv,349,10,State/Year level,Area_Name,Year,Year column,2001,2010,10,35,349,0,0,0,9,0,0.0,0,0,0
10_Property_stolen_and_recovered.csv,2449,8,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,350,2099,0,0,5,0,0.0,0,0,0
11_Property_stolen_and_recovered_nature_of_property.csv,4550,8,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,350,4200,0,0,5,0,0.0,0,0,0
12_Police_strength_actual_and_sanctioned.csv,4188,16,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,349,3839,0,0,13,0,0.0,0,0,0
13_Police_killed_or_injured_on_duty.csv,2450,18,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,350,2100,0,0,15,0,0.0,0,0,0
14_Age_profile_of_police_personnel_killed_on_duty.csv,350,8,State/Year level,Area_Name,Year,Year column,2001,2010,10,35,350,0,0,0,7,0,0.0,0,0,0
15_Police_natural_death_and_suicide.csv,700,9,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,350,350,0,0,7,0,0.0,0,0,0
16_Casualties_under_police_firing_and_lathi_charge.csv,1749,8,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,350,1399,0,0,6,0,0.0,0,0,0
