File,State_Column,Raw_State_Label
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,ANDHRA PRADESH
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,ARUNACHAL PRADESH
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,ASSAM
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,BIHAR
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,CHHATTISGARH
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,GOA
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,GUJARAT
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,HARYANA
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,HIMACHAL PRADESH
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,JAMMU & KASHMIR
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,JHARKHAND
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,KARNATAKA
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,KERALA
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,MADHYA PRADESH
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,MAHARASHTRA
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,MANIPUR
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,MEGHALAYA
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,MIZORAM
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,NAGALAND
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,ODISHA
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,PUNJAB
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,RAJASTHAN
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,SIKKIM
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,TAMIL NADU
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,TRIPURA
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,UTTAR PRADESH
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,UTTARAKHAND
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,WEST BENGAL
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,A & N ISLANDS
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,CHANDIGARH
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,D & N HAVELI
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,DAMAN & DIU
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,DELHI UT
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,LAKSHADWEEP
01_District_wise_crimes_committed_IPC_2001_2012.csv,STATE/UT,PUDUCHERRY
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Andhra Pradesh
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Arunachal Pradesh
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Assam
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Bihar
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Chhattisgarh
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Goa
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Gujarat
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Haryana
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Himachal Pradesh
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Jammu & Kashmir
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Jharkhand
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Karnataka
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Kerala
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Madhya Pradesh
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Maharashtra
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Manipur
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Meghalaya
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Mizoram
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Nagaland
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Odisha
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Punjab
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Rajasthan
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Sikkim
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Tamil Nadu
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Tripura
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Uttar Pradesh
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Uttarakhand
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,West Bengal
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,A&N Islands
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Chandigarh
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,D&N Haveli
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Daman & Diu
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Delhi UT
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Lakshadweep
01_District_wise_crimes_committed_IPC_2013.csv,STATE/UT,Puducherry
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Andhra Pradesh
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Arunachal Pradesh
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Assam
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Bihar
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Chhattisgarh
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Goa
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Gujarat
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Haryana
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Himachal Pradesh
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Jammu & Kashmir
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Jharkhand
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Karnataka
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Kerala
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Madhya Pradesh
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Maharashtra
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Manipur
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Meghalaya
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Mizoram
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Nagaland
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Odisha
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Punjab
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Rajasthan
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Sikkim
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Tamil Nadu
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Telangana
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Tripura
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Uttar Pradesh
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Uttarakhand
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,West Bengal
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,A&N Islands
01_District_wise_crimes_committed_IPC_2014.csv,States/UTs,Chandigarh
