column,matched_keywords,dtype,missing_percentage
IPC_DACOITY,DACOITY,float64,2.28
IPC_PREPARATION_AND_ASSEMBLY_FOR_DACOITY,"PREP, DACOITY, ASSEMBLY",float64,9.68
IPC_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,CULPABLE,float64,92.6
IPC_DACOITY_WITH_MURDER,DACOITY,float64,92.6
IPC_OTHER_DACOITY,DACOITY,float64,92.6
IPC_MAKING_PREPARATION_AND_ASSEMBLY_FOR_COMMITTING_DACOITY,"PREP, DACOITY, ASSEMBLY",float64,92.6
IPC_UNLAWFUL_ASSEMBLY,ASSEMBLY,float64,92.6
SC_DACOITY,DACOITY,float64,10.18
SC_POA_DACOITY,DACOITY,float64,92.61
SC_POA_DACOITY_WITH_MURDER,DACOITY,float64,92.61
SC_POA_OTHER_DACOITY,DACOITY,float64,92.61
SC_IPC_DACOITY,DACOITY,float64,92.61
SC_IPC_DACOITY_WITH_MURDER,DACOITY,float64,92.61
SC_IPC_OTHER_DACOITY,DACOITY,float64,92.61
ST_DACOITY,DACOITY,float64,9.82
ST_POA_DACOITY,DACOITY,float64,92.61
ST_POA_DACOITY_WITH_MURDER,DACOITY,float64,92.61
ST_POA_OTHER_DACOITY,DACOITY,float64,92.61
ST_IPC_DACOITY,DACOITY,float64,92.61
ST_IPC_DACOITY_WITH_MURDER,DACOITY,float64,92.61
ST_IPC_OTHER_DACOITY,DACOITY,float64,92.61
WOMEN_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,CULPABLE,float64,92.61
WOMEN_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,CULPABLE,float64,92.61
WOMEN_DACOITY_TOTAL,DACOITY,float64,92.61
WOMEN_DACOITY_WITH_MURDER,DACOITY,float64,92.61
WOMEN_OTHER_DACOITY,DACOITY,float64,92.61
IPC_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,CULPABLE,float64,2.28
