violent_crime_group,column,exists_in_dataset
CHNOT_AMOUNTING_TO_MURDER,IPC_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,True
CHNOT_AMOUNTING_TO_MURDER,IPC_CULPABLE_HOMICIDE,False
RIOTS,IPC_RIOTS,True
RIOTS,IPC_RIOTS_COMMUNAL,True
RIOTS,IPC_RIOTS_INDUSTRIAL,True
RIOTS,IPC_RIOTS_POLITICAL,True
RIOTS,IPC_RIOTS_CASTE_CONFLICT,True
RIOTS,IPC_RIOTS_AGRARIAN,True
RIOTS,IPC_RIOTS_STUDENTS,True
RIOTS,IPC_RIOTS_SECTARIAN,True
RIOTS,IPC_OTHER_RIOTS,False
RAPE,IPC_RAPE,True
RAPE,IPC_OTHER_RAPE,True
RAPE,IPC_CUSTODIAL_RAPE,True
RAPE,IPC_CUSTODIAL_GANG_RAPE,True
RAPE,IPC_RAPE_GANG_RAPE,True
RAPE,IPC_RAPE_OTHERS,True
MURDER,IPC_MURDER,True
MURDER,IPC_OTHER_MURDER,False
PREPARATION_FOR_DACOITY,IPC_PREPARATION_FOR_DACOITY,False
PREPARATION_FOR_DACOITY,IPC_PREPARATION_OF_DACOITY,False
DOWRY_DEATH,IPC_DOWRY_DEATHS,True
DOWRY_DEATH,IPC_DOWRY_DEATH,False
ROBBERY,IPC_ROBBERY,True
ROBBERY,IPC_OTHER_ROBBERY,False
DACOITY,IPC_DACOITY,True
DACOITY,IPC_OTHER_DACOITY,True
DACOITY,IPC_DACOITY_WITH_MURDER,True
KIDNAPPING_ABDUCTION,IPC_KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,True
KIDNAPPING_ABDUCTION,IPC_KIDNAPPING_AND_ABDUCTION_OF_OTHERS,True
KIDNAPPING_ABDUCTION,IPC_KIDNAPPING_ABDUCTION,True
KIDNAPPING_ABDUCTION,IPC_KIDNAPPING_FOR_RANSOM,True
KIDNAPPING_ABDUCTION,IPC_KIDNAPPING_FOR_MARRIAGE,False
ASSEMBLY_FOR_DACOITY,IPC_ASSEMBLY_FOR_DACOITY,False
ASSEMBLY_FOR_DACOITY,IPC_ASSEMBLY_OF_PERSONS_FOR_DACOITY,False
ARSON,IPC_ARSON,True
ATTEMPT_TO_MURDER,IPC_ATTEMPT_TO_MURDER,True
