candidate,class_or_group,count,percentage
_CANDIDATE_DOMINANT_GROUP,ARSON,22,0.22
_CANDIDATE_DOMINANT_GROUP,ATTEMPT_TO_MURDER,453,4.6
_CANDIDATE_DOMINANT_GROUP,CHNOT_AMOUNTING_TO_MURDER,86,0.87
_CANDIDATE_DOMINANT_GROUP,DACOITY,27,0.27
_CANDIDATE_DOMINANT_GROUP,DOWRY_DEATH,1,0.01
_CANDIDATE_DOMINANT_GROUP,KIDNAPPING_ABDUCTION,2952,29.95
_CANDIDATE_DOMINANT_GROUP,MURDER,821,8.33
_CANDIDATE_DOMINANT_GROUP,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,28,0.28
_CANDIDATE_DOMINANT_GROUP,RAPE,1986,20.15
_CANDIDATE_DOMINANT_GROUP,RIOTS,2881,29.23
_CANDIDATE_DOMINANT_GROUP,ROBBERY,374,3.79
_CANDIDATE_DOMINANT_GROUP,MISSING,225,2.28
