crime_group,source_feature,normalized_feature,canonical_feature,mapping_status,mapping_notes
CHILDREN,CHILDREN_Abetment of suicide,ABETMENT_OF_SUICIDE,ABETMENT_OF_SUICIDE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
CHILDREN,CHILDREN_Buying of girls for prostitution,BUYING_OF_GIRLS_FOR_PROSTITUTION,BUYING_OF_GIRLS_FOR_PROSTITUTION,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
CHILDREN,CHILDREN_Exposure and abandonment,EXPOSURE_AND_ABANDONMENT,EXPOSURE_AND_ABANDONMENT,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
CHILDREN,CHILDREN_Foeticide,FOETICIDE,FOETICIDE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
CHILDREN,CHILDREN_Infanticid,INFANTICID,INFANTICID,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
CHILDREN,CHILDREN_Kidnapping and Abduction,KIDNAPPING_AND_ABDUCTION,KIDNAPPING_AND_ABDUCTION,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
CHILDREN,CHILDREN_Murder,MURDER,MURDER,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
CHILDREN,CHILDREN_Other Crimes,OTHER_CRIMES,OTHER_CRIMES,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
CHILDREN,CHILDREN_Other murder,OTHER_MURDER,OTHER_MURDER,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
CHILDREN,CHILDREN_Procuration of minor girls,PROCURATION_OF_MINOR_GIRLS,PROCURATION_OF_MINOR_GIRLS,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
CHILDREN,CHILDREN_Prohibition of child marriage act,PROHIBITION_OF_CHILD_MARRIAGE_ACT,PROHIBITION_OF_CHILD_MARRIAGE_ACT,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
CHILDREN,CHILDREN_Rape,RAPE,RAPE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
CHILDREN,CHILDREN_Selling of girls for prostitution,SELLING_OF_GIRLS_FOR_PROSTITUTION,SELLING_OF_GIRLS_FOR_PROSTITUTION,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
CHILDREN,CHILDREN_Total,TOTAL,TOTAL,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Acid attack,ACID_ATTACK,ACID_ATTACK,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_ARSON,ARSON,ARSON,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Arson,ARSON,ARSON,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Assault on Women with intent to outrage her Modesty,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Assault or use of criminal force to women with intent to Disrobe,ASSAULT_OR_USE_OF_CRIMINAL_FORCE_TO_WOMEN_WITH_INTENT_TO_DISROBE,ASSAULT_OR_USE_OF_CRIMINAL_FORCE_TO_WOMEN_WITH_INTENT_TO_DISROBE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Attempt to Acid Attack,ATTEMPT_TO_ACID_ATTACK,ATTEMPT_TO_ACID_ATTACK,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Attempt to commit Culpable Homicide,ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Attempt to commit Murder,ATTEMPT_TO_COMMIT_MURDER,ATTEMPT_TO_COMMIT_MURDER,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Attempt to commit Rape,ATTEMPT_TO_COMMIT_RAPE,ATTEMPT_TO_COMMIT_RAPE,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_ATTEMPT TO MURDER,ATTEMPT_TO_MURDER,ATTEMPT_TO_MURDER,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_At Office premises,AT_OFFICE_PREMISES,AT_OFFICE_PREMISES,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_AUTO THEFT,AUTO_THEFT,AUTO_THEFT,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_Auto Theft,AUTO_THEFT,AUTO_THEFT,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
IPC,IPC_BURGLARY,BURGLARY,BURGLARY,EXACT_NORMALIZED_MATCH,Canonicalized by exact mechanical name normalization only.
