column,structural_group,dtype,missing_percentage,unique_values
STATE,IDENTIFICATION_LOCATION,object,0.0,72
UNIT_NAME,IDENTIFICATION_LOCATION,object,0.0,1490
YEAR,TIME,int64,0.0,14
IPC_MURDER,IPC,float64,2.28,294
IPC_ATTEMPT_TO_MURDER,IPC,float64,9.68,329
IPC_RAPE,IPC,float64,2.28,265
IPC_OTHER_RAPE,IPC,float64,9.68,246
IPC_KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,IPC,float64,9.68,331
IPC_KIDNAPPING_AND_ABDUCTION_OF_OTHERS,IPC,float64,9.68,202
IPC_DACOITY,IPC,float64,2.28,107
IPC_PREPARATION_AND_ASSEMBLY_FOR_DACOITY,IPC,float64,9.68,128
IPC_ROBBERY,IPC,float64,2.28,323
IPC_BURGLARY,IPC,float64,9.68,717
IPC_THEFT,IPC,float64,2.28,1617
IPC_OTHER_THEFT,IPC,float64,9.68,1144
IPC_RIOTS,IPC,float64,2.28,615
IPC_CHEATING,IPC,float64,2.28,686
IPC_COUNTERFIETING,IPC,float64,9.68,93
IPC_ARSON,IPC,float64,2.28,130
IPC_HURT_GREVIOUS_HURT,IPC,float64,9.68,1658
IPC_INSULT_TO_MODESTY_OF_WOMEN,IPC,float64,9.68,264
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,IPC,float64,9.68,24
IPC_TOTAL_IPC_CRIMES,IPC,float64,9.68,4802
IPC_ATTEMPT_TO_COMMIT_MURDER,IPC,float64,92.6,165
IPC_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,IPC,float64,92.6,52
IPC_CUSTODIAL_GANG_RAPE,IPC,float64,92.6,3
IPC_CUSTODIAL_OTHER_RAPE,IPC,float64,92.6,14
IPC_RAPE_OTHER_THAN_CUSTODIAL,IPC,float64,92.6,158
IPC_RAPE_GANG_RAPE,IPC,float64,92.6,33
IPC_RAPE_OTHERS,IPC,float64,92.6,156
IPC_ATTEMPT_TO_COMMIT_RAPE,IPC,float64,92.6,54
IPC_KIDNAPPING_ABDUCTION_TOTAL,IPC,float64,92.6,256
IPC_KIDNAPPING_ABDUCTION_IN_ORDER_TO_MURDER,IPC,float64,92.6,30
IPC_KIDNAPPING_FOR_RANSOM,IPC,float64,92.6,15
IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,IPC,float64,92.6,170
IPC_OTHER_KIDNAPPING,IPC,float64,92.6,120
IPC_DACOITY_WITH_MURDER,IPC,float64,92.6,5
IPC_OTHER_DACOITY,IPC,float64,92.6,40
IPC_MAKING_PREPARATION_AND_ASSEMBLY_FOR_COMMITTING_DACOITY,IPC,float64,92.6,42
IPC_CRIMINAL_TRESPASS_BURGLARY,IPC,float64,92.6,296
IPC_CRIMINAL_TRESPASS_OR_BURGLARY,IPC,float64,92.6,253
IPC_HOUSE_TRESPASS_HOUSE_BREAKING,IPC,float64,92.6,145
IPC_OTHER_THEFTS,IPC,float64,92.6,393
IPC_UNLAWFUL_ASSEMBLY,IPC,float64,92.6,75
IPC_RIOTS_COMMUNAL,IPC,float64,92.6,20
IPC_RIOTS_INDUSTRIAL,IPC,float64,92.6,10
IPC_RIOTS_POLITICAL,IPC,float64,92.6,32
IPC_RIOTS_CASTE_CONFLICT,IPC,float64,92.6,31
IPC_RIOTS_SC_STS_VS_NON_SCS_STS,IPC,float64,92.6,17
IPC_RIOTS_OTHER_CASTE_CONFLICT,IPC,float64,92.6,26
IPC_RIOTS_AGRARIAN,IPC,float64,92.6,19
IPC_RIOTS_STUDENTS,IPC,float64,92.6,14
IPC_RIOTS_SECTARIAN,IPC,float64,92.6,5
IPC_RIOTS_OTHERS,IPC,float64,92.6,222
IPC_FORGERY,IPC,float64,92.6,84
IPC_COUNTERFEITING,IPC,float64,92.6,27
IPC_COUNTERFEIT_OFFENCES_RELATED_TO_COUNTERFEIT_COIN,IPC,float64,92.6,6
IPC_COUNTERFEITING_GOVERNMENT_STAMP,IPC,float64,92.6,2
IPC_COUNTERFEIT_CURRENCY_BANK_NOTES,IPC,float64,92.6,26
IPC_COUNTERFEITING_CURRENCY_NOTES_BANK_NOTES,IPC,float64,92.6,16
IPC_USING_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,IPC,float64,92.6,17
IPC_POSSESSION_OF_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,IPC,float64,92.6,11
IPC_MAKING_OR_POSSESSING_MATERIALS_FOR_FORGED_CURRENCY_BANK_NOTES,IPC,float64,92.6,4
IPC_MAKING_OR_USING_DOCUMENTS_RESEMBLING_CURRENCY,IPC,float64,92.6,5
IPC_GRIEVOUS_HURT,IPC,float64,92.6,257
IPC_HURT,IPC,float64,92.6,261
IPC_ACID_ATTACK,IPC,float64,92.6,8
IPC_ATTEMPT_TO_ACID_ATTACK,IPC,float64,92.6,4
IPC_SEXUAL_HARASSMENT,IPC,float64,92.6,131
IPC_ASSAULT_OR_USE_OF_CRIMINAL_FORCE_TO_WOMEN_WITH_INTENT_TO_DISROBE,IPC,float64,92.6,71
IPC_VOYEURISM,IPC,float64,92.6,20
IPC_STALKING,IPC,float64,92.6,61
IPC_OTHER_ASSAULT_ON_WOMEN,IPC,float64,92.6,205
IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,IPC,float64,92.6,71
IPC_AT_OFFICE_PREMISES,IPC,float64,92.6,6
IPC_OTHER_PLACES_RELATED_TO_WORK,IPC,float64,92.6,15
IPC_IN_PUBLIC_TRANSPORT_SYSTEM,IPC,float64,92.6,7
IPC_PLACES_OTHER_THAN_231_232_233,IPC,float64,92.6,72
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,IPC,float64,92.6,5
IPC_DEATHS_DUE_TO_NEGLIGENT_DRIVING_ACT,IPC,float64,92.6,324
IPC_DEATHS_DUE_TO_OTHER_CAUSES,IPC,float64,92.6,59
IPC_OFFENCES_AGAINST_STATE,IPC,float64,92.6,13
IPC_SEDITION,IPC,float64,92.6,6
IPC_OTHER_OFFENCES_AGAINST_STATE,IPC,float64,92.6,12
IPC_OFFENCES_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,IPC,float64,92.6,14
IPC_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,IPC,float64,92.6,14
IPC_IMPUTATION_ASSERTIONS_PREJUDICIAL_TO_NATIONAL_INTEGRATION,IPC,float64,92.6,3
IPC_EXTORTION,IPC,float64,92.6,72
IPC_DISCLOSURE_OF_IDENTITY_OF_VICTIMS,IPC,float64,92.6,3
IPC_INCIDENCE_OF_RASH_DRIVING,IPC,float64,92.6,437
IPC_HUMANTRAFFICKING,IPC,float64,92.6,24
IPC_UNNATURAL_OFFENCE,IPC,float64,92.6,23
IPC_TOTAL_COGNIZABLE_IPC_CRIMES,IPC,float64,92.6,686
SC_MURDER,SC,float64,10.18,21
SC_RAPE,SC,float64,10.18,32
SC_KIDNAPPING_AND_ABDUCTION,SC,float64,10.18,22
SC_DACOITY,SC,float64,10.18,8
SC_ROBBERY,SC,float64,10.18,13
SC_ARSON,SC,float64,10.18,16
SC_HURT,SC,float64,10.18,122
SC_PREVENTION_OF_ATROCITIES_POA_ACT,SC,float64,10.18,207
SC_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,SC,float64,10.18,49
SC_OTHER_CRIMES_AGAINST_SCS,SC,float64,10.18,270
SC_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,SC,float64,92.61,9
SC_POA_MURDER,SC,float64,92.61,14
SC_POA_ATTEMPT_TO_COMMIT_MURDER,SC,float64,92.61,12
SC_POA_RAPE,SC,float64,92.61,27
SC_POA_ATTEMPT_TO_COMMIT_RAPE,SC,float64,92.61,8
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,SC,float64,92.61,35
SC_POA_SEXUAL_HARASSMENT,SC,float64,92.61,20
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,SC,float64,92.61,8
SC_POA_VOYEURISM,SC,float64,92.61,4
SC_POA_STALKING,SC,float64,92.61,7
SC_POA_OTHER_SEXUAL_HARASSMENT,SC,float64,92.61,31
SC_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,SC,float64,92.61,7
SC_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,SC,float64,92.61,17
SC_POA_KIDNAPING_ABDUCTION_TOTAL,SC,float64,92.61,9
SC_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,SC,float64,92.61,3
SC_POA_KIDNAPPING_FOR_RANSOM,SC,float64,92.61,2
SC_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,SC,float64,92.61,15
SC_POA_OTHER_KIDNAPPING,SC,float64,92.61,9
SC_POA_DACOITY,SC,float64,92.61,3
SC_POA_DACOITY_WITH_MURDER,SC,float64,92.61,1
SC_POA_OTHER_DACOITY,SC,float64,92.61,3
SC_POA_ROBBERY,SC,float64,92.61,5
SC_POA_ARSON,SC,float64,92.61,9
SC_POA_GRIEVOUS_HURT,SC,float64,92.61,36
SC_POA_HURT,SC,float64,92.61,36
SC_POA_ACID_ATTACK,SC,float64,92.61,2
SC_POA_ATTEMPT_TO_ACID_ATTACK,SC,float64,92.61,2
SC_POA_RIOTS,SC,float64,92.61,23
SC_POA_OTHER_IPC_CRIMES,SC,float64,92.61,133
SC_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,SC,float64,92.61,84
SC_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,SC,float64,92.61,185
SC_IPC_MURDER,SC,float64,92.61,9
SC_IPC_ATTEMPT_TO_COMMIT_MURDER,SC,float64,92.61,7
SC_IPC_RAPE,SC,float64,92.61,11
SC_IPC_ATTEMPT_TO_COMMIT_RAPE,SC,float64,92.61,5
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,SC,float64,92.61,19
SC_IPC_SEXUAL_HARASSMENT,SC,float64,92.61,7
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,SC,float64,92.61,7
