column,structural_group,crime_family,is_aggregate,dtype,missing_count,missing_percentage,unique_values
STATE,IDENTIFICATION_LOCATION,IDENTIFICATION_LOCATION,False,object,0,0.0,72
UNIT_NAME,IDENTIFICATION_LOCATION,IDENTIFICATION_LOCATION,False,object,0,0.0,1490
YEAR,TIME,TIME,False,int64,0,0.0,14
IPC_MURDER,IPC,MURDER_HOMICIDE,False,float64,225,2.28,294
IPC_ATTEMPT_TO_MURDER,IPC,MURDER_HOMICIDE,False,float64,954,9.68,329
IPC_RAPE,IPC,RAPE_SEXUAL_OFFENCES,False,float64,225,2.28,265
IPC_OTHER_RAPE,IPC,RAPE_SEXUAL_OFFENCES,False,float64,954,9.68,246
IPC_KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,IPC,KIDNAPPING_ABDUCTION,False,float64,954,9.68,331
IPC_KIDNAPPING_AND_ABDUCTION_OF_OTHERS,IPC,KIDNAPPING_ABDUCTION,False,float64,954,9.68,202
IPC_DACOITY,IPC,DACOITY_ROBBERY,False,float64,225,2.28,107
IPC_PREPARATION_AND_ASSEMBLY_FOR_DACOITY,IPC,DACOITY_ROBBERY,False,float64,954,9.68,128
IPC_ROBBERY,IPC,DACOITY_ROBBERY,False,float64,225,2.28,323
IPC_BURGLARY,IPC,THEFT_BURGLARY_TRESPASS,False,float64,954,9.68,717
IPC_THEFT,IPC,THEFT_BURGLARY_TRESPASS,False,float64,225,2.28,1617
IPC_OTHER_THEFT,IPC,THEFT_BURGLARY_TRESPASS,False,float64,954,9.68,1144
IPC_RIOTS,IPC,RIOTS_PUBLIC_ORDER,False,float64,225,2.28,615
IPC_CHEATING,IPC,CHEATING_FRAUD,False,float64,225,2.28,686
IPC_COUNTERFIETING,IPC,OTHER_CRIME,False,float64,954,9.68,93
IPC_ARSON,IPC,ARSON,False,float64,225,2.28,130
IPC_HURT_GREVIOUS_HURT,IPC,HURT_ASSAULT,False,float64,954,9.68,1658
IPC_INSULT_TO_MODESTY_OF_WOMEN,IPC,RAPE_SEXUAL_OFFENCES,False,float64,954,9.68,264
