structural_group,crime_family,column_count,aggregate_columns,average_missing_percentage
AVAILABILITY,AVAILABILITY,5,0,0.0
CHILDREN,KIDNAPPING_ABDUCTION,1,0,10.17
CHILDREN,MURDER_HOMICIDE,2,0,55.08
CHILDREN,OTHER_CRIME,10,2,18.4
CHILDREN,RAPE_SEXUAL_OFFENCES,1,0,10.17
IDENTIFICATION_LOCATION,IDENTIFICATION_LOCATION,2,0,0.0
IPC,ARSON,1,0,2.28
IPC,CHEATING_FRAUD,7,0,79.7
IPC,CRIMES_AGAINST_STATE,3,0,92.6
IPC,CRIMINAL_BREACH_OF_TRUST,1,0,2.28
IPC,DACOITY_ROBBERY,5,0,39.89
IPC,DOWRY_DEATH,1,0,2.28
IPC,EXTORTION,1,0,92.6
IPC,HUMAN_TRAFFICKING,1,0,92.6
IPC,HURT_ASSAULT,3,0,64.96
IPC,KIDNAPPING_ABDUCTION,7,1,56.01
IPC,MURDER_HOMICIDE,7,0,54.95
IPC,OTHER_CRIME,27,3,73.35
IPC,RAPE_SEXUAL_OFFENCES,14,0,61.4
IPC,RASH_DRIVING,1,0,92.6
IPC,RIOTS_PUBLIC_ORDER,12,0,85.07
IPC,THEFT_BURGLARY_TRESPASS,8,0,49.29
IPC,UNNATURAL_OFFENCE,1,0,92.6
SC,ARSON,3,0,65.13
SC,DACOITY_ROBBERY,8,0,72.0
SC,HURT_ASSAULT,5,0,76.12
SC,KIDNAPPING_ABDUCTION,11,2,85.12
SC,MURDER_HOMICIDE,9,0,83.45
SC,OTHER_CRIME,20,6,80.25
SC,RAPE_SEXUAL_OFFENCES,15,0,87.11
SC,RIOTS_PUBLIC_ORDER,2,0,92.61
ST,ARSON,3,0,65.01
ST,DACOITY_ROBBERY,8,0,71.91
ST,HURT_ASSAULT,5,0,76.05
ST,KIDNAPPING_ABDUCTION,11,2,85.08
ST,MURDER_HOMICIDE,9,0,83.41
ST,OTHER_CRIME,20,6,80.19
ST,RAPE_SEXUAL_OFFENCES,15,0,87.09
ST,RIOTS_PUBLIC_ORDER,2,0,92.61
TIME,TIME,1,0,0.0
WOMEN,ARSON,1,0,92.61
WOMEN,DACOITY_ROBBERY,3,1,92.61
WOMEN,DOWRY_DEATH,1,0,2.29
WOMEN,HUMAN_TRAFFICKING,1,0,92.61
WOMEN,HURT_ASSAULT,2,0,92.61
WOMEN,KIDNAPPING_ABDUCTION,6,1,78.79
WOMEN,MURDER_HOMICIDE,6,0,92.61
WOMEN,OTHER_CRIME,28,3,86.42
WOMEN,RAPE_SEXUAL_OFFENCES,14,1,74.31
WOMEN,UNNATURAL_OFFENCE,1,0,92.61
