,IPC_TOTAL_IPC_CRIMES,IPC_TOTAL_COGNIZABLE_IPC_CRIMES,IPC_OTHER_IPC_CRIMES,IPC_THEFT,IPC_HURT_GREVIOUS_HURT,IPC_INCIDENCE_OF_RASH_DRIVING,IPC_OTHER_THEFT,IPC_AUTO_THEFT,WOMEN_TOTAL_CRIMES_AGAINST_WOMEN,IPC_OTHER_THEFTS,WOMEN_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IPC_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IPC_CHEATING,IPC_BURGLARY,IPC_CAUSING_DEATH_BY_NEGLIGENCE,IPC_GRIEVOUS_HURT,IPC_HURT,IPC_RIOTS,IPC_CRIMINAL_TRESPASS_BURGLARY,WOMEN_OTHER_IPC_CRIMES,WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,IPC_KIDNAPPING_ABDUCTION,IPC_CRIMINAL_TRESPASS_OR_BURGLARY,IPC_KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,WOMEN_KIDNAPPING_AND_ABDUCTION,IPC_DEATHS_DUE_TO_NEGLIGENT_DRIVING_ACT,IPC_ROBBERY,IPC_RIOTS_OTHERS,IPC_KIDNAPPING_ABDUCTION_TOTAL
IPC_TOTAL_IPC_CRIMES,1.0,,0.9317666555211432,0.8495058392721775,0.8412936087537968,,0.8405252233395176,0.7760831285206009,,,0.8093098035856694,0.805571278872604,0.810668489781125,0.8578881693694175,0.8372433812346617,,,0.7011743704261347,,,0.8693318898486198,0.8634564595007519,0.7662888155306584,,0.7687564988881749,0.758139761732348,,0.7207175646501464,,
IPC_TOTAL_COGNIZABLE_IPC_CRIMES,,1.0,0.8434277927411696,0.7451796304278793,,0.5846120203575065,,0.6987533648723909,0.8369753628978072,0.6852596681221519,0.6100915351397842,0.610318069958938,0.7142010971371916,,0.6448136776091162,0.38391760310193584,0.38311737052561656,0.4361334486709615,0.7618114615334868,0.5119470512666859,,0.7492948982181044,0.5549321567171908,0.7108350940108561,,,0.6114599034950731,0.6125550397078486,0.435405973327159,0.706471819446911
IPC_OTHER_IPC_CRIMES,0.9317666555211432,0.8434277927411696,1.0,0.6670871450045047,0.7111066041522562,0.41498494502157546,0.6561784987526017,0.6258742506549936,0.6874212451588414,0.3862115946513701,0.6836332645068831,0.6846542436121305,0.6553682948995906,0.7091610914494807,0.7266331517462723,0.2522584497199309,0.25178261940368235,0.651744124848184,0.5201699761172954,0.4253173487272174,0.7404630402541393,0.7351416800255728,0.6422665340117832,0.47997583162966795,0.6601980942725232,0.6513780787171544,0.5925473359083121,0.5605237520088399,0.4421645087399612,0.5130980088254875
IPC_THEFT,0.8495058392721775,0.7451796304278793,0.6670871450045047,1.0,0.6282645964146414,0.1944931468426048,0.9581652428990677,0.9458966821615249,0.6405556064342098,0.9493825803582561,0.682150217538327,0.6443315839290722,0.7635562721156811,0.8424949631140489,0.6617124657866572,0.19713885680905105,0.19611848903571347,0.4875697155704573,0.813932444650263,0.49826677701688993,0.7761285634738609,0.7156979451124326,0.7775271207359101,0.7456888575414135,0.7373150341683151,0.7146980516504629,0.30676381842564865,0.7511621174650991,0.15934199478426123,0.7477196568972143
IPC_HURT_GREVIOUS_HURT,0.8412936087537968,,0.7111066041522562,0.6282645964146414,1.0,,0.687638789612025,0.5007279619769978,,,0.7095882374517435,0.7085049085765371,0.6804686946604231,0.7614033231110672,0.7505144728079064,,,0.6306777603280858,,,0.7822016126062462,0.781768504987429,0.5112937019812187,,0.5215761705460397,0.5362244826594089,,0.5467078579294201,,
IPC_INCIDENCE_OF_RASH_DRIVING,,0.5846120203575065,0.41498494502157546,0.1944931468426048,,1.0,,0.18970466835909788,0.2567008808987092,0.17368166024385184,0.15455244241057714,0.154831009495817,0.3173742494811653,,0.3887372714994968,0.01705989187312619,0.01686100773435735,0.18730284054569526,0.2936999693520988,0.20742856710550334,,0.3158315818499837,0.10706446146215236,0.26401046805989176,,,0.38581842233900965,0.16560542883801435,0.18675006698895286,0.07871841866548958
IPC_OTHER_THEFT,0.8405252233395176,,0.6561784987526017,0.9581652428990677,0.687638789612025,,1.0,0.817703976904769,,,0.6959032841629887,0.6736701491824171,0.7422790811187746,0.8473340994502762,0.6756119595949192,,,0.546174309820232,,,0.7513750628280547,0.7247316395029437,0.6906893659571756,,0.6570668662294117,0.6278850230844144,,0.7554232442989779,,
IPC_AUTO_THEFT,0.7760831285206009,0.6987533648723909,0.6258742506549936,0.9458966821615249,0.5007279619769978,0.18970466835909788,0.817703976904769,1.0,0.5991100881900948,0.7103417918784617,0.6137548823000888,0.5659802505730963,0.7229281310319436,0.7544292718885636,0.5977002906481573,0.18937133702920717,0.1883516321371113,0.39163787123246024,0.7706485766902292,0.5001128483976917,0.7209990185842122,0.642571091992274,0.7977775682713212,0.7178338969227158,0.7539664473411674,0.7428311223834984,0.35273333252666017,0.6700389933932558,0.16858089288691466,0.7045786769708088
WOMEN_TOTAL_CRIMES_AGAINST_WOMEN,,0.8369753628978072,0.6874212451588414,0.6405556064342098,,0.2567008808987092,,0.5991100881900948,1.0,0.5901358061172659,0.7540972149891668,0.7540972149891668,0.5915245069709116,,0.5014330433890145,0.49392374648829845,0.49306999347641894,0.39236669726603,0.6857595008709381,0.6407086714112028,,0.8302946576974802,0.5433111749155992,0.6502078180625946,,,0.4584081705534363,0.6055096762163602,0.38661491862521635,0.7630589073854436
IPC_OTHER_THEFTS,,0.6852596681221519,0.3862115946513701,0.9493825803582561,,0.17368166024385184,,0.7103417918784617,0.5901358061172659,1.0,0.29333448687052377,0.29339780131494747,0.4992362515763221,,0.26907341743318897,0.1781007307726832,0.17720680776106063,0.12935427329649818,0.7432433392185238,0.4349940432669361,,0.5710420948683123,0.7983548135821537,0.6725990240385106,,,0.2361661857241732,0.7560315395470395,0.13300288558273862,0.6851652067661563
