feature,mean_observed,median_observed,max_observed,non_missing,missing_pct
IPC_TOTAL_COGNIZABLE_IPC_CRIMES,3484.4499314128943,2469.0,40361.0,729,92.60349025974025
IPC_TOTAL_IPC_CRIMES,3090.3308245338126,1947.5,234385.0,8902,9.679383116883116
IPC_OTHER_IPC_CRIMES,1252.888692762953,697.0,127850.0,9631,2.282873376623377
WOMEN_TOTAL_CRIMES_AGAINST_WOMEN,575.1524725274726,382.0,8244.0,728,92.61363636363636
IPC_THEFT,471.7821617692867,201.0,52670.0,9631,2.282873376623377
IPC_INCIDENCE_OF_RASH_DRIVING,464.0411522633745,177.0,13431.0,729,92.60349025974025
IPC_HURT_GREVIOUS_HURT,415.86665917771285,182.0,60488.0,8902,9.679383116883116
IPC_OTHER_THEFTS,296.87654320987656,135.0,7375.0,729,92.60349025974025
IPC_OTHER_THEFT,285.1148056616491,139.0,34276.0,8902,9.679383116883116
IPC_AUTO_THEFT,185.7770740317724,46.0,24948.0,9631,2.282873376623377
IPC_DEATHS_DUE_TO_NEGLIGENT_DRIVING_ACT,151.69272976680384,114.0,1083.0,729,92.60349025974025
IPC_CRIMINAL_TRESPASS_BURGLARY,140.5980795610425,82.0,3055.0,729,92.60349025974025
IPC_BURGLARY,140.10997528645248,78.0,18328.0,8902,9.679383116883116
IPC_GRIEVOUS_HURT,137.50891632373114,42.0,4572.0,729,92.60349025974025
IPC_HURT,137.1755829903978,42.0,4572.0,729,92.60349025974025
IPC_CAUSING_DEATH_BY_NEGLIGENCE,126.48281590696709,68.0,14944.0,9631,2.282873376623377
WOMEN_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,120.10581516095534,47.0,18116.0,9630,2.2930194805194803
IPC_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,120.09334440868031,47.0,18116.0,9631,2.282873376623377
IPC_CHEATING,105.4015159381165,36.0,22796.0,9631,2.282873376623377
IPC_CRIMINAL_TRESPASS_OR_BURGLARY,104.58024691358025,51.0,2531.0,729,92.60349025974025
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY_TOTAL,103.28846153846153,60.0,1626.0,728,92.61363636363636
IPC_KIDNAPPING_ABDUCTION_TOTAL,100.9122085048011,61.0,1198.0,729,92.60349025974025
IPC_RIOTS,94.27151905305783,42.0,11931.0,9631,2.282873376623377
WOMEN_OTHER_IPC_CRIMES,81.77884615384616,0.0,2736.0,728,92.61363636363636
IPC_RIOTS_OTHERS,76.30727023319616,28.0,1818.0,729,92.60349025974025
WOMEN_KIDNAPPING_ABDUCTION_TOTAL,75.16895604395604,45.0,696.0,728,92.61363636363636
IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,66.29965735645312,31.0,8252.0,9631,2.282873376623377
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,63.28218377892608,30.0,8252.0,8902,9.679383116883116
SC_TOTAL_CRIMES_AGAINST_SCS,60.362637362637365,24.0,876.0,728,92.61363636363636
WOMEN_OTHERS,60.239010989010985,25.0,784.0,728,92.61363636363636
IPC_OTHER_ASSAULT_ON_WOMEN,60.15637860082305,25.0,784.0,729,92.60349025974025
IPC_ATTEMPT_TO_COMMIT_MURDER,53.6323731138546,30.0,2249.0,729,92.60349025974025
IPC_KIDNAPPING_ABDUCTION,53.480635448032395,24.0,11183.0,9631,2.282873376623377
SC_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,52.54945054945055,21.0,770.0,728,92.61363636363636
IPC_MURDER,49.87405253867719,36.0,5047.0,9631,2.282873376623377
WOMEN_RAPE_OTHER_THAN_CUSTODIAL,49.4739010989011,35.0,607.0,728,92.61363636363636
IPC_RAPE_OTHER_THAN_CUSTODIAL,49.40603566529492,35.0,607.0,729,92.60349025974025
WOMEN_RAPE_OTHERS,46.35989010989011,33.0,591.0,728,92.61363636363636
IPC_RAPE_OTHERS,46.2962962962963,33.0,591.0,729,92.60349025974025
IPC_ATTEMPT_TO_MURDER,45.5796450235902,27.0,5259.0,8902,9.679383116883116
WOMEN_KIDNAPPING_AND_ABDUCTION,41.26993933947428,18.0,9737.0,8902,9.679383116883116
IPC_KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,41.26993933947428,18.0,9737.0,8902,9.679383116883116
