column,missing_count,missing_pct,non_missing_count
SC_TOTAL_CRIMES_AGAINST_SCS,9128,92.61,728
ST_POA_OTHER_DACOITY,9128,92.61,728
ST_POA_ATTEMPT_TO_ACID_ATTACK,9128,92.61,728
ST_POA_ACID_ATTACK,9128,92.61,728
ST_POA_HURT,9128,92.61,728
ST_POA_GRIEVOUS_HURT,9128,92.61,728
ST_POA_ARSON,9128,92.61,728
ST_POA_ROBBERY,9128,92.61,728
ST_POA_DACOITY_WITH_MURDER,9128,92.61,728
ST_POA_OTHER_IPC_CRIMES,9128,92.61,728
ST_POA_DACOITY,9128,92.61,728
ST_POA_OTHER_KIDNAPPING,9128,92.61,728
ST_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,9128,92.61,728
ST_POA_KIDNAPPING_FOR_RANSOM,9128,92.61,728
ST_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,9128,92.61,728
ST_POA_KIDNAPING_ABDUCTION_TOTAL,9128,92.61,728
ST_POA_RIOTS,9128,92.61,728
ST_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,9128,92.61,728
ST_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,9128,92.61,728
ST_IPC_VOYEURISM,9128,92.61,728
ST_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,9128,92.61,728
ST_IPC_KIDNAPING_ABDUCTION,9128,92.61,728
ST_IPC_KIDNAPPING_ABDUCTION,9128,92.61,728
ST_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,9128,92.61,728
ST_IPC_OTHER_SEXUAL_HARASSMENT,9128,92.61,728
ST_IPC_STALKING,9128,92.61,728
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,9128,92.61,728
ST_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,9128,92.61,728
ST_IPC_SEXUAL_HARASSMENT,9128,92.61,728
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,9128,92.61,728
ST_IPC_ATTEMPT_TO_COMMIT_RAPE,9128,92.61,728
ST_IPC_RAPE,9128,92.61,728
ST_IPC_ATTEMPT_TO_COMMIT_MURDER,9128,92.61,728
ST_IPC_MURDER,9128,92.61,728
ST_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,9128,92.61,728
ST_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,9128,92.61,728
ST_POA_OTHER_SEXUAL_HARASSMENT,9128,92.61,728
SC_IPC_DACOITY,9128,92.61,728
WOMEN_OTHER_SLL_CRIMES_AGAINST_WOMEN,9128,92.61,728
SC_IPC_GRIEVOUS_HURT,9128,92.61,728
SC_IPC_ARSON,9128,92.61,728
SC_IPC_ROBBERY,9128,92.61,728
SC_IPC_OTHER_DACOITY,9128,92.61,728
SC_IPC_DACOITY_WITH_MURDER,9128,92.61,728
SC_IPC_OTHER_KIDNAPPING,9128,92.61,728
ST_POA_STALKING,9128,92.61,728
SC_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,9128,92.61,728
SC_IPC_KIDNAPPING_FOR_RANSOM,9128,92.61,728
SC_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,9128,92.61,728
SC_IPC_KIDNAPING_ABDUCTION,9128,92.61,728
SC_IPC_KIDNAPPING_ABDUCTION,9128,92.61,728
SC_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,9128,92.61,728
SC_IPC_ACID_ATTACK,9128,92.61,728
SC_IPC_ATTEMPT_TO_ACID_ATTACK,9128,92.61,728
SC_IPC_RIOTS,9128,92.61,728
SC_IPC_OTHER_IPC_CRIMES,9128,92.61,728
SC_TOTAL_IPC_CRIMES_AGAINST_SCS,9128,92.61,728
SC_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,9128,92.61,728
SC_OTHER_SLL_CRIME_AGAINST_SCS,9128,92.61,728
WOMEN_TOTAL_CRIMES_AGAINST_WOMEN,9128,92.61,728
ST_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,9128,92.61,728
ST_POA_MURDER,9128,92.61,728
ST_POA_ATTEMPT_TO_COMMIT_MURDER,9128,92.61,728
ST_POA_RAPE,9128,92.61,728
ST_POA_ATTEMPT_TO_COMMIT_RAPE,9128,92.61,728
ST_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,9128,92.61,728
ST_POA_SEXUAL_HARASSMENT,9128,92.61,728
ST_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,9128,92.61,728
ST_POA_VOYEURISM,9128,92.61,728
ST_IPC_KIDNAPPING_FOR_RANSOM,9128,92.61,728
ST_IPC_OTHER_KIDNAPPING,9128,92.61,728
SC_IPC_STALKING,9128,92.61,728
WOMEN_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,9128,92.61,728
WOMEN_CAUSING_MISCARRIAGE_WITHOUT_CONSENT_OF_WOMEN,9128,92.61,728
WOMEN_DEATHS_CAUSED_WITH_INTENT_TO_CAUSE_MISCARRIAGE,9128,92.61,728
WOMEN_ATTEMPT_TO_ACID_ATTACK,9128,92.61,728
WOMEN_ACID_ATTACK,9128,92.61,728
WOMEN_HURT,9128,92.61,728
WOMEN_GRIEVOUS_HURT,9128,92.61,728
WOMEN_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,9128,92.61,728
WOMEN_DACOITY_WITH_MURDER,9128,92.61,728
WOMEN_ATTEMPT_TO_COMMIT_MURDER,9128,92.61,728
WOMEN_MURDER,9128,92.61,728
WOMEN_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,9128,92.61,728
WOMEN_IN_OTHER_PLACES,9128,92.61,728
WOMEN_IN_PUBLIC_TRANSPORT_SYSTEM,9128,92.61,728
WOMEN_IN_PLACES_RELATED_TO_WORK,9128,92.61,728
WOMEN_DACOITY_TOTAL,9128,92.61,728
WOMEN_OTHER_DACOITY,9128,92.61,728
ST_IPC_DACOITY,9128,92.61,728
WOMEN_COMMISSION_OF_SATI_PREVENTION_ACT_1987,9128,92.61,728
WOMEN_ITP_UNDER_SECTION_8,9128,92.61,728
WOMEN_ITP_UNDER_SECTION_7,9128,92.61,728
WOMEN_ITP_UNDER_SECTION_6,9128,92.61,728
WOMEN_ITP_UNDER_SECTION_5,9128,92.61,728
WOMEN_IMMORAL_TRAFFIC_PREVENTION_ACT,9128,92.61,728
WOMEN_PROTECTION_OF_WOMEN_FROM_DOMESTIC_VIOLENCE_ACT_2005,9128,92.61,728
WOMEN_INDECENT_REPRESENTATION_OF_WOMEN_P_ACT_1986,9128,92.61,728
WOMEN_ROBBERY,9128,92.61,728
WOMEN_DOWRY_PROHIBITION_ACT_1961,9128,92.61,728
WOMEN_OTHER_IPC_CRIMES,9128,92.61,728
