,count,mean,std,min,1%,25%,50%,75%,95%,99%,max,missing_count,missing_pct
IPC_MURDER,9631.0,49.87405253867719,99.74099908157736,0.0,0.0,17.0,36.0,62.0,128.0,220.70000000000073,5047.0,225,2.28
IPC_ATTEMPT_TO_MURDER,8902.0,45.5796450235902,115.87554825827856,0.0,0.0,10.0,27.0,55.0,135.0,279.9899999999998,5259.0,954,9.68
IPC_RAPE,9631.0,34.78268092617589,95.20883650926213,0.0,0.0,8.0,21.0,42.0,93.0,190.0,4335.0,225,2.28
IPC_OTHER_RAPE,8902.0,33.55976185126938,97.61003815754572,0.0,0.0,8.0,20.0,40.0,88.0,178.0,4335.0,954,9.68
IPC_KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,8902.0,41.26993933947428,168.67069456756786,0.0,0.0,6.0,18.0,43.0,124.0,285.0,9737.0,954,9.68
IPC_KIDNAPPING_AND_ABDUCTION_OF_OTHERS,8902.0,13.935407773534036,58.31733890163179,0.0,0.0,1.0,5.0,12.0,43.0,134.96999999999935,2685.0,954,9.68
IPC_DACOITY,9631.0,7.102273907174748,17.88977518292736,0.0,0.0,1.0,3.0,8.0,27.0,52.0,833.0,225,2.28
IPC_PREPARATION_AND_ASSEMBLY_FOR_DACOITY,8902.0,4.18153223994608,21.491667452812635,0.0,0.0,0.0,0.0,2.0,17.0,62.0,1099.0,954,9.68
IPC_ROBBERY,9631.0,34.385629737306616,137.03482126815575,0.0,0.0,6.0,16.0,35.0,96.0,319.1000000000022,9746.0,225,2.28
IPC_BURGLARY,8902.0,140.10997528645248,366.4066451461504,0.0,0.0,27.0,78.0,161.0,383.0,1106.9799999999996,18328.0,954,9.68
IPC_THEFT,9631.0,471.7821617692867,1467.3928595488576,0.0,0.0,83.0,201.0,428.0,1468.0,4163.9000000000415,52670.0,225,2.28
IPC_OTHER_THEFT,8902.0,285.1148056616491,822.7598375076109,0.0,0.0,59.0,139.0,282.0,839.9499999999989,2256.99,34276.0,954,9.68
IPC_RIOTS,9631.0,94.27151905305783,263.2194850268226,0.0,0.0,10.0,42.0,111.0,323.0,617.7000000000007,11931.0,225,2.28
IPC_CHEATING,9631.0,105.4015159381165,393.4274915466116,0.0,0.0,12.0,36.0,99.0,356.0,1043.0,22796.0,225,2.28
IPC_COUNTERFIETING,8902.0,3.2992585935744776,11.142259998846358,0.0,0.0,0.0,1.0,3.0,12.0,38.98999999999978,338.0,954,9.68
IPC_ARSON,9631.0,13.643962205378465,37.43739689165204,0.0,0.0,2.0,7.0,18.0,44.0,72.0,2350.0,225,2.28
IPC_HURT_GREVIOUS_HURT,8902.0,415.86665917771285,1168.5727051637039,0.0,0.0,38.0,182.0,467.0,1469.0,2801.0,60488.0,954,9.68
IPC_INSULT_TO_MODESTY_OF_WOMEN,8902.0,15.64457425297686,73.8487931243313,0.0,0.0,0.0,1.0,11.0,70.0,207.96999999999935,4702.0,954,9.68
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,8902.0,0.1066052572455628,1.4207061547266517,0.0,0.0,0.0,0.0,0.0,0.0,2.0,60.0,954,9.68
IPC_TOTAL_IPC_CRIMES,8902.0,3090.3308245338126,7845.4777458505405,0.0,21.0,811.25,1947.5,3730.75,7922.799999999996,17467.439999999988,234385.0,954,9.68
IPC_ATTEMPT_TO_COMMIT_MURDER,729.0,53.6323731138546,108.1280241652578,0.0,0.0,11.0,30.0,63.0,168.0000000000001,342.9200000000003,2249.0,9127,92.6
IPC_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,729.0,5.013717421124828,21.909336875932976,0.0,0.0,0.0,0.0,0.0,24.600000000000023,120.60000000000014,218.0,9127,92.6
IPC_CUSTODIAL_GANG_RAPE,729.0,0.009602194787379973,0.1332847105301668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9127,92.6
IPC_CUSTODIAL_OTHER_RAPE,729.0,0.26337448559670784,1.862525204035318,0.0,0.0,0.0,0.0,0.0,0.0,8.720000000000027,28.0,9127,92.6
IPC_RAPE_OTHER_THAN_CUSTODIAL,729.0,49.40603566529492,56.29674874772663,0.0,0.0,13.0,35.0,67.0,144.80000000000007,257.0400000000002,607.0,9127,92.6
IPC_RAPE_GANG_RAPE,729.0,3.1097393689986284,7.381966894681659,0.0,0.0,0.0,0.0,3.0,15.0,27.0,111.0,9127,92.6
IPC_RAPE_OTHERS,729.0,46.2962962962963,52.858976802161315,0.0,0.0,12.0,33.0,62.0,139.4000000000001,231.16000000000008,591.0,9127,92.6
IPC_ATTEMPT_TO_COMMIT_RAPE,729.0,5.743484224965706,20.013011960562327,0.0,0.0,0.0,0.0,4.0,24.0,80.16000000000008,325.0,9127,92.6
IPC_KIDNAPPING_ABDUCTION_TOTAL,729.0,100.9122085048011,132.20133445437267,0.0,0.0,21.0,61.0,130.0,354.6,681.6000000000001,1198.0,9127,92.6
IPC_KIDNAPPING_ABDUCTION_IN_ORDER_TO_MURDER,729.0,2.0603566529492454,12.003853794368705,0.0,0.0,0.0,0.0,0.0,8.0,51.64000000000033,227.0,9127,92.6
IPC_KIDNAPPING_FOR_RANSOM,729.0,0.8106995884773662,2.071482369634334,0.0,0.0,0.0,0.0,1.0,4.0,10.440000000000055,23.0,9127,92.6
IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,729.0,40.305898491083674,62.82245154764907,0.0,0.0,0.0,14.0,53.0,171.60000000000002,264.72,519.0,9127,92.6
IPC_OTHER_KIDNAPPING,729.0,25.315500685871058,51.210181997020136,0.0,0.0,0.0,7.0,28.0,115.60000000000002,225.24000000000046,728.0,9127,92.6
IPC_DACOITY_WITH_MURDER,729.0,0.102880658436214,0.40478584525431127,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,9127,92.6
IPC_OTHER_DACOITY,729.0,5.227709190672154,8.08897977395454,0.0,0.0,0.0,3.0,7.0,20.0,37.88000000000011,90.0,9127,92.6
IPC_MAKING_PREPARATION_AND_ASSEMBLY_FOR_COMMITTING_DACOITY,729.0,3.179698216735254,11.795968039830976,0.0,0.0,0.0,0.0,2.0,15.0,50.9200000000003,170.0,9127,92.6
IPC_CRIMINAL_TRESPASS_BURGLARY,729.0,140.5980795610425,223.72277057382854,0.0,0.0,29.0,82.0,174.0,413.80000000000007,1071.4800000000002,3055.0,9127,92.6
IPC_CRIMINAL_TRESPASS_OR_BURGLARY,729.0,104.58024691358025,180.03631179660275,0.0,0.0,7.0,51.0,135.0,338.8000000000002,808.1200000000019,2531.0,9127,92.6
IPC_HOUSE_TRESPASS_HOUSE_BREAKING,729.0,36.01783264746228,83.1361815430554,0.0,0.0,0.0,4.0,36.0,163.60000000000014,394.52000000000044,1041.0,9127,92.6
IPC_OTHER_THEFTS,729.0,296.87654320987656,714.6868645832345,0.0,0.0,50.0,135.0,270.0,866.0000000000007,4349.480000000015,7375.0,9127,92.6
IPC_UNLAWFUL_ASSEMBLY,729.0,11.925925925925926,55.654077780755415,0.0,0.0,0.0,0.0,1.0,60.200000000000045,258.28000000000065,1042.0,9127,92.6
IPC_RIOTS_COMMUNAL,729.0,1.5500685871056241,13.361439027286872,0.0,0.0,0.0,0.0,0.0,3.6000000000000227,24.320000000000164,207.0,9127,92.6
