feature,q1,q3,iqr,upper_bound,outlier_count,outlier_pct
ST_RAPE,0.0,0.0,0.0,0.0,2151,24.2
ST_HURT,0.0,0.0,0.0,0.0,1967,22.13
SC_KIDNAPPING_AND_ABDUCTION,0.0,0.0,0.0,0.0,1913,21.61
ST_PREVENTION_OF_ATROCITIES_POA_ACT,0.0,0.0,0.0,0.0,1873,21.07
CHILDREN_EXPOSURE_AND_ABANDONMENT,0.0,0.0,0.0,0.0,1749,19.75
ST_OTHER_CRIMES_AGAINST_STS,0.0,2.0,2.0,5.0,1576,17.73
CHILDREN_OTHER_CRIMES,0.0,4.0,4.0,10.0,1473,16.64
SC_ARSON,0.0,0.0,0.0,0.0,1416,15.99
SC_PREVENTION_OF_ATROCITIES_POA_ACT,0.0,14.0,14.0,35.0,1193,13.48
IPC_PREPARATION_AND_ASSEMBLY_FOR_DACOITY,0.0,2.0,2.0,5.0,1148,12.9
SC_HURT,0.0,5.0,5.0,12.5,1121,12.66
WOMEN_INSULT_TO_MODESTY_OF_WOMEN,0.0,11.0,11.0,27.5,1121,12.59
IPC_INSULT_TO_MODESTY_OF_WOMEN,0.0,11.0,11.0,27.5,1121,12.59
SC_OTHER_CRIMES_AGAINST_SCS,0.0,18.0,18.0,45.0,1109,12.53
CHILDREN_KIDNAPPING_AND_ABDUCTION,0.0,10.0,10.0,25.0,1093,12.34
SC_MURDER,0.0,1.0,1.0,2.5,1086,12.27
ST_MURDER,0.0,0.0,0.0,0.0,1042,11.72
IPC_AUTO_THEFT,12.0,134.0,122.0,317.0,996,10.34
IPC_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,0.0,6.0,6.0,15.0,976,10.13
IPC_CHEATING,12.0,99.0,87.0,229.5,954,9.91
IPC_DACOITY,1.0,8.0,7.0,18.5,873,9.06
IPC_THEFT,83.0,428.0,345.0,945.5,865,8.98
IPC_KIDNAPPING_AND_ABDUCTION_OF_OTHERS,1.0,12.0,11.0,28.5,856,9.62
CHILDREN_RAPE,0.0,9.0,9.0,22.5,838,9.46
IPC_CRIMINAL_BREACH_OF_TRUST,3.0,25.0,22.0,58.0,824,8.56
IPC_COUNTERFIETING,0.0,3.0,3.0,7.5,821,9.22
IPC_HURT_GREVIOUS_HURT,38.0,467.0,429.0,1110.5,806,9.05
CHILDREN_TOTAL,0.0,37.0,37.0,92.5,802,9.05
IPC_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,10.0,131.0,121.0,312.5,778,8.08
WOMEN_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,10.0,131.0,121.0,312.5,778,8.08
IPC_RIOTS,10.0,111.0,101.0,262.5,727,7.55
IPC_OTHER_THEFT,59.0,282.0,223.0,616.5,723,8.12
IPC_KIDNAPPING_ABDUCTION,8.0,55.0,47.0,125.5,715,7.42
CHILDREN_PROHIBITION_OF_CHILD_MARRIAGE_ACT,0.0,0.0,0.0,0.0,713,8.05
IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,9.0,78.0,69.0,181.5,696,7.23
ST_KIDNAPPING_ABDUCTION,0.0,0.0,0.0,0.0,676,7.61
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,9.0,73.0,64.0,169.0,673,7.56
IPC_ROBBERY,6.0,35.0,29.0,78.5,672,6.98
WOMEN_KIDNAPPING_AND_ABDUCTION,6.0,43.0,37.0,98.5,664,7.46
IPC_KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,6.0,43.0,37.0,98.5,664,7.46
SC_RAPE,0.0,3.0,3.0,7.5,605,6.83
CHILDREN_FOETICIDE,0.0,0.0,0.0,0.0,601,6.79
SC_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,0.0,0.0,0.0,0.0,566,6.39
SC_ROBBERY,0.0,0.0,0.0,0.0,562,6.35
CHILDREN_PROCURATION_OF_MINOR_GIRLS,0.0,0.0,0.0,0.0,557,6.29
IPC_ATTEMPT_TO_MURDER,10.0,55.0,45.0,122.5,536,6.02
CHILDREN_MURDER,0.0,3.0,3.0,7.5,521,6.42
IPC_OTHER_IPC_CRIMES,241.0,1513.0,1272.0,3421.0,510,5.3
IPC_CAUSING_DEATH_BY_NEGLIGENCE,5.5,167.0,161.5,409.25,508,5.27
IPC_ARSON,2.0,18.0,16.0,42.0,506,5.25
WOMEN_DOWRY_DEATHS,0.0,16.0,16.0,40.0,504,5.23
IPC_DOWRY_DEATHS,0.0,16.0,16.0,40.0,504,5.23
IPC_BURGLARY,27.0,161.0,134.0,362.0,499,5.61
WOMEN_RAPE,8.0,42.0,34.0,93.0,472,4.9
IPC_RAPE,8.0,42.0,34.0,93.0,472,4.9
