STATE,major_crime_aggregate
MADHYA PRADESH,4687995.0
MAHARASHTRA,3794564.0
UTTAR PRADESH,3314454.0
RAJASTHAN,3184315.0
ANDHRA PRADESH,3115642.0
TAMIL NADU,2893172.0
DELHI UT,2758976.0
KARNATAKA,2608056.0
GUJARAT,2457178.0
BIHAR,2421187.0
KERALA,2101191.0
WEST BENGAL,1989562.0
Madhya Pradesh,1313417.0
Uttar Pradesh,1204031.0
HARYANA,1173775.0
ODISHA,1172092.0
Maharashtra,1122785.0
CHHATTISGARH,1062310.0
Rajasthan,992446.0
Tamil Nadu,909687.0
Bihar,901425.0
ASSAM,900100.0
West Bengal,878580.0
Andhra Pradesh,864508.0
JHARKHAND,776151.0
Kerala,737209.0
Gujarat,703010.0
PUNJAB,665934.0
Karnataka,623042.0
Delhi UT,610035.0
JAMMU & KASHMIR,463825.0
Haryana,408843.0
Assam,401558.0
Odisha,360242.0
Chhattisgarh,297049.0
HIMACHAL PRADESH,287040.0
Jharkhand,244132.0
UTTARAKHAND,185800.0
Punjab,168472.0
Telangana,125807.0
Jammu & Kashmir,124846.0
PUDUCHERRY,108096.0
CHANDIGARH,93123.0
TRIPURA,87734.0
Himachal Pradesh,70527.0
GOA,64076.0
MANIPUR,61665.0
MIZORAM,57628.0
ARUNACHAL PRADESH,52821.0
MEGHALAYA,47145.0
Uttarakhand,46687.0
Tripura,27767.0
NAGALAND,25465.0
Goa,23721.0
Chandigarh,22934.0
Puducherry,20675.0
Manipur,18073.0
A & N ISLANDS,17790.0
Meghalaya,17072.0
Arunachal Pradesh,13308.0
SIKKIM,12891.0
Mizoram,10567.0
D & N HAVELI,8762.0
Nagaland,6753.0
DAMAN & DIU,5407.0
Sikkim,4547.0
A&N Islands,3148.0
D&N Haveli,1568.0
LAKSHADWEEP,1389.0
Daman & Diu,1139.0
Lakshadweep,288.0
DELHI,0.0
