STATE,row_count
UTTAR PRADESH,867
MADHYA PRADESH,617
BIHAR,528
MAHARASHTRA,456
ODISHA,418
RAJASTHAN,408
ASSAM,339
KARNATAKA,337
TAMIL NADU,335
GUJARAT,324
ANDHRA PRADESH,318
JHARKHAND,301
JAMMU & KASHMIR,294
PUNJAB,292
WEST BENGAL,290
CHHATTISGARH,261
HARYANA,256
DELHI,205
DELHI UT,183
ARUNACHAL PRADESH,180
KERALA,178
HIMACHAL PRADESH,164
UTTARAKHAND,156
Uttar Pradesh,153
NAGALAND,126
MANIPUR,113
Madhya Pradesh,107
MIZORAM,96
Bihar,87
MEGHALAYA,85
Rajasthan,78
Maharashtra,75
Odisha,73
Gujarat,64
Tamil Nadu,64
Karnataka,61
Assam,60
West Bengal,58
Chhattisgarh,57
Jammu & Kashmir,55
TRIPURA,55
Punjab,51
Jharkhand,51
SIKKIM,48
Haryana,45
Andhra Pradesh,42
Delhi UT,37
Arunachal Pradesh,35
Himachal Pradesh,31
Kerala,30
Uttarakhand,27
GOA,24
DAMAN & DIU,24
A & N ISLANDS,24
Meghalaya,23
Nagaland,23
Manipur,21
Mizoram,20
PUDUCHERRY,19
Tripura,19
LAKSHADWEEP,12
CHANDIGARH,12
D & N HAVELI,12
Telangana,10
Sikkim,10
A&N Islands,7
Goa,6
Daman & Diu,5
Puducherry,5
Chandigarh,3
D&N Haveli,3
Lakshadweep,3
