STATE,IPC_TOTAL_IPC_CRIMES,IPC_OTHER_IPC_CRIMES,IPC_THEFT,IPC_HURT_GREVIOUS_HURT,IPC_TOTAL_COGNIZABLE_IPC_CRIMES,IPC_OTHER_THEFT,IPC_AUTO_THEFT,IPC_BURGLARY
A & N ISLANDS,9102.0,4443.0,1124.0,1105.0,,1039.0,85.0,892.0
A&N Islands,1224.0,787.0,119.0,110.0,746.0,70.0,8.0,84.0
ANDHRA PRADESH,1707750.0,434863.0,213655.0,466100.0,,167265.0,46390.0,79619.0
ARUNACHAL PRADESH,27354.0,7326.0,5147.0,5091.0,,4082.0,1065.0,2756.0
ASSAM,520834.0,154729.0,66872.0,62742.0,,58575.0,8297.0,28051.0
Andhra Pradesh,395320.0,128180.0,62850.0,111605.0,92538.0,38119.0,17946.0,17950.0
Arunachal Pradesh,5443.0,2035.0,1330.0,974.0,2086.0,706.0,347.0,387.0
Assam,162210.0,84323.0,28377.0,16013.0,82121.0,12359.0,8401.0,7754.0
BIHAR,1346293.0,538591.0,153372.0,189266.0,,119151.0,34221.0,40293.0
Bihar,334910.0,195868.0,64238.0,71350.0,175172.0,28516.0,23001.0,8370.0
CHANDIGARH,40807.0,11605.0,18474.0,816.0,,9279.0,9195.0,2947.0
CHHATTISGARH,561027.0,245855.0,62873.0,85026.0,,42678.0,20195.0,44656.0
Chandigarh,8154.0,2772.0,4298.0,118.0,3221.0,1290.0,2565.0,516.0
Chhattisgarh,113740.0,67441.0,16476.0,21092.0,58200.0,5564.0,7482.0,7054.0
D & N HAVELI,4651.0,1859.0,773.0,318.0,,484.0,289.0,388.0
D&N Haveli,628.0,308.0,154.0,30.0,277.0,64.0,65.0,42.0
DAMAN & DIU,2948.0,661.0,564.0,190.0,,222.0,342.0,480.0
DELHI,,,,,,,,
DELHI UT,1266348.0,474914.0,463092.0,44420.0,,209058.0,254034.0,47110.0
Daman & Diu,492.0,141.0,107.0,28.0,233.0,26.0,74.0,38.0
Delhi UT,160368.0,65458.0,137546.0,3536.0,153838.0,30416.0,53203.0,5670.0
GOA,32051.0,9948.0,8045.0,2287.0,,5168.0,2877.0,3700.0
GUJARAT,1234232.0,647671.0,200112.0,119736.0,,107895.0,92217.0,55315.0
Goa,8624.0,3071.0,3430.0,698.0,4466.0,1568.0,1094.0,770.0
Gujarat,299456.0,224308.0,36554.0,18874.0,81672.0,13209.0,19464.0,9473.0
HARYANA,591879.0,223623.0,130585.0,51079.0,,47482.0,83103.0,46024.0
HIMACHAL PRADESH,154948.0,87178.0,9658.0,15909.0,,6706.0,2952.0,9689.0
Haryana,140831.0,66032.0,56297.0,6184.0,76872.0,10237.0,40634.0,11756.0
Himachal Pradesh,27500.0,20513.0,2288.0,2314.0,14160.0,1074.0,814.0,1864.0
JAMMU & KASHMIR,258829.0,132807.0,25630.0,3883.0,,17598.0,8032.0,17046.0
JHARKHAND,422351.0,154239.0,71322.0,40237.0,,52822.0,18500.0,16680.0
Jammu & Kashmir,50740.0,36948.0,5484.0,648.0,23813.0,2556.0,1883.0,2774.0
Jharkhand,96416.0,51771.0,20385.0,11944.0,44782.0,9288.0,6868.0,2678.0
KARNATAKA,1338418.0,613092.0,181426.0,227491.0,,100052.0,81374.0,66203.0
KERALA,1133404.0,640115.0,50137.0,189043.0,,32000.0,18137.0,38355.0
Karnataka,258576.0,132527.0,44998.0,40332.0,94361.0,19040.0,21937.0,11271.0
Kerala,296916.0,242153.0,9847.0,34777.0,140654.0,4629.0,3281.0,4952.0
LAKSHADWEEP,743.0,327.0,113.0,57.0,,102.0,11.0,36.0
Lakshadweep,80.0,66.0,31.0,10.0,81.0,16.0,0.0,4.0
MADHYA PRADESH,2413770.0,1196582.0,263860.0,412577.0,,163748.0,100112.0,137346.0
MAHARASHTRA,1896953.0,463561.0,492286.0,291092.0,,341003.0,151283.0,158386.0
MANIPUR,35072.0,12737.0,4834.0,3433.0,,2020.0,2814.0,755.0
MEGHALAYA,25249.0,6264.0,6004.0,1736.0,,4538.0,1466.0,1888.0
MIZORAM,26146.0,5912.0,9803.0,1216.0,,9339.0,464.0,4748.0
Madhya Pradesh,454906.0,355674.0,76321.0,70512.0,268645.0,23524.0,41821.0,22014.0
Maharashtra,426304.0,151618.0,140220.0,55414.0,201458.0,62601.0,51538.0,33632.0
Manipur,6356.0,2250.0,2709.0,446.0,3641.0,334.0,2167.0,170.0
Meghalaya,6518.0,2445.0,2091.0,552.0,3679.0,988.0,425.0,374.0
Mizoram,3418.0,606.0,2138.0,140.0,2140.0,1160.0,217.0,748.0
NAGALAND,13133.0,3050.0,3802.0,532.0,,2684.0,1118.0,1146.0
Nagaland,2432.0,714.0,1230.0,118.0,1157.0,350.0,680.0,72.0
ODISHA,647946.0,246206.0,82837.0,75761.0,,60266.0,22571.0,36505.0
Odisha,143436.0,60270.0,29498.0,21486.0,74569.0,13012.0,10477.0,7494.0
PUDUCHERRY,54116.0,27490.0,7366.0,10694.0,,2852.0,4514.0,1064.0
PUNJAB,372676.0,112996.0,49148.0,55156.0,,28285.0,20863.0,26810.0
Puducherry,7512.0,4922.0,1612.0,1430.0,3584.0,416.0,1057.0,142.0
Punjab,69400.0,28284.0,13897.0,7333.0,33531.0,5537.0,5381.0,5109.0
RAJASTHAN,1717863.0,728582.0,213181.0,250861.0,,118920.0,94261.0,60647.0
Rajasthan,376038.0,221677.0,82603.0,36268.0,193295.0,20323.0,51157.0,11085.0
SIKKIM,7000.0,2037.0,1019.0,939.0,,925.0,94.0,877.0
Sikkim,1702.0,730.0,370.0,244.0,1065.0,210.0,56.0,170.0
TAMIL NADU,1509266.0,882576.0,129734.0,202616.0,,96674.0,33060.0,39246.0
TRIPURA,52734.0,14044.0,4623.0,9306.0,,4014.0,609.0,2404.0
Tamil Nadu,345786.0,290650.0,30399.0,36854.0,173136.0,14169.0,9684.0,9009.0
Telangana,,29261.0,9986.0,,83238.0,,3322.0,
