STATE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
A & N ISLANDS,2,2,2,2,2,2,1,2,2,2,2,3,0,0
A&N Islands,0,0,0,0,0,0,0,0,0,0,0,0,4,3
ANDHRA PRADESH,26,26,27,27,27,26,26,26,26,27,27,27,0,0
ARUNACHAL PRADESH,13,13,15,15,15,15,15,15,16,16,16,16,0,0
ASSAM,27,26,26,26,29,29,29,29,29,29,29,31,0,0
Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,28,14
Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,18,17
Assam,0,0,0,0,0,0,0,0,0,0,0,0,33,27
BIHAR,44,44,44,44,44,44,44,44,44,44,44,44,0,0
Bihar,0,0,0,0,0,0,0,0,0,0,0,0,45,42
CHANDIGARH,1,1,1,1,1,1,1,1,1,1,1,1,0,0
CHHATTISGARH,19,19,20,20,21,21,21,24,24,22,22,28,0,0
Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,29,28
D & N HAVELI,1,1,1,1,1,1,1,1,1,1,1,1,0,0
D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,2,1
DAMAN & DIU,2,2,2,2,2,2,2,2,2,2,2,2,0,0
DELHI,14,20,19,19,14,14,15,18,18,18,18,18,0,0
DELHI UT,13,14,13,13,13,13,14,18,18,18,18,18,0,0
Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Delhi UT,0,0,0,0,0,0,0,0,0,0,0,0,19,18
GOA,2,2,2,2,2,2,2,2,2,2,2,2,0,0
GUJARAT,26,26,26,26,26,26,26,27,27,28,30,30,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Gujarat,0,0,0,0,0,0,0,0,0,0,0,0,31,33
HARYANA,22,20,20,20,21,22,22,22,22,22,22,21,0,0
HIMACHAL PRADESH,13,13,13,13,13,13,13,13,15,15,15,15,0,0
Haryana,0,0,0,0,0,0,0,0,0,0,0,0,23,22
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,16,15
JAMMU & KASHMIR,22,23,23,23,23,23,23,26,26,28,27,27,0,0
JHARKHAND,25,24,24,24,24,24,26,26,26,26,26,26,0,0
Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,28,27
Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,27,24
KARNATAKA,27,27,27,27,27,27,27,29,29,30,30,30,0,0
KERALA,15,15,18,15,15,15,15,14,14,14,14,14,0,0
Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,31,30
Kerala,0,0,0,0,0,0,0,0,0,0,0,0,15,15
LAKSHADWEEP,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,2,1
MADHYA PRADESH,48,48,52,51,51,51,51,53,53,53,53,53,0,0
MAHARASHTRA,38,38,38,38,38,38,38,38,38,38,38,38,0,0
MANIPUR,9,9,9,9,9,9,9,10,10,10,10,10,0,0
MEGHALAYA,7,7,8,7,7,7,7,7,7,7,7,7,0,0
MIZORAM,8,8,8,8,8,8,8,8,8,8,8,8,0,0
Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,55,52
Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,39,36
Manipur,0,0,0,0,0,0,0,0,0,0,0,0,11,10
Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,12,11
Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,11,9
NAGALAND,10,10,10,10,10,10,11,11,11,11,11,11,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,12,11
ODISHA,34,34,34,34,34,34,34,36,36,36,36,36,0,0
Odisha,0,0,0,0,0,0,0,0,0,0,0,0,37,36
PUDUCHERRY,1,1,1,1,1,2,2,2,2,2,2,2,0,0
PUNJAB,24,24,24,25,24,25,24,23,23,23,28,25,0,0
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Punjab,0,0,0,0,0,0,0,0,0,0,0,0,26,25
RAJASTHAN,33,33,33,33,33,33,33,34,34,35,36,38,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,40,38
SIKKIM,4,4,4,4,4,4,4,4,4,4,4,4,0,0
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,5,5
TAMIL NADU,28,27,28,28,27,27,27,27,29,29,29,29,0,0
TRIPURA,4,4,4,4,4,4,4,4,4,5,5,9,0,0
Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,30,34
Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Tripura,0,0,0,0,0,0,0,0,0,0,0,0,10,9
UTTAR PRADESH,71,71,72,71,71,71,71,72,72,73,76,76,0,0
UTTARAKHAND,13,13,13,13,13,13,13,13,13,13,13,13,0,0
Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,77,76
Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,14,13
WEST BENGAL,22,24,24,24,24,24,24,24,24,24,24,28,0,0
West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,29,29
