feature,observed_sum,mean,median,non_missing,missing_pct
IPC_TOTAL_IPC_CRIMES,27510125.0,3090.3308245338126,1947.5,8902,9.679383116883116
IPC_OTHER_IPC_CRIMES,12066571.0,1252.888692762953,697.0,9631,2.282873376623377
IPC_THEFT,4543734.0,471.7821617692867,201.0,9631,2.282873376623377
IPC_HURT_GREVIOUS_HURT,3702045.0,415.86665917771285,182.0,8902,9.679383116883116
IPC_TOTAL_COGNIZABLE_IPC_CRIMES,2540164.0,3484.4499314128943,2469.0,729,92.60349025974025
IPC_OTHER_THEFT,2538092.0,285.1148056616491,139.0,8902,9.679383116883116
IPC_AUTO_THEFT,1789219.0,185.7770740317724,46.0,9631,2.282873376623377
IPC_BURGLARY,1247259.0,140.10997528645248,78.0,8902,9.679383116883116
IPC_CAUSING_DEATH_BY_NEGLIGENCE,1218156.0,126.48281590696709,68.0,9631,2.282873376623377
IPC_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,1156619.0,120.09334440868031,47.0,9631,2.282873376623377
WOMEN_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,1156619.0,120.10581516095534,47.0,9630,2.2930194805194803
IPC_CHEATING,1015122.0,105.4015159381165,36.0,9631,2.282873376623377
IPC_RIOTS,907929.0,94.27151905305783,42.0,9631,2.282873376623377
IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,638532.0,66.29965735645312,31.0,9631,2.282873376623377
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,563338.0,63.28218377892608,30.0,8902,9.679383116883116
IPC_KIDNAPPING_ABDUCTION,515072.0,53.480635448032395,24.0,9631,2.282873376623377
IPC_MURDER,480337.0,49.87405253867719,36.0,9631,2.282873376623377
WOMEN_TOTAL_CRIMES_AGAINST_WOMEN,418711.0,575.1524725274726,382.0,728,92.61363636363636
IPC_ATTEMPT_TO_MURDER,405750.0,45.5796450235902,27.0,8902,9.679383116883116
WOMEN_KIDNAPPING_AND_ABDUCTION,367385.0,41.26993933947428,18.0,8902,9.679383116883116
IPC_KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,367385.0,41.26993933947428,18.0,8902,9.679383116883116
IPC_INCIDENCE_OF_RASH_DRIVING,338286.0,464.0411522633745,177.0,729,92.60349025974025
IPC_RAPE,334992.0,34.78268092617589,21.0,9631,2.282873376623377
WOMEN_RAPE,334992.0,34.786292834890965,21.0,9630,2.2930194805194803
IPC_ROBBERY,331168.0,34.385629737306616,16.0,9631,2.282873376623377
IPC_OTHER_RAPE,298749.0,33.55976185126938,20.0,8902,9.679383116883116
CHILDREN_TOTAL,295512.0,33.338447653429604,10.0,8864,10.064935064935066
IPC_CRIMINAL_BREACH_OF_TRUST,233691.0,24.264458519364553,11.0,9631,2.282873376623377
IPC_OTHER_THEFTS,216423.0,296.87654320987656,135.0,729,92.60349025974025
SC_OTHER_CRIMES_AGAINST_SCS,167992.0,18.975714447080087,2.0,8853,10.176542207792208
IPC_INSULT_TO_MODESTY_OF_WOMEN,139268.0,15.64457425297686,1.0,8902,9.679383116883116
WOMEN_INSULT_TO_MODESTY_OF_WOMEN,139268.0,15.64457425297686,1.0,8902,9.679383116883116
IPC_ARSON,131405.0,13.643962205378465,7.0,9631,2.282873376623377
SC_PREVENTION_OF_ATROCITIES_POA_ACT,129900.0,14.672992206031854,1.0,8853,10.176542207792208
IPC_KIDNAPPING_AND_ABDUCTION_OF_OTHERS,124053.0,13.935407773534036,5.0,8902,9.679383116883116
CHILDREN_KIDNAPPING_AND_ABDUCTION,114258.0,12.904675852721933,1.0,8854,10.166396103896105
WOMEN_DOWRY_DEATHS,113501.0,11.786188992731049,5.0,9630,2.2930194805194803
IPC_DOWRY_DEATHS,113501.0,11.784965216488423,5.0,9631,2.282873376623377
IPC_DEATHS_DUE_TO_NEGLIGENT_DRIVING_ACT,110584.0,151.69272976680384,114.0,729,92.60349025974025
IPC_CRIMINAL_TRESPASS_BURGLARY,102496.0,140.5980795610425,82.0,729,92.60349025974025
IPC_GRIEVOUS_HURT,100244.0,137.50891632373114,42.0,729,92.60349025974025
IPC_HURT,100001.0,137.1755829903978,42.0,729,92.60349025974025
CHILDREN_OTHER_CRIMES,78468.0,8.862435057601084,0.0,8854,10.166396103896105
IPC_CRIMINAL_TRESPASS_OR_BURGLARY,76239.0,104.58024691358025,51.0,729,92.60349025974025
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY_TOTAL,75194.0,103.28846153846153,60.0,728,92.61363636363636
IPC_KIDNAPPING_ABDUCTION_TOTAL,73565.0,100.9122085048011,61.0,729,92.60349025974025
IPC_DACOITY,68402.0,7.102273907174748,3.0,9631,2.282873376623377
CHILDREN_RAPE,66039.0,7.458662751298848,2.0,8854,10.166396103896105
WOMEN_OTHER_IPC_CRIMES,59535.0,81.77884615384616,0.0,728,92.61363636363636
IPC_RIOTS_OTHERS,55628.0,76.30727023319616,28.0,729,92.60349025974025
WOMEN_KIDNAPPING_ABDUCTION_TOTAL,54723.0,75.16895604395604,45.0,728,92.61363636363636
IPC_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,53788.0,5.584882151386149,2.0,9631,2.282873376623377
SC_HURT,50121.0,5.661470687902406,0.0,8853,10.176542207792208
SC_TOTAL_CRIMES_AGAINST_SCS,43944.0,60.362637362637365,24.0,728,92.61363636363636
WOMEN_OTHERS,43854.0,60.239010989010985,25.0,728,92.61363636363636
IPC_OTHER_ASSAULT_ON_WOMEN,43854.0,60.15637860082305,25.0,729,92.60349025974025
IPC_ATTEMPT_TO_COMMIT_MURDER,39098.0,53.6323731138546,30.0,729,92.60349025974025
SC_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,38256.0,52.54945054945055,21.0,728,92.61363636363636
ST_OTHER_CRIMES_AGAINST_STS,37693.0,4.240886588658866,0.0,8888,9.821428571428571
IPC_PREPARATION_AND_ASSEMBLY_FOR_DACOITY,37224.0,4.18153223994608,0.0,8902,9.679383116883116
IPC_RAPE_OTHER_THAN_CUSTODIAL,36017.0,49.40603566529492,35.0,729,92.60349025974025
WOMEN_RAPE_OTHER_THAN_CUSTODIAL,36017.0,49.4739010989011,35.0,728,92.61363636363636
IPC_RAPE_OTHERS,33750.0,46.2962962962963,33.0,729,92.60349025974025
WOMEN_RAPE_OTHERS,33750.0,46.35989010989011,33.0,728,92.61363636363636
WOMEN_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,29383.0,40.36126373626374,14.0,728,92.61363636363636
IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,29383.0,40.305898491083674,14.0,729,92.60349025974025
IPC_COUNTERFIETING,29370.0,3.2992585935744776,1.0,8902,9.679383116883116
IPC_HOUSE_TRESPASS_HOUSE_BREAKING,26257.0,36.01783264746228,4.0,729,92.60349025974025
SC_POA_OTHER_IPC_CRIMES,20679.0,28.40521978021978,3.0,728,92.61363636363636
IPC_SEXUAL_HARASSMENT,20288.0,27.829903978052126,5.0,729,92.60349025974025
WOMEN_SEXUAL_HARASSMENT,20288.0,27.86813186813187,5.5,728,92.61363636363636
IPC_OTHER_KIDNAPPING,18455.0,25.315500685871058,7.0,729,92.60349025974025
SC_RAPE,17079.0,1.9291765503219247,0.0,8853,10.176542207792208
ST_PREVENTION_OF_ATROCITIES_POA_ACT,16804.0,1.8906390639063906,0.0,8888,9.821428571428571
WOMEN_KIDNAPING_ABDUCTION,16141.0,22.171703296703296,0.0,728,92.61363636363636
CHILDREN_MURDER,16100.0,1.9830028328611897,0.0,8119,17.623782467532468
WOMEN_OTHER_SLL_CRIMES_AGAINST_WOMEN,11119.0,15.273351648351648,0.0,728,92.61363636363636
ST_TOTAL_CRIMES_AGAINST_STS,10850.0,14.903846153846153,0.0,728,92.61363636363636
ST_HURT,10827.0,1.218159315931593,0.0,8888,9.821428571428571
IPC_FORGERY,10561.0,14.486968449931412,0.0,729,92.60349025974025
WOMEN_GRIEVOUS_HURT,9409.0,12.92445054945055,2.0,728,92.61363636363636
CHILDREN_EXPOSURE_AND_ABANDONMENT,9393.0,1.0608764400271065,0.0,8854,10.166396103896105
WOMEN_HURT,9240.0,12.692307692307692,2.0,728,92.61363636363636
WOMEN_DOWRY_PROHIBITION_ACT_1961,9046.0,12.425824175824175,0.0,728,92.61363636363636
WOMEN_ROBBERY,9005.0,12.369505494505495,0.0,728,92.61363636363636
WOMEN_KIDNAPING_ABDUCTION_OTHERS,8917.0,12.248626373626374,0.0,728,92.61363636363636
ST_RAPE,8850.0,0.9957245724572458,0.0,8888,9.821428571428571
IPC_UNLAWFUL_ASSEMBLY,8694.0,11.925925925925926,0.0,729,92.60349025974025
WOMEN_INSULT_TO_THE_MODESTY_OF_WOMEN_TOTAL,8467.0,11.630494505494505,0.0,728,92.61363636363636
IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,8467.0,11.614540466392318,0.0,729,92.60349025974025
SC_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,8245.0,11.32554945054945,0.0,728,92.61363636363636
SC_MURDER,8230.0,0.9296283745622953,0.0,8853,10.176542207792208
WOMEN_MURDER,8127.0,11.163461538461538,8.0,728,92.61363636363636
WOMEN_IN_OTHER_PLACES,7881.0,10.82554945054945,0.0,728,92.61363636363636
IPC_PLACES_OTHER_THAN_231_232_233,7881.0,10.810699588477366,0.0,729,92.60349025974025
IPC_EXTORTION,7429.0,10.190672153635116,2.0,729,92.60349025974025
ST_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,6401.0,8.792582417582418,0.0,728,92.61363636363636
WOMEN_ATTEMPT_TO_COMMIT_MURDER,6218.0,8.541208791208792,1.0,728,92.61363636363636
IPC_ASSAULT_OR_USE_OF_CRIMINAL_FORCE_TO_WOMEN_WITH_INTENT_TO_DISROBE,6173.0,8.467764060356654,0.0,729,92.60349025974025
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,6173.0,8.479395604395604,0.0,728,92.61363636363636
IPC_DEATHS_DUE_TO_OTHER_CAUSES,5692.0,7.8079561042524,0.0,729,92.60349025974025
