feature,non_missing,missing,missing_pct,mean,median,max,sum
IPC_TOTAL_IPC_CRIMES,8902,954,9.68,3090.3308245338126,1947.5,234385.0,27510125.0
IPC_KIDNAPPING_ABDUCTION_TOTAL,729,9127,92.6,100.9122085048011,61.0,1198.0,73565.0
IPC_TOTAL_COGNIZABLE_IPC_CRIMES,729,9127,92.6,3484.4499314128943,2469.0,40361.0,2540164.0
SC_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,728,9128,92.61,1.0,0.0,19.0,728.0
SC_POA_KIDNAPING_ABDUCTION_TOTAL,728,9128,92.61,0.22664835164835165,0.0,16.0,165.0
SC_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,728,9128,92.61,52.54945054945055,21.0,770.0,38256.0
SC_TOTAL_IPC_CRIMES_AGAINST_SCS,728,9128,92.61,7.471153846153846,0.0,544.0,5439.0
SC_TOTAL_CRIMES_AGAINST_SCS,728,9128,92.61,60.362637362637365,24.0,876.0,43944.0
ST_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,728,9128,92.61,0.22252747252747251,0.0,15.0,162.0
ST_POA_KIDNAPING_ABDUCTION_TOTAL,728,9128,92.61,0.050824175824175824,0.0,6.0,37.0
ST_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,728,9128,92.61,8.792582417582418,0.0,100.0,6401.0
ST_TOTAL_IPC_CRIMES_AGAINST_STS,728,9128,92.61,5.96978021978022,0.0,1929.0,4346.0
ST_TOTAL_CRIMES_AGAINST_STS,728,9128,92.61,14.903846153846153,0.0,2060.0,10850.0
CHILDREN_TOTAL,8864,992,10.06,33.338447653429604,10.0,2160.0,295512.0
WOMEN_KIDNAPPING_ABDUCTION_TOTAL,728,9128,92.61,75.16895604395604,45.0,696.0,54723.0
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY_TOTAL,728,9128,92.61,103.28846153846153,60.0,1626.0,75194.0
WOMEN_INSULT_TO_THE_MODESTY_OF_WOMEN_TOTAL,728,9128,92.61,11.630494505494505,0.0,665.0,8467.0
WOMEN_DACOITY_TOTAL,728,9128,92.61,0.36675824175824173,0.0,53.0,267.0
WOMEN_TOTAL_CRIMES_AGAINST_WOMEN,728,9128,92.61,575.1524725274726,382.0,8244.0,418711.0
