UNIT_NAME,row_count
NORTH,53
SOUTH,53
WEST,51
G.R.P.,49
EAST,38
ZZ TOTAL,35
BILASPUR,26
HAMIRPUR,26
BALRAMPUR,26
NEW DELHI,25
CENTRAL,25
DELHI UT TOTAL,24
NORTH-EAST,20
IGI AIRPORT,20
NORTH-WEST,20
SOUTH-WEST,20
STF,19
PRATAPGARH,19
GRP(RLY),17
GRP,16
BIJAPUR,15
K.G.F.,14
KEONJHAR,13
KENDRAPARA,13
NOWRANGPUR,13
KHURDA,13
KORAPUT,13
MALKANGIR,13
MAYURBHANJ,13
NAYAGARH,13
KALAHANDI,13
NUAPADA,13
PURI,13
RAYAGADA,13
KANDHAMAL,13
ADILABAD,13
JHARSUGUDA,13
BOUDH,13
ANGUL,13
BALASORE,13
BARAGARH,13
BERHAMPUR,13
BHADRAK,13
BOLANGIR,13
CUTTACK,13
JAJPUR,13
DEOGARH,13
DHENKANAL,13
GAJAPATI,13
SAMBALPUR,13
GANJAM,13
JAGATSINGHPUR,13
ROURKELA,13
FARIDKOT,13
SONEPUR,13
BHARATPUR,13
TARN TARAN,13
AJMER,13
ALWAR,13
BANSWARA,13
BARAN,13
BARMER,13
BHILWARA,13
ROPAR,13
BIKANER,13
BUNDI,13
CHITTORGARH,13
CHURU,13
DAUSA,13
DHOLPUR,13
SANGRUR,13
PATIALA,13
SRP(CUTTACK),13
FATEHGARH SAHIB,13
SRP(ROURKELA),13
SUNDARGARH,13
BARNALA,13
BATALA,13
BHATINDA,13
WOKHA,13
G.R.P,13
MUKTSAR,13
GURDASPUR,13
HOSHIARPUR,13
KAPURTHALA,13
KHANNA,13
MANSA,13
MOGA,13
ZUNHEBOTO,13
KIPHIRE,13
TUENSANG,13
DHULE,13
GONDIA,13
HINGOLI,13
JALGAON,13
JALNA,13
KOLHAPUR,13
LATUR,13
MUMBAI RLY.,13
NAGPUR COMMR.,13
NAGPUR RLY.,13
NANDED,13
NANDURBAR,13
NASIK COMMR.,13
NAVI MUMBAI,13
OSMANABAD,13
PARBHANI,13
GADCHIROLI,13
CHANDRAPUR,13
PUNE RLY.,13
BULDHANA,13
SHAJAPUR,13
SHEOPUR,13
SHIVPURI,13
SIDHI,13
SIHORE,13
TIKAMGARH,13
UJJAIN,13
UMARIYA,13
VIDISHA,13
AHMEDNAGAR,13
AKOLA,13
AMRAVATI COMMR.,13
AURANGABAD COMMR.,13
BEED,13
BHANDARA,13
PUNE COMMR.,13
RAIGAD,13
PHEK,13
KHASI HILLS EAST,13
RI-BHOI,13
AIZAWL,13
CHAMPHAI,13
KOLASIB,13
LAWNGTLAI,13
LUNGLEI,13
MAMIT,13
SAIHA,13
SERCHHIP,13
DIMAPUR,13
GANGANAGAR,13
KOHIMA,13
MOKOKCHUNG,13
MON,13
PEREN,13
KHASI HILLS WEST,13
GARO HILLS WEST,13
