YEAR,IPC,SC,ST,CHILDREN,WOMEN
2001,97.31,96.86,96.86,97.31,97.31
2002,97.03,96.88,96.88,97.03,97.03
2003,96.21,96.06,96.06,96.5,96.21
2004,97.06,96.92,96.92,97.06,97.06
2005,97.94,97.79,97.79,97.94,97.94
2006,97.94,97.8,97.8,97.94,97.94
2007,97.81,97.66,97.66,97.81,97.81
2008,97.03,96.88,96.88,96.88,97.03
2009,97.05,96.91,96.91,96.91,97.05
2010,97.21,97.07,97.07,97.07,97.21
2011,97.52,97.39,97.39,97.39,97.52
2012,97.57,97.44,97.44,97.44,97.57
2013,100.0,95.45,100.0,95.45,100.0
2014,100.0,99.86,99.86,0.0,99.86
