YEAR,IPC_TOTAL_IPC_CRIMES,IPC_OTHER_IPC_CRIMES,IPC_THEFT,IPC_HURT_GREVIOUS_HURT,IPC_TOTAL_COGNIZABLE_IPC_CRIMES,IPC_OTHER_THEFT,IPC_AUTO_THEFT,IPC_BURGLARY
2001,1712275.0,683312.0,256074.0,251139.0,,188454.0,67620.0,97842.0
2002,1713728.0,707546.0,246297.0,246431.0,,176508.0,69789.0,92282.0
2003,1621660.0,666188.0,239824.0,236239.0,,168419.0,71405.0,87034.0
2004,1739621.0,704274.0,271188.0,251718.0,,187187.0,84001.0,87253.0
2005,1727431.0,705811.0,270331.0,242718.0,,181677.0,88654.0,85443.0
2006,1767687.0,734692.0,268351.0,239940.0,,175266.0,93085.0,86017.0
2007,1866714.0,775905.0,277969.0,247426.0,,176939.0,101030.0,86103.0
2008,1956158.0,796309.0,309580.0,257800.0,,188184.0,121396.0,87704.0
2009,1983365.0,800688.0,318606.0,254426.0,,176241.0,142365.0,85374.0
2010,2065042.0,848362.0,325063.0,260600.0,,173521.0,151542.0,82783.0
2011,2129493.0,858456.0,334914.0,273630.0,,179377.0,155537.0,85382.0
2012,2204431.0,875101.0,331740.0,302470.0,,173119.0,158621.0,85434.0
2013,5022520.0,2054706.0,713262.0,637508.0,,393200.0,320062.0,198608.0
2014,,855221.0,380535.0,,2540164.0,,164112.0,
