feature,observed_count,zero_count,zero_pct_observed
SC_POA_DACOITY_WITH_MURDER,728,728,100.0
ST_POA_KIDNAPPING_FOR_RANSOM,728,728,100.0
ST_IPC_DACOITY_WITH_MURDER,728,728,100.0
ST_IPC_DACOITY,728,728,100.0
ST_POA_ATTEMPT_TO_ACID_ATTACK,728,728,100.0
ST_IPC_VOYEURISM,728,728,100.0
ST_IPC_ACID_ATTACK,728,728,100.0
ST_POA_DACOITY_WITH_MURDER,728,728,100.0
ST_IPC_ATTEMPT_TO_ACID_ATTACK,728,728,100.0
SC_IPC_ACID_ATTACK,728,728,100.0
ST_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,728,728,100.0
ST_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,728,728,100.0
SC_IPC_ATTEMPT_TO_ACID_ATTACK,728,728,100.0
WOMEN_COMMISSION_OF_SATI_PREVENTION_ACT_1987,728,728,100.0
SC_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,728,728,100.0
SC_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,728,728,100.0
ST_IPC_OTHER_DACOITY,728,728,100.0
ST_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,728,728,100.0
SC_IPC_DACOITY_WITH_MURDER,728,728,100.0
SC_IPC_VOYEURISM,728,727,99.86
ST_IPC_KIDNAPPING_FOR_RANSOM,728,727,99.86
SC_IPC_KIDNAPPING_FOR_RANSOM,728,727,99.86
ST_POA_ACID_ATTACK,728,727,99.86
SC_POA_ATTEMPT_TO_ACID_ATTACK,728,727,99.86
ST_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,728,727,99.86
SC_POA_KIDNAPPING_FOR_RANSOM,728,727,99.86
IPC_COUNTERFEITING_GOVERNMENT_STAMP,729,727,99.73
ST_POA_OTHER_DACOITY,728,726,99.73
ST_POA_DACOITY,728,726,99.73
SC_POA_ACID_ATTACK,728,726,99.73
WOMEN_DEATHS_CAUSED_WITH_INTENT_TO_CAUSE_MISCARRIAGE,728,725,99.59
ST_POA_VOYEURISM,728,725,99.59
ST_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,728,724,99.45
ST_IPC_STALKING,728,724,99.45
IPC_RIOTS_SECTARIAN,729,725,99.45
ST_IPC_ROBBERY,728,724,99.45
SC_IPC_DACOITY,728,724,99.45
SC_IPC_OTHER_DACOITY,728,724,99.45
SC_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,728,724,99.45
IPC_CUSTODIAL_RAPE,9631,9577,99.44
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,728,723,99.31
IPC_DISCLOSURE_OF_IDENTITY_OF_VICTIMS,729,724,99.31
IPC_CUSTODIAL_GANG_RAPE,729,724,99.31
WOMEN_CUSTODIAL_GANG_RAPE,728,723,99.31
ST_IPC_OTHER_KIDNAPPING,728,722,99.18
CHILDREN_BUYING_OF_GIRLS_FOR_PROSTITUTION,8854,8780,99.16
ST_DACOITY,8888,8808,99.1
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,729,722,99.04
ST_IPC_ATTEMPT_TO_COMMIT_RAPE,728,721,99.04
IPC_MAKING_OR_USING_DOCUMENTS_RESEMBLING_CURRENCY,729,722,99.04
SC_IPC_ATTEMPT_TO_COMMIT_RAPE,728,721,99.04
WOMEN_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,728,721,99.04
SC_IPC_STALKING,728,721,99.04
ST_IPC_RIOTS,728,721,99.04
ST_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,8888,8793,98.93
IPC_MAKING_OR_POSSESSING_MATERIALS_FOR_FORGED_CURRENCY_BANK_NOTES,729,721,98.9
IPC_IMPUTATION_ASSERTIONS_PREJUDICIAL_TO_NATIONAL_INTEGRATION,729,721,98.9
WOMEN_DACOITY_WITH_MURDER,728,720,98.9
ST_IPC_ARSON,728,719,98.76
ST_IPC_SEXUAL_HARASSMENT,728,719,98.76
SC_POA_VOYEURISM,728,719,98.76
ST_IPC_KIDNAPING_ABDUCTION,728,718,98.63
ST_POA_ROBBERY,728,718,98.63
SC_IPC_ARSON,728,717,98.49
ST_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,728,717,98.49
SC_IPC_ROBBERY,728,717,98.49
ST_IPC_MURDER,728,717,98.49
IPC_COUNTERFEIT_OFFENCES_RELATED_TO_COUNTERFEIT_COIN,729,718,98.49
SC_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,728,717,98.49
ST_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,728,717,98.49
SC_IPC_KIDNAPING_ABDUCTION,728,716,98.35
ST_IPC_ATTEMPT_TO_COMMIT_MURDER,728,716,98.35
IPC_SEDITION,729,717,98.35
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,728,716,98.35
ST_ROBBERY,8888,8731,98.23
WOMEN_CAUSING_MISCARRIAGE_WITHOUT_CONSENT_OF_WOMEN,728,715,98.21
ST_POA_ATTEMPT_TO_COMMIT_RAPE,728,714,98.08
SC_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,728,714,98.08
ST_POA_STALKING,728,713,97.94
SC_IPC_OTHER_KIDNAPPING,728,713,97.94
CHILDREN_SELLING_OF_GIRLS_FOR_PROSTITUTION,8854,8665,97.87
WOMEN_IMPORTATION_OF_GIRLS,8902,8710,97.84
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,8902,8710,97.84
SC_IPC_ATTEMPT_TO_COMMIT_MURDER,728,712,97.8
WOMEN_ITP_UNDER_SECTION_8,728,712,97.8
WOMEN_ITP_UNDER_SECTION_7,728,711,97.66
ST_OTHER_SLL_CRIME_AGAINST_STS,728,711,97.66
ST_IPC_RAPE,728,710,97.53
ST_IPC_OTHER_SEXUAL_HARASSMENT,728,710,97.53
SC_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,728,709,97.39
SC_IPC_SEXUAL_HARASSMENT,728,709,97.39
ST_IPC_HURT,728,708,97.25
ST_IPC_GRIEVOUS_HURT,728,708,97.25
ST_POA_ARSON,728,708,97.25
ST_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,728,708,97.25
ST_IPC_KIDNAPPING_ABDUCTION,728,708,97.25
IPC_IN_PUBLIC_TRANSPORT_SYSTEM,729,708,97.12
WOMEN_IN_PUBLIC_TRANSPORT_SYSTEM,728,707,97.12
SC_POA_DACOITY,728,707,97.12
SC_POA_OTHER_DACOITY,728,707,97.12
ST_POA_KIDNAPING_ABDUCTION_TOTAL,728,706,96.98
SC_DACOITY,8853,8576,96.87
SC_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,728,705,96.84
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,728,705,96.84
WOMEN_INDECENT_REPRESENTATION_OF_WOMEN_P_ACT_1986,728,705,96.84
SC_IPC_RIOTS,728,705,96.84
IPC_AT_OFFICE_PREMISES,729,704,96.57
WOMEN_AT_OFFICE_PREMISES,728,703,96.57
SC_IPC_MURDER,728,702,96.43
WOMEN_ITP_UNDER_SECTION_6,728,701,96.29
ST_ARSON,8888,8550,96.2
IPC_RIOTS_INDUSTRIAL,729,701,96.16
SC_IPC_KIDNAPPING_ABDUCTION,728,700,96.15
CHILDREN_ABETMENT_OF_SUICIDE,8854,8502,96.02
IPC_OTHER_OFFENCES_AGAINST_STATE,729,700,96.02
SC_IPC_RAPE,728,698,95.88
SC_IPC_OTHER_SEXUAL_HARASSMENT,728,697,95.74
SC_OTHER_SLL_CRIME_AGAINST_SCS,728,697,95.74
ST_POA_OTHER_KIDNAPPING,728,697,95.74
IPC_CUSTODIAL_OTHER_RAPE,729,697,95.61
WOMEN_CUSTODIAL_OTHER_RAPE,728,696,95.6
WOMEN_ATTEMPT_TO_ACID_ATTACK,728,695,95.47
WOMEN_CUSTODIAL_RAPE,728,694,95.33
ST_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,728,692,95.05
SC_IPC_GRIEVOUS_HURT,728,692,95.05
SC_IPC_HURT,728,692,95.05
IPC_ATTEMPT_TO_ACID_ATTACK,729,692,94.92
SC_POA_ROBBERY,728,691,94.92
IPC_OFFENCES_AGAINST_STATE,729,690,94.65
WOMEN_KIDNAPPING_FOR_RANSOM,728,688,94.51
IPC_RIOTS_STUDENTS,729,688,94.38
