feature,dtype,missing_count,missing_percentage,unique_values
GROUPED_CHNOT_AMOUNTING_TO_MURDER,float64,225,2.28,95
GROUPED_RIOTS,float64,225,2.28,617
GROUPED_RAPE,float64,225,2.28,270
GROUPED_MURDER,float64,225,2.28,294
GROUPED_PREPARATION_AND_ASSEMBLY_FOR_DACOITY,float64,954,9.68,128
GROUPED_DOWRY_DEATH,float64,225,2.28,128
GROUPED_ROBBERY,float64,225,2.28,323
GROUPED_DACOITY,float64,225,2.28,114
GROUPED_KIDNAPPING_ABDUCTION,float64,225,2.28,473
GROUPED_ARSON,float64,225,2.28,130
GROUPED_ATTEMPT_TO_MURDER,float64,954,9.68,329
GROUPED_THEFT_BURGLARY_TRESPASS,float64,225,2.28,2307
GROUPED_CHEATING_FRAUD,float64,225,2.28,702
GROUPED_EXTORTION,float64,9127,92.6,72
GROUPED_CRIMINAL_BREACH_OF_TRUST,float64,225,2.28,276
GROUPED_HURT_ASSAULT,float64,225,2.28,1670
GROUPED_HUMAN_TRAFFICKING,float64,9127,92.6,24
GROUPED_CRIMES_AGAINST_STATE,float64,9127,92.6,15
GROUPED_UNNATURAL_OFFENCE,float64,9127,92.6,23
YEAR_INDEX,int64,0,0.0,14
VIOLENT_CRIME_TOTAL,float64,225,2.28,1415
