crime_group,feature,first_available_year,last_available_year,years_available
CHILDREN,CHILDREN_Abetment of suicide,2001,2013,13
CHILDREN,CHILDREN_Buying of girls for prostitution,2001,2013,13
CHILDREN,CHILDREN_Exposure and abandonment,2001,2013,13
CHILDREN,CHILDREN_Foeticide,2001,2013,13
CHILDREN,CHILDREN_Infanticid,2013,2013,1
CHILDREN,CHILDREN_Kidnapping and Abduction,2001,2013,13
CHILDREN,CHILDREN_Murder,2001,2012,12
CHILDREN,CHILDREN_Other Crimes,2001,2013,13
CHILDREN,CHILDREN_Other murder,2013,2013,1
CHILDREN,CHILDREN_Procuration of minor girls,2001,2013,13
CHILDREN,CHILDREN_Prohibition of child marriage act,2001,2013,13
CHILDREN,CHILDREN_Rape,2001,2013,13
CHILDREN,CHILDREN_Selling of girls for prostitution,2001,2013,13
CHILDREN,CHILDREN_Total,2001,2013,13
IPC,IPC_ARSON,2001,2013,13
IPC,IPC_ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,2013,13
IPC,IPC_ATTEMPT TO MURDER,2001,2013,13
IPC,IPC_AUTO THEFT,2001,2013,13
IPC,IPC_Acid attack,2014,2014,1
IPC,IPC_Arson,2014,2014,1
IPC,IPC_Assault on Women with intent to outrage her Modesty,2014,2014,1
IPC,IPC_Assault or use of criminal force to women with intent to Disrobe,2014,2014,1
IPC,IPC_At Office premises,2014,2014,1
IPC,IPC_Attempt to Acid Attack,2014,2014,1
IPC,IPC_Attempt to commit Culpable Homicide,2014,2014,1
IPC,IPC_Attempt to commit Murder,2014,2014,1
IPC,IPC_Attempt to commit Rape,2014,2014,1
IPC,IPC_Auto Theft,2014,2014,1
IPC,IPC_BURGLARY,2001,2013,13
IPC,IPC_CAUSING DEATH BY NEGLIGENCE,2001,2013,13
IPC,IPC_CHEATING,2001,2013,13
IPC,IPC_COUNTERFIETING,2001,2013,13
IPC,IPC_CRIMINAL BREACH OF TRUST,2001,2013,13
IPC,IPC_CRUELTY BY HUSBAND OR HIS RELATIVES,2001,2013,13
IPC,IPC_CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,2001,2013,13
IPC,IPC_CUSTODIAL RAPE,2001,2013,13
IPC,IPC_Causing Death by Negligence,2014,2014,1
IPC,IPC_Cheating,2014,2014,1
IPC,IPC_Counterfeit Offences related to Counterfeit Coin,2014,2014,1
IPC,IPC_Counterfeit currency & Bank notes,2014,2014,1
IPC,IPC_Counterfeiting,2014,2014,1
IPC,IPC_Counterfeiting Government Stamp,2014,2014,1
IPC,IPC_Counterfeiting currency notes/Bank notes,2014,2014,1
IPC,IPC_Criminal Breach of Trust,2014,2014,1
IPC,IPC_Criminal Trespass or Burglary,2014,2014,1
IPC,IPC_Criminal Trespass/Burglary,2014,2014,1
IPC,IPC_Cruelty by Husband or his Relatives,2014,2014,1
IPC,IPC_Culpable Homicide not amounting to Murder,2014,2014,1
IPC,IPC_Custodial Rape,2014,2014,1
IPC,IPC_Custodial_Gang Rape,2014,2014,1
IPC,IPC_Custodial_Other Rape,2014,2014,1
IPC,IPC_DACOITY,2001,2013,13
IPC,IPC_DOWRY DEATHS,2001,2013,13
IPC,IPC_Dacoity,2014,2014,1
IPC,IPC_Dacoity with Murder,2014,2014,1
IPC,IPC_Deaths due to Other Causes,2014,2014,1
IPC,IPC_Deaths due to negligent driving/act,2014,2014,1
IPC,IPC_Disclosure of Identity of Victims,2014,2014,1
IPC,IPC_Dowry Deaths,2014,2014,1
IPC,IPC_Extortion,2014,2014,1
IPC,IPC_Forgery,2014,2014,1
IPC,IPC_Grievous Hurt,2014,2014,1
IPC,IPC_HURT/GREVIOUS HURT,2001,2013,13
IPC,IPC_House Trespass & House Breaking,2014,2014,1
IPC,IPC_HumanTrafficking,2014,2014,1
IPC,IPC_Hurt,2014,2014,1
IPC,IPC_IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,2001,2013,13
IPC,IPC_INSULT TO MODESTY OF WOMEN,2001,2013,13
IPC,IPC_Importation of Girls from Foreign Country,2014,2014,1
IPC,"IPC_Imputation, assertions prejudicial to national integration",2014,2014,1
IPC,IPC_In Public Transport system,2014,2014,1
IPC,IPC_Incidence of Rash Driving,2014,2014,1
IPC,IPC_Insult to the Modesty of Women,2014,2014,1
IPC,IPC_KIDNAPPING & ABDUCTION,2001,2013,13
IPC,IPC_KIDNAPPING AND ABDUCTION OF OTHERS,2001,2013,13
IPC,IPC_KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,2001,2013,13
