File,Rows,Columns,Missing_Cells,Duplicate_Rows
01_District_wise_crimes_committed_IPC_2001_2012.csv,9017,33,0,0
01_District_wise_crimes_committed_IPC_2013.csv,823,33,0,0
01_District_wise_crimes_committed_IPC_2014.csv,838,91,0,0
02_01_District_wise_crimes_committed_against_SC_2001_2012.csv,9018,13,0,2
02_01_District_wise_crimes_committed_against_SC_2013.csv,823,13,0,0
02_01_District_wise_crimes_committed_against_SC_2014.csv,837,66,0,0
02_District_wise_crimes_committed_against_ST_2001_2012.csv,9018,13,0,2
02_District_wise_crimes_committed_against_ST_2013.csv,823,13,0,0
02_District_wise_crimes_committed_against_ST_2014.csv,837,66,0,0
03_District_wise_crimes_committed_against_children_2001_2012.csv,9015,15,121,1
03_District_wise_crimes_committed_against_children_2013.csv,823,16,0,0
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,494,14,0,0
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,494,14,0,0
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,2028,57,0,0
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,1026,14,1,0
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2013.csv,418,14,0,0
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2014.csv,2730,57,0,0
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2012.csv,1140,14,0,0
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2013.csv,1140,14,0,0
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2014.csv,3432,57,0,0
07_01_Persons_arrested_by_sex_and_age_group_IPC_2012.csv,1140,15,0,0
07_01_Persons_arrested_by_sex_and_age_group_IPC_2013.csv,1140,15,0,0
07_01_Persons_arrested_by_sex_and_age_group_IPC_2014.csv,3432,18,0,0
07_02_Persons_arrested_by_sex_and_age_group_SLL_2012.csv,1026,15,0,0
07_02_Persons_arrested_by_sex_and_age_group_SLL_2013.csv,1026,15,0,0
07_02_Persons_arrested_by_sex_and_age_group_SLL_2014.csv,2730,18,0,0
08_01_Juvenile_apprehended_state_IPC.csv,10500,12,0,0
08_02_Juvenile_apprehended_state_SLL.csv,9450,12,0,0
09_Juveniles_arrested_and_their_disposal.csv,349,10,0,0
10_Property_stolen_and_recovered.csv,2449,8,0,0
11_Property_stolen_and_recovered_nature_of_property.csv,4550,8,0,0
12_Police_strength_actual_and_sanctioned.csv,4188,16,0,0
13_Police_killed_or_injured_on_duty.csv,2450,18,0,0
14_Age_profile_of_police_personnel_killed_on_duty.csv,350,8,0,0
15_Police_natural_death_and_suicide.csv,700,9,0,0
16_Casualties_under_police_firing_and_lathi_charge.csv,1749,8,0,0
17_Case_reported_and_value_of_property_taken_away_by_place_of_occurrence_2001_2012.csv,4344,11,0,0
17_Case_reported_and_value_of_property_taken_away_by_place_of_occurrence_2013.csv,385,11,0,0
17_Crime_by_place_of_occurrence_2001_2012.csv,456,34,0,0
17_Crime_by_place_of_occurrence_2013.csv,38,34,0,0
17_Crime_by_place_of_occurrence_2014.csv,39,82,0,0
18_01_Juveniles_arrested_Education.csv,350,8,0,0
18_02_Juveniles_arrested_Economic_setup.csv,350,10,0,0
18_03_Juveniles_arrested_Family_background.csv,350,7,0,0
18_04_Juveniles_arrested_Recidivism.csv,350,6,0,0
19_Motive_or_cause_of_murder_and_culpable_homicide_not_amounting_to_murder.csv,350,30,0,0
20_Victims_of_rape.csv,1050,11,0,0
21_Offenders_known_to_the_victim.csv,350,7,0,0
22_Persons_arrested_under_recidivism.csv,350,7,0,0
23_Anti_corruprion_cases.csv,346,29,0,0
24_Anti_corruption_arrests.csv,347,24,3,0
25_Complaints_against_police.csv,350,22,0,0
27_Nature_of_complaints_received_by_police.csv,349,10,80,0
28_Trial_of_violent_crimes_by_courts.csv,4473,7,1338,0
29_Period_of_trials_by_courts.csv,1786,11,410,0
30_Auto_theft.csv,1865,7,374,0
31_Serious_fraud.csv,448,9,272,0
32_Murder_victim_age_sex.csv,1018,11,466,0
33_CH_not_murder_victim_age_sex.csv,936,10,690,0
34_Use_of_fire_arms_in_murder_cases.csv,284,5,19,0
35_Human_rights_violation_by_police.csv,2267,7,160,0
36_Police_housing.csv,1045,7,7,0
37_Home_guards_and_auxilliary_force.csv,333,8,76,0
38_Unidentified_dead_bodies_recovered_and_inquest_conducted.csv,314,3,0,0
39_Specific_purpose_of_kidnapping_and_abduction.csv,3569,20,5873,0
40_01_Custodial_death_person_remanded.csv,211,11,112,0
40_02_Custodial_death_person_not_remanded.csv,228,11,132,0
40_03_Custodial_death_during_production.csv,204,11,79,0
40_04_Custodial_death_during_hospitalization_or_treatment.csv,213,5,0,0
40_05_Custodial_death_others.csv,233,10,214,0
41_Escapes_from_police_custody.csv,311,21,764,0
42_Cases_under_crime_against_women.csv,4166,22,22,0
42_District_wise_crimes_committed_against_women_2001_2012.csv,9017,10,0,0
42_District_wise_crimes_committed_against_women_2013.csv,823,10,0,0
42_District_wise_crimes_committed_against_women_2014.csv,837,62,0,0
43_Arrests_under_crime_against_women.csv,4166,16,16,0
