File,Rows,Columns,State_Column,Year_Column,District_Column
01_District_wise_crimes_committed_IPC_2001_2012.csv,9017,33,STATE/UT,YEAR,DISTRICT
01_District_wise_crimes_committed_IPC_2013.csv,823,33,STATE/UT,YEAR,DISTRICT
01_District_wise_crimes_committed_IPC_2014.csv,838,91,,Year,District
02_01_District_wise_crimes_committed_against_SC_2001_2012.csv,9018,13,STATE/UT,Year,DISTRICT
02_01_District_wise_crimes_committed_against_SC_2013.csv,823,13,STATE/UT,Year,DISTRICT
02_01_District_wise_crimes_committed_against_SC_2014.csv,837,66,,Year,District
02_District_wise_crimes_committed_against_ST_2001_2012.csv,9018,13,STATE/UT,Year,DISTRICT
02_District_wise_crimes_committed_against_ST_2013.csv,823,13,STATE/UT,Year,DISTRICT
02_District_wise_crimes_committed_against_ST_2014.csv,837,66,,Year,District
03_District_wise_crimes_committed_against_children_2001_2012.csv,9015,15,STATE/UT,Year,DISTRICT
03_District_wise_crimes_committed_against_children_2013.csv,823,16,STATE/UT,Year,DISTRICT
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,494,14,STATE/UT,,
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,494,14,STATE/UT,,
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,2028,57,,Year,
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,1026,14,STATE/UT,,
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2013.csv,418,14,STATE/UT,,
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2014.csv,2730,57,,Year,
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2012.csv,1140,14,STATE/UT,,
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2013.csv,1140,14,STATE/UT,,
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2014.csv,3432,57,,Year,
07_01_Persons_arrested_by_sex_and_age_group_IPC_2012.csv,1140,15,STATE/UT,,
07_01_Persons_arrested_by_sex_and_age_group_IPC_2013.csv,1140,15,STATE/UT,,
07_01_Persons_arrested_by_sex_and_age_group_IPC_2014.csv,3432,18,,Year,
07_02_Persons_arrested_by_sex_and_age_group_SLL_2012.csv,1026,15,STATE/UT,,
07_02_Persons_arrested_by_sex_and_age_group_SLL_2013.csv,1026,15,STATE/UT,,
07_02_Persons_arrested_by_sex_and_age_group_SLL_2014.csv,2730,18,,Year,
08_01_Juvenile_apprehended_state_IPC.csv,10500,12,STATE/UT,Year,
08_02_Juvenile_apprehended_state_SLL.csv,9450,12,STATE/UT,Year,
09_Juveniles_arrested_and_their_disposal.csv,349,10,Area_Name,Year,
10_Property_stolen_and_recovered.csv,2449,8,Area_Name,Year,
11_Property_stolen_and_recovered_nature_of_property.csv,4550,8,Area_Name,Year,
12_Police_strength_actual_and_sanctioned.csv,4188,16,Area_Name,Year,
13_Police_killed_or_injured_on_duty.csv,2450,18,Area_Name,Year,
14_Age_profile_of_police_personnel_killed_on_duty.csv,350,8,Area_Name,Year,
15_Police_natural_death_and_suicide.csv,700,9,Area_Name,Year,
