column,unique_values,missing_count,missing_percentage
IPC_COUNTERFEITING_GOVERNMENT_STAMP,2,9127,92.6
SC_IPC_KIDNAPPING_FOR_RANSOM,2,9128,92.61
SC_IPC_VOYEURISM,2,9128,92.61
SC_POA_ACID_ATTACK,2,9128,92.61
SC_POA_ATTEMPT_TO_ACID_ATTACK,2,9128,92.61
SC_POA_KIDNAPPING_FOR_RANSOM,2,9128,92.61
ST_IPC_KIDNAPPING_FOR_RANSOM,2,9128,92.61
ST_POA_ACID_ATTACK,2,9128,92.61
ST_POA_DACOITY,2,9128,92.61
ST_POA_OTHER_DACOITY,2,9128,92.61
ST_POA_VOYEURISM,2,9128,92.61
ST_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,2,9128,92.61
WOMEN_DACOITY_WITH_MURDER,2,9128,92.61
WOMEN_DEATHS_CAUSED_WITH_INTENT_TO_CAUSE_MISCARRIAGE,2,9128,92.61
IPC_CUSTODIAL_GANG_RAPE,3,9127,92.6
IPC_DISCLOSURE_OF_IDENTITY_OF_VICTIMS,3,9127,92.6
IPC_IMPUTATION_ASSERTIONS_PREJUDICIAL_TO_NATIONAL_INTEGRATION,3,9127,92.6
SC_IPC_DACOITY,3,9128,92.61
SC_IPC_OTHER_DACOITY,3,9128,92.61
SC_POA_DACOITY,3,9128,92.61
SC_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,3,9128,92.61
SC_POA_OTHER_DACOITY,3,9128,92.61
ST_IPC_STALKING,3,9128,92.61
ST_POA_ARSON,3,9128,92.61
ST_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,3,9128,92.61
ST_POA_ROBBERY,3,9128,92.61
WOMEN_ATTEMPT_TO_ACID_ATTACK,3,9128,92.61
WOMEN_CUSTODIAL_GANG_RAPE,3,9128,92.61
IPC_ATTEMPT_TO_ACID_ATTACK,4,9127,92.6
IPC_MAKING_OR_POSSESSING_MATERIALS_FOR_FORGED_CURRENCY_BANK_NOTES,4,9127,92.6
SC_IPC_ARSON,4,9128,92.61
SC_IPC_ROBBERY,4,9128,92.61
SC_POA_VOYEURISM,4,9128,92.61
ST_IPC_ARSON,4,9128,92.61
ST_IPC_ATTEMPT_TO_COMMIT_RAPE,4,9128,92.61
ST_IPC_OTHER_KIDNAPPING,4,9128,92.61
ST_POA_ATTEMPT_TO_COMMIT_RAPE,4,9128,92.61
ST_POA_STALKING,4,9128,92.61
IPC_DACOITY_WITH_MURDER,5,9127,92.6
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,5,9127,92.6
IPC_MAKING_OR_USING_DOCUMENTS_RESEMBLING_CURRENCY,5,9127,92.6
IPC_RIOTS_SECTARIAN,5,9127,92.6
SC_IPC_ATTEMPT_TO_COMMIT_RAPE,5,9128,92.61
SC_IPC_STALKING,5,9128,92.61
SC_POA_ROBBERY,5,9128,92.61
ST_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,5,9128,92.61
ST_IPC_ROBBERY,5,9128,92.61
ST_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,5,9128,92.61
ST_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,5,9128,92.61
ST_POA_RIOTS,5,9128,92.61
WOMEN_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,5,9128,92.61
WOMEN_UNNATURAL_OFFENCES,5,9128,92.61
CHILDREN_INFANTICID,6,9121,92.54
IPC_AT_OFFICE_PREMISES,6,9127,92.6
IPC_COUNTERFEIT_OFFENCES_RELATED_TO_COUNTERFEIT_COIN,6,9127,92.6
IPC_SEDITION,6,9127,92.6
SC_IPC_KIDNAPING_ABDUCTION,6,9128,92.61
SC_IPC_OTHER_KIDNAPPING,6,9128,92.61
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,6,9128,92.61
ST_IPC_ATTEMPT_TO_COMMIT_MURDER,6,9128,92.61
ST_IPC_RIOTS,6,9128,92.61
ST_POA_ATTEMPT_TO_COMMIT_MURDER,6,9128,92.61
ST_POA_KIDNAPING_ABDUCTION_TOTAL,6,9128,92.61
ST_POA_MURDER,6,9128,92.61
WOMEN_ACID_ATTACK,6,9128,92.61
WOMEN_AT_OFFICE_PREMISES,6,9128,92.61
WOMEN_INDECENT_REPRESENTATION_OF_WOMEN_P_ACT_1986,6,9128,92.61
IPC_IN_PUBLIC_TRANSPORT_SYSTEM,7,9127,92.6
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,7,9128,92.61
