Column,Missing_Cells,Missing_Percentage
07_02_PERSONS_ARRESTED_BY_SEX_AND_AGE_GROUP_SLL_2013__MALE_BETWEEN_30_45_YEARS,456,92.87169042769857
07_01_PERSONS_ARRESTED_BY_SEX_AND_AGE_GROUP_IPC_2012__MALE_BETWEEN_18_30_YEARS,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2013__PERSONS_ACQUITTED,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2013__PERSONS_CONVICTED,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2013__PERSONS_IN_WHOSE_CASES_TRIALS_WERE_COMPLETED_DURING_THE_YEAR,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2013__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_TRIAL_AT_THE_END_OF_THE_YEAR,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2013__PERSONS_AGAINST_WHOM_CASES_WERE_COMPOUNDED_OR_WITHDRAWN,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2013__TOTAL_NUMBER_OF_PERSONS_UNDER_TRIAL_DURING_THE_YEAR,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2013__PERSONS_UNDER_TRIAL_AT_THE_BEGINNING_OF_THE_YEAR,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2013__PERSONS_IN_WHOSE_CASES_CHARGE_SHEETS_WERE_LAID_DURING_THE_YEAR,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2013__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_INVESTIGATION_AT_THE_END_OF_THE_YEAR,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2013__PERSONS_RELEASED_OR_FREED_BY_POLICE_OR_MAGISTRATE_BEFORE_TRIAL_FOR_WANT_OF_EVIDENCE_OR_ANY_OTHER_REASON,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2013__PERSONS_ARRESTED_DURING_THE_YEAR,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2013__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_INVESTIGATION_AT_THE_BEGINNING_OF_THE_YEAR,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2012__PERSONS_ACQUITTED,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2012__PERSONS_CONVICTED,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2012__PERSONS_IN_WHOSE_CASES_TRIALS_WERE_COMPLETED_DURING_THE_YEAR,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2012__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_TRIAL_AT_THE_END_OF_THE_YEAR,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2012__PERSONS_AGAINST_WHOM_CASES_WERE_COMPOUNDED_OR_WITHDRAWN,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2012__TOTAL_NUMBER_OF_PERSONS_UNDER_TRIAL_DURING_THE_YEAR,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2012__PERSONS_UNDER_TRIAL_AT_THE_BEGINNING_OF_THE_YEAR,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2012__PERSONS_IN_WHOSE_CASES_CHARGE_SHEETS_WERE_LAID_DURING_THE_YEAR,456,92.87169042769857
04_01_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_SLL_CRIME_2012__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_INVESTIGATION_AT_THE_END_OF_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2012__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_INVESTIGATION_AT_THE_BEGINNING_OF_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2012__PERSONS_ARRESTED_DURING_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2012__PERSONS_RELEASED_OR_FREED_BY_POLICE_OR_MAGISTRATE_BEFORE_TRIAL_FOR_WANT_OF_EVIDENCE_OR_ANY_OTHER_REASON,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__PERSONS_RELEASED_OR_FREED_BY_POLICE_OR_MAGISTRATE_BEFORE_TRIAL_FOR_WANT_OF_EVIDENCE_OR_ANY_OTHER_REASON,456,92.87169042769857
07_01_PERSONS_ARRESTED_BY_SEX_AND_AGE_GROUP_IPC_2012__MALE_BELOW_18_YEARS,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__PERSONS_ACQUITTED,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__PERSONS_CONVICTED,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__PERSONS_IN_WHOSE_CASES_TRIALS_WERE_COMPLETED_DURING_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_TRIAL_AT_THE_END_OF_THE_YEAR,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__PERSONS_AGAINST_WHOM_CASES_WERE_COMPOUNDED_OR_WITHDRAWN,456,92.87169042769857
04_02_PERSON_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_IPC_CRIME_2013__TOTAL_NUMBER_OF_PERSONS_UNDER_TRIAL_DURING_THE_YEAR,456,92.87169042769857
