column,dtype,missing_count,total_rows,missing_percentage,non_missing_count,unique_values
WOMEN_DOWRY_PROHIBITION_ACT_1961,float64,9128,9856,92.61,728,91
WOMEN_OTHER_IPC_CRIMES,float64,9128,9856,92.61,728,198
WOMEN_UNNATURAL_OFFENCES,float64,9128,9856,92.61,728,5
WOMEN_RAPE_GANG_RAPE,float64,9128,9856,92.61,728,33
WOMEN_RAPE_OTHERS,float64,9128,9856,92.61,728,156
WOMEN_ATTEMPT_TO_COMMIT_RAPE,float64,9128,9856,92.61,728,54
WOMEN_KIDNAPPING_ABDUCTION_TOTAL,float64,9128,9856,92.61,728,227
WOMEN_KIDNAPING_ABDUCTION,float64,9128,9856,92.61,728,119
WOMEN_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,float64,9128,9856,92.61,728,9
WOMEN_KIDNAPPING_FOR_RANSOM,float64,9128,9856,92.61,728,7
WOMEN_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,float64,9128,9856,92.61,728,170
ST_IPC_DACOITY,float64,9128,9856,92.61,728,1
ST_IPC_DACOITY_WITH_MURDER,float64,9128,9856,92.61,728,1
ST_IPC_OTHER_DACOITY,float64,9128,9856,92.61,728,1
ST_IPC_ROBBERY,float64,9128,9856,92.61,728,5
ST_IPC_ARSON,float64,9128,9856,92.61,728,4
ST_IPC_GRIEVOUS_HURT,float64,9128,9856,92.61,728,8
ST_IPC_HURT,float64,9128,9856,92.61,728,8
ST_IPC_ACID_ATTACK,float64,9128,9856,92.61,728,1
ST_IPC_ATTEMPT_TO_ACID_ATTACK,float64,9128,9856,92.61,728,1
ST_IPC_RIOTS,float64,9128,9856,92.61,728,6
ST_IPC_OTHER_IPC_CRIMES,float64,9128,9856,92.61,728,30
ST_TOTAL_IPC_CRIMES_AGAINST_STS,float64,9128,9856,92.61,728,31
ST_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,float64,9128,9856,92.61,728,1
ST_OTHER_SLL_CRIME_AGAINST_STS,float64,9128,9856,92.61,728,9
ST_TOTAL_CRIMES_AGAINST_STS,float64,9128,9856,92.61,728,79
ST_IPC_ATTEMPT_TO_COMMIT_MURDER,float64,9128,9856,92.61,728,6
ST_IPC_RAPE,float64,9128,9856,92.61,728,10
ST_IPC_ATTEMPT_TO_COMMIT_RAPE,float64,9128,9856,92.61,728,4
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,float64,9128,9856,92.61,728,14
ST_IPC_SEXUAL_HARASSMENT,float64,9128,9856,92.61,728,7
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,float64,9128,9856,92.61,728,6
ST_IPC_VOYEURISM,float64,9128,9856,92.61,728,1
ST_IPC_STALKING,float64,9128,9856,92.61,728,3
ST_IPC_OTHER_SEXUAL_HARASSMENT,float64,9128,9856,92.61,728,12
ST_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,float64,9128,9856,92.61,728,5
ST_IPC_KIDNAPPING_ABDUCTION,float64,9128,9856,92.61,728,10
ST_IPC_KIDNAPING_ABDUCTION,float64,9128,9856,92.61,728,7
ST_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,float64,9128,9856,92.61,728,1
ST_IPC_KIDNAPPING_FOR_RANSOM,float64,9128,9856,92.61,728,2
ST_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,float64,9128,9856,92.61,728,7
