File,Status,State_Column,Year_Column,Rows_Original,Rows_After_Cleaning,Numeric_Features
01_District_wise_crimes_committed_IPC_2001_2012.csv,Integrated,STATE/UT,Column,9017,8609,30
01_District_wise_crimes_committed_IPC_2013.csv,Integrated,STATE/UT,Column,823,823,30
01_District_wise_crimes_committed_IPC_2014.csv,Integrated,States/UTs,Column,838,802,88
02_01_District_wise_crimes_committed_against_SC_2001_2012.csv,Integrated,STATE/UT,Column,9018,8597,10
02_01_District_wise_crimes_committed_against_SC_2013.csv,Integrated,STATE/UT,Column,823,788,10
02_01_District_wise_crimes_committed_against_SC_2014.csv,Integrated,States/UTs,Column,837,801,63
02_District_wise_crimes_committed_against_ST_2001_2012.csv,Integrated,STATE/UT,Column,9018,8597,10
02_District_wise_crimes_committed_against_ST_2013.csv,Integrated,STATE/UT,Column,823,823,10
02_District_wise_crimes_committed_against_ST_2014.csv,Integrated,States/UTs,Column,837,801,63
03_District_wise_crimes_committed_against_children_2001_2012.csv,Integrated,STATE/UT,Column,9015,8603,12
03_District_wise_crimes_committed_against_children_2013.csv,Integrated,STATE/UT,Column,823,788,13
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,Integrated,STATE/UT,Filename,494,455,12
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,Integrated,STATE/UT,Filename,494,455,12
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,Integrated,States/UTs,Column,2028,1872,54
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,Integrated,STATE/UT,Filename,1026,945,12
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2013.csv,Integrated,STATE/UT,Filename,418,385,12
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2014.csv,Integrated,States/UTs,Column,2730,2520,54
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2012.csv,Integrated,STATE/UT,Filename,1140,1050,12
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2013.csv,Integrated,STATE/UT,Filename,1140,1050,12
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2014.csv,Integrated,States/UTs,Column,3432,3168,54
07_01_Persons_arrested_by_sex_and_age_group_IPC_2012.csv,Integrated,STATE/UT,Filename,1140,1050,13
07_01_Persons_arrested_by_sex_and_age_group_IPC_2013.csv,Integrated,STATE/UT,Filename,1140,1050,13
07_01_Persons_arrested_by_sex_and_age_group_IPC_2014.csv,Integrated,States/UTs,Column,3432,3168,15
07_02_Persons_arrested_by_sex_and_age_group_SLL_2012.csv,Integrated,STATE/UT,Filename,1026,945,13
07_02_Persons_arrested_by_sex_and_age_group_SLL_2013.csv,Integrated,STATE/UT,Filename,1026,945,13
07_02_Persons_arrested_by_sex_and_age_group_SLL_2014.csv,Integrated,States/UTs,Column,2730,2520,15
08_01_Juvenile_apprehended_state_IPC.csv,Integrated,STATE/UT,Column,10500,10500,9
08_02_Juvenile_apprehended_state_SLL.csv,Integrated,STATE/UT,Column,9450,9450,9
09_Juveniles_arrested_and_their_disposal.csv,Integrated,Area_Name,Column,349,349,8
10_Property_stolen_and_recovered.csv,Integrated,Area_Name,Column,2449,2449,4
11_Property_stolen_and_recovered_nature_of_property.csv,Integrated,Area_Name,Column,4550,4550,4
12_Police_strength_actual_and_sanctioned.csv,Integrated,Area_Name,Column,4188,4188,12
13_Police_killed_or_injured_on_duty.csv,Integrated,Area_Name,Column,2450,2450,14
14_Age_profile_of_police_personnel_killed_on_duty.csv,Integrated,Area_Name,Column,350,350,6
15_Police_natural_death_and_suicide.csv,Integrated,Area_Name,Column,700,700,6
16_Casualties_under_police_firing_and_lathi_charge.csv,Integrated,Area_Name,Column,1749,1749,5
17_Case_reported_and_value_of_property_taken_away_by_place_of_occurrence_2001_2012.csv,Integrated,STATE/UT,Column,4344,4344,8
17_Case_reported_and_value_of_property_taken_away_by_place_of_occurrence_2013.csv,Integrated,STATE/UT,Column,385,385,8
17_Crime_by_place_of_occurrence_2001_2012.csv,Integrated,STATE/UT,Column,456,420,32
17_Crime_by_place_of_occurrence_2013.csv,Integrated,STATE/UT,Column,38,35,32
17_Crime_by_place_of_occurrence_2014.csv,Integrated,States/UTs,Column,39,36,80
18_01_Juveniles_arrested_Education.csv,Integrated,Area_Name,Column,350,350,5
18_02_Juveniles_arrested_Economic_setup.csv,Integrated,Area_Name,Column,350,350,7
18_03_Juveniles_arrested_Family_background.csv,Integrated,Area_Name,Column,350,350,4
18_04_Juveniles_arrested_Recidivism.csv,Integrated,Area_Name,Column,350,350,3
19_Motive_or_cause_of_murder_and_culpable_homicide_not_amounting_to_murder.csv,Integrated,Area_Name,Column,350,350,28
20_Victims_of_rape.csv,Integrated,Area_Name,Column,1050,1050,8
21_Offenders_known_to_the_victim.csv,Integrated,Area_Name,Column,350,350,5
22_Persons_arrested_under_recidivism.csv,Integrated,Area_Name,Column,350,350,5
23_Anti_corruprion_cases.csv,Integrated,Area_Name,Column,346,346,27
24_Anti_corruption_arrests.csv,Integrated,Area_Name,Column,347,347,22
