filename,row_count,column_count,geographic_level_candidate,time_level_candidate,crime_information_candidate,victim_information_candidate,police_arrest_information_candidate,property_information_candidate,state_columns,district_columns,location_columns,year_date_columns,numeric_columns,subject_evidence,geographic_level,time_level,subject_type,manual_review_required,manual_notes,dataset_family,integration_status,integration_reason
01_District_wise_crimes_committed_IPC_2001_2012.csv,9017,33,district-level information may be present,year/date information may be present,MURDER; ATTEMPT TO MURDER; CULPABLE HOMICIDE NOT AMOUNTING TO MURDER; RAPE; CUSTODIAL RAPE; OTHER RAPE; KIDNAPPING & ABDUCTION; KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS; KIDNAPPING AND ABDUCTION OF OTHERS; ROBBERY; THEFT; AUTO THEFT; OTHER THEFT; OTHER IPC CRIMES; TOTAL IPC CRIMES,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,,,STATE/UT,DISTRICT,,YEAR,YEAR; MURDER; ATTEMPT TO MURDER; CULPABLE HOMICIDE NOT AMOUNTING TO MURDER; RAPE; CUSTODIAL RAPE; OTHER RAPE; KIDNAPPING & ABDUCTION; KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS; KIDNAPPING AND ABDUCTION OF OTHERS; DACOITY; PREPARATION AND ASSEMBLY FOR DACOITY; ROBBERY; BURGLARY; THEFT; AUTO THEFT; OTHER THEFT; RIOTS; CRIMINAL BREACH OF TRUST; CHEATING; COUNTERFIETING; ARSON; HURT/GREVIOUS HURT; DOWRY DEATHS; ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY; INSULT TO MODESTY OF WOMEN; CRUELTY BY HUSBAND OR HIS RELATIVES; IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES; CAUSING DEATH BY NEGLIGENCE; OTHER IPC CRIMES; TOTAL IPC CRIMES,victim/demographic-related fields; crime/case/offence-related fields,,,,True,,DISTRICT_WISE_CRIME,DISTRICT_CRIME_CORE,Candidate for district-level crime analysis
01_District_wise_crimes_committed_IPC_2013.csv,823,33,district-level information may be present,year/date information may be present,MURDER; ATTEMPT TO MURDER; CULPABLE HOMICIDE NOT AMOUNTING TO MURDER; RAPE; CUSTODIAL RAPE; OTHER RAPE; KIDNAPPING & ABDUCTION; KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS; KIDNAPPING AND ABDUCTION OF OTHERS; ROBBERY; THEFT; AUTO THEFT; OTHER THEFT; OTHER IPC CRIMES; TOTAL IPC CRIMES,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,,,STATE/UT,DISTRICT,,YEAR,YEAR; MURDER; ATTEMPT TO MURDER; CULPABLE HOMICIDE NOT AMOUNTING TO MURDER; RAPE; CUSTODIAL RAPE; OTHER RAPE; KIDNAPPING & ABDUCTION; KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS; KIDNAPPING AND ABDUCTION OF OTHERS; DACOITY; PREPARATION AND ASSEMBLY FOR DACOITY; ROBBERY; BURGLARY; THEFT; AUTO THEFT; OTHER THEFT; RIOTS; CRIMINAL BREACH OF TRUST; CHEATING; COUNTERFIETING; ARSON; HURT/GREVIOUS HURT; DOWRY DEATHS; ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY; INSULT TO MODESTY OF WOMEN; CRUELTY BY HUSBAND OR HIS RELATIVES; IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES; CAUSING DEATH BY NEGLIGENCE; OTHER IPC CRIMES; TOTAL IPC CRIMES,victim/demographic-related fields; crime/case/offence-related fields,,,,True,,DISTRICT_WISE_CRIME,DISTRICT_CRIME_CORE,Candidate for district-level crime analysis
01_District_wise_crimes_committed_IPC_2014.csv,838,91,district-level information may be present,year/date information may be present,Murder; Attempt to commit Murder; Culpable Homicide not amounting to Murder; Rape; Custodial Rape; Custodial_Gang Rape; Custodial_Other Rape; Rape other than Custodial; Rape_Gang Rape; Rape_Others; Attempt to commit Rape; Kidnapping & Abduction_Total; Kidnapping & Abduction; Kidnapping & Abduction in order to Murder; Kidnapping for Ransom; Kidnapping & Abduction of Women to compel her for marriage; Other Kidnapping; Dacoity with Murder; Robbery; Theft; Auto Theft; Other Thefts; Counterfeit Offences related to Counterfeit Coin; Offences against State; Other offences against State; Offences promoting enmity between different groups; Unnatural Offence; Other IPC crimes; Total Cognizable IPC crimes,Kidnapping & Abduction of Women to compel her for marriage; Assault on Women with intent to outrage her Modesty; Sexual Harassment; Disclosure of Identity of Victims,Riots_Industrial,,States/UTs; Offences against State; Other offences against State,District,"Other places related to work; Places other than 231, 232 & 233",Year,"Year; Murder; Attempt to commit Murder; Culpable Homicide not amounting to Murder; Attempt to commit Culpable Homicide; Rape; Custodial Rape; Custodial_Gang Rape; Custodial_Other Rape; Rape other than Custodial; Rape_Gang Rape; Rape_Others; Attempt to commit Rape; Kidnapping & Abduction_Total; Kidnapping & Abduction; Kidnapping & Abduction in order to Murder; Kidnapping for Ransom; Kidnapping & Abduction of Women to compel her for marriage; Other Kidnapping; Dacoity; Dacoity with Murder; Other Dacoity; Making Preparation and Assembly for committing Dacoity; Robbery; Criminal Trespass/Burglary; Criminal Trespass or Burglary; House Trespass & House Breaking; Theft; Auto Theft; Other Thefts; Unlawful Assembly; Riots; Riots_Communal; Riots_Industrial; Riots_Political; Riots_Caste Conflict; Riots_SC/STs Vs Non-SCs/STs; Riots_Other Caste Conflict; Riots_Agrarian; Riots_Students; Riots_Sectarian; Riots_Others; Criminal Breach of Trust; Cheating; Forgery; Counterfeiting; Counterfeit Offences related to Counterfeit Coin; Counterfeiting Government Stamp; Counterfeit currency & Bank notes; Counterfeiting currency notes/Bank notes; Using forged or counterfeiting currency/Bank notes; Possession of forged or counterfeiting currency/Bank notes; Making or Possessing materials for forged currency/Bank notes; Making or Using documents resembling currency; Arson; Grievous Hurt; Hurt; Acid attack; Attempt to Acid Attack; Dowry Deaths; Assault on Women with intent to outrage her Modesty; Sexual Harassment; Assault or use of criminal force to women with intent to Disrobe; Voyeurism; Stalking; Other Assault on Women; Insult to the Modesty of Women; At Office premises; Other places related to work; In Public Transport system; Places other than 231, 232 & 233; Cruelty by Husband or his Relatives; Importation of Girls from Foreign Country; Causing Death by Negligence; Deaths due to negligent driving/act; Deaths due to Other Causes; Offences against State; Sedition; Other offences against State; Offences promoting enmity between different groups; Promoting enmity between different groups; Imputation, assertions prejudicial to national integration; Extortion; Disclosure of Identity of Victims; Incidence of Rash Driving; HumanTrafficking; Unnatural Offence; Other IPC crimes; Total Cognizable IPC crimes",police/arrest/justice-related fields; victim/demographic-related fields; crime/case/offence-related fields,,,,True,,DISTRICT_WISE_CRIME,DISTRICT_CRIME_CORE,Candidate for district-level crime analysis
02_01_District_wise_crimes_committed_against_SC_2001_2012.csv,9018,13,district-level information may be present,year/date information may be present,Murder; Rape; Kidnapping and Abduction; Robbery; Other Crimes Against SCs,,,,STATE/UT,DISTRICT,,Year,Year; Murder; Rape; Kidnapping and Abduction; Dacoity; Robbery; Arson; Hurt; Prevention of atrocities (POA) Act; Protection of Civil Rights (PCR) Act; Other Crimes Against SCs,crime/case/offence-related fields,,,,True,,DISTRICT_WISE_CRIME,DISTRICT_CRIME_CORE,Candidate for district-level crime analysis
02_01_District_wise_crimes_committed_against_SC_2013.csv,823,13,district-level information may be present,year/date information may be present,Murder; Rape; Kidnapping and Abduction; Robbery; Other Crimes Against SCs,,,,STATE/UT,DISTRICT,,Year,Year; Murder; Rape; Kidnapping and Abduction; Dacoity; Robbery; Arson; Hurt; Protection of Civil Rights (PCR) Act; Prevention of atrocities (POA) Act; Other Crimes Against SCs,crime/case/offence-related fields,,,,True,,DISTRICT_WISE_CRIME,DISTRICT_CRIME_CORE,Candidate for district-level crime analysis
02_01_District_wise_crimes_committed_against_SC_2014.csv,837,66,district-level information may be present,year/date information may be present,POA_Murder; POA_Attempt to commit Murder; POA_Rape; POA_Attempt to commit Rape; POA_Kidnapping & Abduction_GrandTotal; POA_Kidnaping & Abduction in order to Murder; POA_Kidnapping for Ransom; POA_Kidnapping & Abduction of Women to compel her for marriage; POA_Other Kidnapping; POA_Dacoity with Murder; POA_Robbery; POA_Other IPC crimes; IPC_Murder; IPC_Attempt to commit Murder; IPC_Rape; IPC_Attempt to commit Rape; IPC_Assault on women with intent to outrage her Modesty; IPC_Sexual Harassment; IPC_Assault on women with intent to Disrobe; IPC_Voyeurism; IPC_Stalking; IPC_Other Sexual Harassment; IPC_Insult to the Modesty of women; IPC_Kidnapping & Abduction; IPC_Kidnaping & Abduction; IPC_Kidnaping & Abduction in order to Murder; IPC_Kidnapping for Ransom; IPC_Kidnapping & Abduction of Women to compel her for marriage; IPC_Other Kidnapping; IPC_Dacoity; IPC_Dacoity with Murder; IPC_Other Dacoity; IPC_Robbery; IPC_Arson; IPC_Grievous Hurt; IPC_Hurt; IPC_Acid attack; IPC_Attempt to Acid Attack; IPC_Riots; IPC_Other IPC crimes; Total IPC Crimes against SCs; Other SLL Crime against SCs; Total crimes against SCs,POA_Assault on women with intent to outrage her Modesty; POA_Sexual Harassment; POA_Other Sexual Harassment; POA_Kidnapping & Abduction of Women to compel her for marriage; IPC_Assault on women with intent to outrage her Modesty; IPC_Sexual Harassment; IPC_Other Sexual Harassment; IPC_Kidnapping & Abduction of Women to compel her for marriage,,,States/UTs,District,,Year,"Year; Protection of Civil Rights Act, 1955; POA_Murder; POA_Attempt to commit Murder; POA_Rape; POA_Attempt to commit Rape; POA_Assault on women with intent to outrage her Modesty; POA_Sexual Harassment; POA_Assault on women with intent to Disrobe; POA_Voyeurism; POA_Stalking; POA_Other Sexual Harassment; POA_Insult to the Modesty of women; POA_Kidnapping & Abduction_GrandTotal; POA_Kidnaping & Abduction_Total; POA_Kidnaping & Abduction in order to Murder; POA_Kidnapping for Ransom; POA_Kidnapping & Abduction of Women to compel her for marriage; POA_Other Kidnapping; POA_Dacoity; POA_Dacoity with Murder; POA_Other Dacoity; POA_Robbery; POA_Arson; POA_Grievous Hurt; POA_Hurt; POA_Acid attack; POA_Attempt to Acid Attack; POA_Riots; POA_Other IPC crimes; POA_SC / ST (Prevention of Atrocities) Act only; Total of SC/ST (Prevention of Atrocities) Act ,1989; IPC_Murder; IPC_Attempt to commit Murder; IPC_Rape; IPC_Attempt to commit Rape; IPC_Assault on women with intent to outrage her Modesty; IPC_Sexual Harassment; IPC_Assault on women with intent to Disrobe; IPC_Voyeurism; IPC_Stalking; IPC_Other Sexual Harassment; IPC_Insult to the Modesty of women; IPC_Kidnapping & Abduction; IPC_Kidnaping & Abduction; IPC_Kidnaping & Abduction in order to Murder; IPC_Kidnapping for Ransom; IPC_Kidnapping & Abduction of Women to compel her for marriage; IPC_Other Kidnapping; IPC_Dacoity; IPC_Dacoity with Murder; IPC_Other Dacoity; IPC_Robbery; IPC_Arson; IPC_Grievous Hurt; IPC_Hurt; IPC_Acid attack; IPC_Attempt to Acid Attack; IPC_Riots; IPC_Other IPC crimes; Total IPC Crimes against SCs; Manual Scavengers and Construction of Dry Latrines (P) Act, 1993; Other SLL Crime against SCs; Total crimes against SCs",victim/demographic-related fields; crime/case/offence-related fields,,,,True,,DISTRICT_WISE_CRIME,DISTRICT_CRIME_CORE,Candidate for district-level crime analysis
02_District_wise_crimes_committed_against_ST_2001_2012.csv,9018,13,district-level information may be present,year/date information may be present,Murder; Rape; Kidnapping Abduction; Robbery; Other Crimes Against STs,,,,STATE/UT,DISTRICT,,Year,Year; Murder; Rape; Kidnapping Abduction; Dacoity; Robbery; Arson; Hurt; Protection of Civil Rights (PCR) Act; Prevention of atrocities (POA) Act; Other Crimes Against STs,crime/case/offence-related fields,,,,True,,DISTRICT_WISE_CRIME,DISTRICT_CRIME_CORE,Candidate for district-level crime analysis
02_District_wise_crimes_committed_against_ST_2013.csv,823,13,district-level information may be present,year/date information may be present,Murder; Rape; Kidnapping Abduction; Robbery; Other Crimes Against STs,,,,STATE/UT,DISTRICT,,Year,Year; Murder; Rape; Kidnapping Abduction; Dacoity; Robbery; Arson; Hurt; Protection of Civil Rights (PCR) Act; Prevention of atrocities (POA) Act; Other Crimes Against STs,crime/case/offence-related fields,,,,True,,DISTRICT_WISE_CRIME,DISTRICT_CRIME_CORE,Candidate for district-level crime analysis
02_District_wise_crimes_committed_against_ST_2014.csv,837,66,district-level information may be present,year/date information may be present,POA_Murder; POA_Attempt to commit Murder; POA_Rape; POA_Attempt to commit Rape; POA_Kidnapping & Abduction_GrandTotal; POA_Kidnaping & Abduction in order to Murder; POA_Kidnapping for Ransom; POA_Kidnapping & Abduction of Women to compel her for marriage; POA_Other Kidnapping; POA_Dacoity with Murder; POA_Robbery; POA_Other IPC crimes; IPC_Murder; IPC_Attempt to commit Murder; IPC_Rape; IPC_Attempt to commit Rape; IPC_Assault on women with intent to outrage her Modesty; IPC_Sexual Harassment; IPC_Assault on women with intent to Disrobe; IPC_Voyeurism; IPC_Stalking; IPC_Other Sexual Harassment; IPC_Insult to the Modesty of women; IPC_Kidnapping & Abduction; IPC_Kidnaping & Abduction; IPC_Kidnaping & Abduction in order to Murder; IPC_Kidnapping for Ransom; IPC_Kidnapping & Abduction of Women to compel her for marriage; IPC_Other Kidnapping; IPC_Dacoity; IPC_Dacoity with Murder; IPC_Other Dacoity; IPC_Robbery; IPC_Arson; IPC_Grievous Hurt; IPC_Hurt; IPC_Acid attack; IPC_Attempt to Acid Attack; IPC_Riots; IPC_Other IPC crimes; Total IPC Crimes against STs; Other SLL Crime against STs; Total crimes against STs,POA_Assault on women with intent to outrage her Modesty; POA_Sexual Harassment; POA_Other Sexual Harassment; POA_Kidnapping & Abduction of Women to compel her for marriage; IPC_Assault on women with intent to outrage her Modesty; IPC_Sexual Harassment; IPC_Other Sexual Harassment; IPC_Kidnapping & Abduction of Women to compel her for marriage,,,States/UTs,District,,Year,"Year; Protection of Civil Rights Act, 1955; POA_Murder; POA_Attempt to commit Murder; POA_Rape; POA_Attempt to commit Rape; POA_Assault on women with intent to outrage her Modesty; POA_Sexual Harassment; POA_Assault on women with intent to Disrobe; POA_Voyeurism; POA_Stalking; POA_Other Sexual Harassment; POA_Insult to the Modesty of women; POA_Kidnapping & Abduction_GrandTotal; POA_Kidnaping & Abduction_Total; POA_Kidnaping & Abduction in order to Murder; POA_Kidnapping for Ransom; POA_Kidnapping & Abduction of Women to compel her for marriage; POA_Other Kidnapping; POA_Dacoity; POA_Dacoity with Murder; POA_Other Dacoity; POA_Robbery; POA_Arson; POA_Grievous Hurt; POA_Hurt; POA_Acid attack; POA_Attempt to Acid Attack; POA_Riots; POA_Other IPC crimes; POA_SC / ST (Prevention of Atrocities) Act only; Total of SC/ST (Prevention of Atrocities) Act ,1989; IPC_Murder; IPC_Attempt to commit Murder; IPC_Rape; IPC_Attempt to commit Rape; IPC_Assault on women with intent to outrage her Modesty; IPC_Sexual Harassment; IPC_Assault on women with intent to Disrobe; IPC_Voyeurism; IPC_Stalking; IPC_Other Sexual Harassment; IPC_Insult to the Modesty of women; IPC_Kidnapping & Abduction; IPC_Kidnaping & Abduction; IPC_Kidnaping & Abduction in order to Murder; IPC_Kidnapping for Ransom; IPC_Kidnapping & Abduction of Women to compel her for marriage; IPC_Other Kidnapping; IPC_Dacoity; IPC_Dacoity with Murder; IPC_Other Dacoity; IPC_Robbery; IPC_Arson; IPC_Grievous Hurt; IPC_Hurt; IPC_Acid attack; IPC_Attempt to Acid Attack; IPC_Riots; IPC_Other IPC crimes; Total IPC Crimes against STs; Manual Scavengers and Construction of Dry Latrines (P) Act, 1993; Other SLL Crime against STs; Total crimes against STs",victim/demographic-related fields; crime/case/offence-related fields,,,,True,,DISTRICT_WISE_CRIME,DISTRICT_CRIME_CORE,Candidate for district-level crime analysis
03_District_wise_crimes_committed_against_children_2001_2012.csv,9015,15,district-level information may be present,year/date information may be present,Murder; Rape; Kidnapping and Abduction; Other Crimes,Prohibition of child marriage act,,,STATE/UT,DISTRICT,,Year,Year; Murder; Rape; Kidnapping and Abduction; Foeticide; Abetment of suicide; Exposure and abandonment; Procuration of minor girls; Buying of girls for prostitution; Selling of girls for prostitution; Prohibition of child marriage act; Other Crimes; Total,victim/demographic-related fields; crime/case/offence-related fields,,,,True,,DISTRICT_WISE_CRIME,DISTRICT_CRIME_CORE,Candidate for district-level crime analysis
03_District_wise_crimes_committed_against_children_2013.csv,823,16,district-level information may be present,year/date information may be present,Other murder; Rape; Kidnapping and Abduction; Other Crimes,Prohibition of child marriage act,,,STATE/UT,DISTRICT,,Year,Year; Infanticid; Other murder; Rape; Kidnapping and Abduction; Foeticide; Abetment of suicide; Exposure and abandonment; Procuration of minor girls; Buying of girls for prostitution; Selling of girls for prostitution; Prohibition of child marriage act; Other Crimes; Total,victim/demographic-related fields; crime/case/offence-related fields,,,,True,,DISTRICT_WISE_CRIME,DISTRICT_CRIME_CORE,Candidate for district-level crime analysis
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,494,14,state/UT-level information may be present,multiple year/date-related fields detected,CRIME HEAD; Persons in whose cases charge sheets were laid during the year; Persons against whom cases were compounded or withdrawn; Persons in whose cases trials were completed during the year,Persons in custody or on bail during the stage of investigation at the beginning of the year; Persons in custody or on bail during the stage of investigation at the end of the year; Persons in custody or on bail during the stage of trial at the end of the year,Persons in custody or on bail during the stage of investigation at the beginning of the year; Persons arrested during the year; Persons released or freed by Police or Magistrate before trial for want of evidence or any other reason; Persons in custody or on bail during the stage of investigation at the end of the year; Persons in whose cases charge sheets were laid during the year; Persons under trial at the beginning of the year; Total number of persons under trial during the year; Persons in custody or on bail during the stage of trial at the end of the year; Persons in whose cases trials were completed during the year; Persons convicted; Persons acquitted,,STATE/UT,,,Persons in custody or on bail during the stage of investigation at the beginning of the year; Persons arrested during the year; Persons in custody or on bail during the stage of investigation at the end of the year; Persons in whose cases charge sheets were laid during the year; Persons under trial at the beginning of the year; Total number of persons under trial during the year; Persons in custody or on bail during the stage of trial at the end of the year; Persons in whose cases trials were completed during the year,Persons in custody or on bail during the stage of investigation at the beginning of the year; Persons arrested during the year; Persons released or freed by Police or Magistrate before trial for want of evidence or any other reason; Persons in custody or on bail during the stage of investigation at the end of the year; Persons in whose cases charge sheets were laid during the year; Persons under trial at the beginning of the year; Total number of persons under trial during the year; Persons against whom cases were compounded or withdrawn; Persons in custody or on bail during the stage of trial at the end of the year; Persons in whose cases trials were completed during the year; Persons convicted; Persons acquitted,police/arrest/justice-related fields; victim/demographic-related fields; crime/case/offence-related fields,,,,True,,ARREST_DISPOSAL,SEPARATE_ANALYTICAL_TABLE,Different row grain: arrest/disposal statistics
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,494,14,state/UT-level information may be present,multiple year/date-related fields detected,CRIME HEAD; Persons in whose cases charge sheets were laid during the year; Persons against whom cases were compounded or withdrawn; Persons in whose cases trials were completed during the year,Persons in custody or on bail during the stage of investigation at the beginning of the year; Persons in custody or on bail during the stage of investigation at the end of the year; Persons in custody or on bail during the stage of trial at the end of the year,Persons in custody or on bail during the stage of investigation at the beginning of the year; Persons arrested during the year; Persons released or freed by Police or Magistrate before trial for want of evidence or any other reason; Persons in custody or on bail during the stage of investigation at the end of the year; Persons in whose cases charge sheets were laid during the year; Persons under trial at the beginning of the year; Total number of persons under trial during the year; Persons in custody or on bail during the stage of trial at the end of the year; Persons in whose cases trials were completed during the year; Persons convicted; Persons acquitted,,STATE/UT,,,Persons in custody or on bail during the stage of investigation at the beginning of the year; Persons arrested during the year; Persons in custody or on bail during the stage of investigation at the end of the year; Persons in whose cases charge sheets were laid during the year; Persons under trial at the beginning of the year; Total number of persons under trial during the year; Persons in custody or on bail during the stage of trial at the end of the year; Persons in whose cases trials were completed during the year,Persons in custody or on bail during the stage of investigation at the beginning of the year; Persons arrested during the year; Persons released or freed by Police or Magistrate before trial for want of evidence or any other reason; Persons in custody or on bail during the stage of investigation at the end of the year; Persons in whose cases charge sheets were laid during the year; Persons under trial at the beginning of the year; Total number of persons under trial during the year; Persons against whom cases were compounded or withdrawn; Persons in custody or on bail during the stage of trial at the end of the year; Persons in whose cases trials were completed during the year; Persons convicted; Persons acquitted,police/arrest/justice-related fields; victim/demographic-related fields; crime/case/offence-related fields,,,,True,,ARREST_DISPOSAL,SEPARATE_ANALYTICAL_TABLE,Different row grain: arrest/disposal statistics
