filename,dataset_family,has_year,year_columns,has_state,state_columns,has_district,district_columns,has_crime_head,crime_head_columns,has_area,area_columns
01_District_wise_crimes_committed_IPC_2001_2012.csv,DISTRICT_WISE_CRIME,True,YEAR,True,STATE/UT,True,DISTRICT,False,,False,
01_District_wise_crimes_committed_IPC_2013.csv,DISTRICT_WISE_CRIME,True,YEAR,True,STATE/UT,True,DISTRICT,False,,False,
01_District_wise_crimes_committed_IPC_2014.csv,DISTRICT_WISE_CRIME,True,Year,True,States/UTs; Offences against State; Other offences against State,True,District,False,,True,"Other places related to work; Places other than 231, 232 & 233"
02_01_District_wise_crimes_committed_against_SC_2001_2012.csv,DISTRICT_WISE_CRIME,True,Year,True,STATE/UT,True,DISTRICT,False,,False,
02_01_District_wise_crimes_committed_against_SC_2013.csv,DISTRICT_WISE_CRIME,True,Year,True,STATE/UT,True,DISTRICT,False,,False,
02_01_District_wise_crimes_committed_against_SC_2014.csv,DISTRICT_WISE_CRIME,True,Year,True,States/UTs,True,District,False,,False,
02_District_wise_crimes_committed_against_ST_2001_2012.csv,DISTRICT_WISE_CRIME,True,Year,True,STATE/UT,True,DISTRICT,False,,False,
02_District_wise_crimes_committed_against_ST_2013.csv,DISTRICT_WISE_CRIME,True,Year,True,STATE/UT,True,DISTRICT,False,,False,
02_District_wise_crimes_committed_against_ST_2014.csv,DISTRICT_WISE_CRIME,True,Year,True,States/UTs,True,District,False,,False,
03_District_wise_crimes_committed_against_children_2001_2012.csv,DISTRICT_WISE_CRIME,True,Year,True,STATE/UT,True,DISTRICT,False,,False,
03_District_wise_crimes_committed_against_children_2013.csv,DISTRICT_WISE_CRIME,True,Year,True,STATE/UT,True,DISTRICT,False,,False,
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,ARREST_DISPOSAL,True,Persons in custody or on bail during the stage of investigation at the beginning of the year; Persons arrested during the year; Persons in custody or on bail during the stage of investigation at the end of the year; Persons in whose cases charge sheets were laid during the year; Persons under trial at the beginning of the year; Total number of persons under trial during the year; Persons in custody or on bail during the stage of trial at the end of the year; Persons in whose cases trials were completed during the year,True,STATE/UT,False,,True,CRIME HEAD,False,
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,ARREST_DISPOSAL,True,Persons in custody or on bail during the stage of investigation at the beginning of the year; Persons arrested during the year; Persons in custody or on bail during the stage of investigation at the end of the year; Persons in whose cases charge sheets were laid during the year; Persons under trial at the beginning of the year; Total number of persons under trial during the year; Persons in custody or on bail during the stage of trial at the end of the year; Persons in whose cases trials were completed during the year,True,STATE/UT,False,,True,CRIME HEAD,False,
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,ARREST_DISPOSAL,True,Year,True,States/UTs,False,,True,Crime Head,False,
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,ARREST_DISPOSAL,True,Persons in custody or on bail during the stage of investigation at the beginning of the year; Persons arrested during the year; Persons in custody or on bail during the stage of investigation at the end of the year; Persons in whose cases charge sheets were laid during the year; Persons under trial at the beginning of the year; Total number of persons under trial during the year; Persons in custody or on bail during the stage of trial at the end of the year; Persons in whose cases trials were completed during the year,True,STATE/UT,False,,True,CRIME HEAD,False,
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2013.csv,ARREST_DISPOSAL,True,Persons in custody or on bail during the stage of investigation at the beginning of the year; Persons arrested during the year; Persons in custody or on bail during the stage of investigation at the end of the year; Persons in whose cases charge sheets were laid during the year; Persons under trial at the beginning of the year; Total number of persons under trial during the year; Persons in custody or on bail during the stage of trial at the end of the year; Persons in whose cases trials were completed during the year,True,STATE/UT,False,,True,CRIME HEAD,False,
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2014.csv,ARREST_DISPOSAL,True,Year,True,States/UTs,False,,True,Crime Head,False,
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2012.csv,ARREST_DISPOSAL,True,Persons in custody or on bail during the stage of investigation at the beginning of the year; Persons arrested during the year; Persons in custody or on bail during the stage of investigation at the end of the year; Persons in whose cases charge sheets were laid during the year; Persons under trial at the beginning of the year; Total number of persons under trial during the year; Persons in custody or on bail during the stage of trial at the end of the year; Persons in whose cases trials were completed during the year,True,STATE/UT,False,,True,CRIME HEAD,False,
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2013.csv,ARREST_DISPOSAL,True,Persons in custody or on bail during the stage of investigation at the beginning of the year; Persons arrested during the year; Persons in custody or on bail during the stage of investigation at the end of the year; Persons in whose cases charge sheets were laid during the year; Persons under trial at the beginning of the year; Total number of persons under trial during the year; Persons in custody or on bail during the stage of trial at the end of the year; Persons in whose cases trials were completed during the year,True,STATE/UT,False,,True,CRIME HEAD,False,
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2014.csv,ARREST_DISPOSAL,True,Year,True,States/UTs,False,,True,Crime Head,False,
07_01_Persons_arrested_by_sex_and_age_group_IPC_2012.csv,ARREST_DISPOSAL,False,,True,STATE/UT,False,,True,CRIME HEAD,False,
07_01_Persons_arrested_by_sex_and_age_group_IPC_2013.csv,ARREST_DISPOSAL,False,,True,STATE/UT,False,,True,CRIME HEAD,False,
07_01_Persons_arrested_by_sex_and_age_group_IPC_2014.csv,ARREST_DISPOSAL,True,Year,True,States/UTs,False,,True,Crime Head,False,
