File,Source_Rows,Source_State_Year_Keys,Source_States,Source_Years,Master_Rows_For_Those_Years,Master_States_For_Those_Years,Status
01_District_wise_crimes_committed_IPC_2001_2012.csv,9017,420,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",420,35,CHECKED
01_District_wise_crimes_committed_IPC_2013.csv,823,35,35,2013,35,35,CHECKED
01_District_wise_crimes_committed_IPC_2014.csv,838,36,36,2014,36,36,CHECKED
02_01_District_wise_crimes_committed_against_SC_2001_2012.csv,9018,420,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",420,35,CHECKED
02_01_District_wise_crimes_committed_against_SC_2013.csv,823,35,35,2013,35,35,CHECKED
02_01_District_wise_crimes_committed_against_SC_2014.csv,837,36,36,2014,36,36,CHECKED
02_District_wise_crimes_committed_against_ST_2001_2012.csv,9018,420,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",420,35,CHECKED
02_District_wise_crimes_committed_against_ST_2013.csv,823,35,35,2013,35,35,CHECKED
02_District_wise_crimes_committed_against_ST_2014.csv,837,36,36,2014,36,36,CHECKED
03_District_wise_crimes_committed_against_children_2001_2012.csv,9015,420,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",420,35,CHECKED
03_District_wise_crimes_committed_against_children_2013.csv,823,35,35,2013,35,35,CHECKED
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,494,35,35,2012,35,35,CHECKED
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,494,35,35,2013,35,35,CHECKED
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,2028,36,36,2014,36,36,CHECKED
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,1026,35,35,2012,35,35,CHECKED
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2013.csv,418,35,35,2013,35,35,CHECKED
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2014.csv,2730,36,36,2014,36,36,CHECKED
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2012.csv,1140,35,35,2012,35,35,CHECKED
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2013.csv,1140,35,35,2013,35,35,CHECKED
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2014.csv,3432,36,36,2014,36,36,CHECKED
07_01_Persons_arrested_by_sex_and_age_group_IPC_2012.csv,1140,35,35,2012,35,35,CHECKED
07_01_Persons_arrested_by_sex_and_age_group_IPC_2013.csv,1140,35,35,2013,35,35,CHECKED
07_01_Persons_arrested_by_sex_and_age_group_IPC_2014.csv,3432,36,36,2014,36,36,CHECKED
07_02_Persons_arrested_by_sex_and_age_group_SLL_2012.csv,1026,35,35,2012,35,35,CHECKED
07_02_Persons_arrested_by_sex_and_age_group_SLL_2013.csv,1026,35,35,2013,35,35,CHECKED
07_02_Persons_arrested_by_sex_and_age_group_SLL_2014.csv,2730,36,36,2014,36,36,CHECKED
