File,Rows,Columns,Unique_States,Years,Number_of_Years,State_Year_Combinations
01_District_wise_crimes_committed_IPC_2001_2012.csv,9017,33,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",12,420
01_District_wise_crimes_committed_IPC_2013.csv,823,33,35,2013,1,35
01_District_wise_crimes_committed_IPC_2014.csv,838,91,36,2014,1,36
02_01_District_wise_crimes_committed_against_SC_2001_2012.csv,9018,13,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",12,420
02_01_District_wise_crimes_committed_against_SC_2013.csv,823,13,35,2013,1,35
02_01_District_wise_crimes_committed_against_SC_2014.csv,837,66,36,2014,1,36
02_District_wise_crimes_committed_against_ST_2001_2012.csv,9018,13,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",12,420
02_District_wise_crimes_committed_against_ST_2013.csv,823,13,35,2013,1,35
02_District_wise_crimes_committed_against_ST_2014.csv,837,66,36,2014,1,36
03_District_wise_crimes_committed_against_children_2001_2012.csv,9015,15,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",12,420
03_District_wise_crimes_committed_against_children_2013.csv,823,16,35,2013,1,35
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,494,14,35,2012,1,35
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,494,14,35,2013,1,35
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,2028,57,36,2014,1,36
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,1026,14,35,2012,1,35
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2013.csv,418,14,35,2013,1,35
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2014.csv,2730,57,36,2014,1,36
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2012.csv,1140,14,35,2012,1,35
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2013.csv,1140,14,35,2013,1,35
04_02_Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2014.csv,3432,57,36,2014,1,36
07_01_Persons_arrested_by_sex_and_age_group_IPC_2012.csv,1140,15,35,2012,1,35
07_01_Persons_arrested_by_sex_and_age_group_IPC_2013.csv,1140,15,35,2013,1,35
07_01_Persons_arrested_by_sex_and_age_group_IPC_2014.csv,3432,18,36,2014,1,36
07_02_Persons_arrested_by_sex_and_age_group_SLL_2012.csv,1026,15,35,2012,1,35
07_02_Persons_arrested_by_sex_and_age_group_SLL_2013.csv,1026,15,35,2013,1,35
07_02_Persons_arrested_by_sex_and_age_group_SLL_2014.csv,2730,18,36,2014,1,36
08_01_Juvenile_apprehended_state_IPC.csv,10500,12,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
08_02_Juvenile_apprehended_state_SLL.csv,9450,12,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
09_Juveniles_arrested_and_their_disposal.csv,349,10,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,349
10_Property_stolen_and_recovered.csv,2449,8,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
11_Property_stolen_and_recovered_nature_of_property.csv,4550,8,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
12_Police_strength_actual_and_sanctioned.csv,4188,16,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,349
13_Police_killed_or_injured_on_duty.csv,2450,18,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
14_Age_profile_of_police_personnel_killed_on_duty.csv,350,8,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
15_Police_natural_death_and_suicide.csv,700,9,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
16_Casualties_under_police_firing_and_lathi_charge.csv,1749,8,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
17_Case_reported_and_value_of_property_taken_away_by_place_of_occurrence_2001_2012.csv,4344,11,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",12,420
17_Case_reported_and_value_of_property_taken_away_by_place_of_occurrence_2013.csv,385,11,35,2013,1,35
17_Crime_by_place_of_occurrence_2001_2012.csv,456,34,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",12,419
17_Crime_by_place_of_occurrence_2013.csv,38,34,35,2013,1,35
17_Crime_by_place_of_occurrence_2014.csv,39,82,36,2014,1,36
18_01_Juveniles_arrested_Education.csv,350,8,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
18_02_Juveniles_arrested_Economic_setup.csv,350,10,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
18_03_Juveniles_arrested_Family_background.csv,350,7,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
18_04_Juveniles_arrested_Recidivism.csv,350,6,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
19_Motive_or_cause_of_murder_and_culpable_homicide_not_amounting_to_murder.csv,350,30,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
20_Victims_of_rape.csv,1050,11,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
21_Offenders_known_to_the_victim.csv,350,7,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
22_Persons_arrested_under_recidivism.csv,350,7,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
23_Anti_corruprion_cases.csv,346,29,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,346
24_Anti_corruption_arrests.csv,347,24,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,347
25_Complaints_against_police.csv,350,22,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,350
27_Nature_of_complaints_received_by_police.csv,349,10,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,349
28_Trial_of_violent_crimes_by_courts.csv,4473,7,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,346
29_Period_of_trials_by_courts.csv,1786,11,35,"2004, 2005, 2006, 2007, 2008, 2009, 2010",7,245
30_Auto_theft.csv,1865,7,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,344
31_Serious_fraud.csv,448,9,33,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,236
32_Murder_victim_age_sex.csv,1018,11,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,342
33_CH_not_murder_victim_age_sex.csv,936,10,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,326
34_Use_of_fire_arms_in_murder_cases.csv,284,5,33,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,284
35_Human_rights_violation_by_police.csv,2267,7,31,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,215
36_Police_housing.csv,1044,7,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,348
37_Home_guards_and_auxilliary_force.csv,333,8,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,333
38_Unidentified_dead_bodies_recovered_and_inquest_conducted.csv,314,3,34,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,314
39_Specific_purpose_of_kidnapping_and_abduction.csv,3569,20,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,338
40_01_Custodial_death_person_remanded.csv,211,11,32,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,211
40_02_Custodial_death_person_not_remanded.csv,228,11,30,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",10,228
