target,source_column,role
TARGET_VIOLENT_LEVEL,IPC_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_RIOTS,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_RIOTS_COMMUNAL,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_RIOTS_INDUSTRIAL,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_RIOTS_POLITICAL,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_RIOTS_CASTE_CONFLICT,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_RIOTS_AGRARIAN,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_RIOTS_STUDENTS,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_RIOTS_SECTARIAN,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_RAPE,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_OTHER_RAPE,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_CUSTODIAL_RAPE,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_CUSTODIAL_GANG_RAPE,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_RAPE_GANG_RAPE,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_RAPE_OTHERS,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_MURDER,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_PREPARATION_AND_ASSEMBLY_FOR_DACOITY,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_DOWRY_DEATHS,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_ROBBERY,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_DACOITY,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_OTHER_DACOITY,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_DACOITY_WITH_MURDER,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_KIDNAPPING_AND_ABDUCTION_OF_OTHERS,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_KIDNAPPING_ABDUCTION,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_KIDNAPPING_FOR_RANSOM,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_ARSON,target_construction_source
TARGET_VIOLENT_LEVEL,IPC_ATTEMPT_TO_MURDER,target_construction_source
