violent_crime_group,count,mean,std,min,25%,50%,75%,max
_TARGETGROUP_CHNOT_AMOUNTING_TO_MURDER,9631.0,5.584882151386149,17.443522152723297,0.0,0.0,2.0,6.0,1268.0
_TARGETGROUP_RIOTS,9631.0,94.805004672412,263.79934903693953,0.0,10.0,42.0,112.0,11931.0
_TARGETGROUP_RAPE,9631.0,69.56608867199668,190.4180326909454,0.0,16.0,42.0,84.0,8670.0
_TARGETGROUP_MURDER,9631.0,49.87405253867719,99.74099908157736,0.0,17.0,36.0,62.0,5047.0
_TARGETGROUP_PREPARATION_AND_ASSEMBLY_FOR_DACOITY,8902.0,4.18153223994608,21.491667452812635,0.0,0.0,0.0,2.0,1099.0
_TARGETGROUP_DOWRY_DEATH,9631.0,11.784965216488423,33.41942723343624,0.0,0.0,5.0,16.0,2335.0
_TARGETGROUP_ROBBERY,9631.0,34.385629737306616,137.03482126815575,0.0,6.0,16.0,35.0,9746.0
_TARGETGROUP_DACOITY,9631.0,7.505762641470253,18.32427822305674,0.0,1.0,3.0,9.0,833.0
_TARGETGROUP_KIDNAPPING_ABDUCTION,9631.0,104.56868445644274,416.97825238384235,0.0,16.0,46.0,108.0,22366.0
_TARGETGROUP_ARSON,9631.0,13.643962205378465,37.43739689165204,0.0,2.0,7.0,18.0,2350.0
_TARGETGROUP_ATTEMPT_TO_MURDER,8902.0,45.5796450235902,115.87554825827856,0.0,10.0,27.0,55.0,5259.0
