column,structural_group,crime_family,is_aggregate,dtype,missing_count,missing_percentage,unique_values
CHILDREN_ABETMENT_OF_SUICIDE,CHILDREN,OTHER_CRIME,False,float64,1002,10.17,14
CHILDREN_BUYING_OF_GIRLS_FOR_PROSTITUTION,CHILDREN,OTHER_CRIME,False,float64,1002,10.17,15
CHILDREN_EXPOSURE_AND_ABANDONMENT,CHILDREN,OTHER_CRIME,False,float64,1002,10.17,37
CHILDREN_FOETICIDE,CHILDREN,OTHER_CRIME,False,float64,1002,10.17,19
CHILDREN_INFANTICID,CHILDREN,OTHER_CRIME,False,float64,9121,92.54,6
CHILDREN_OTHER_CRIMES,CHILDREN,OTHER_CRIME,True,float64,1002,10.17,194
CHILDREN_PROCURATION_OF_MINOR_GIRLS,CHILDREN,OTHER_CRIME,False,float64,1002,10.17,53
CHILDREN_PROHIBITION_OF_CHILD_MARRIAGE_ACT,CHILDREN,OTHER_CRIME,False,float64,1002,10.17,16
CHILDREN_SELLING_OF_GIRLS_FOR_PROSTITUTION,CHILDREN,OTHER_CRIME,False,float64,1002,10.17,27
CHILDREN_TOTAL,CHILDREN,OTHER_CRIME,True,float64,992,10.06,358
IPC_ACID_ATTACK,IPC,OTHER_CRIME,False,float64,9127,92.6,8
IPC_ASSAULT_OR_USE_OF_CRIMINAL_FORCE_TO_WOMEN_WITH_INTENT_TO_DISROBE,IPC,OTHER_CRIME,False,float64,9127,92.6,71
IPC_ATTEMPT_TO_ACID_ATTACK,IPC,OTHER_CRIME,False,float64,9127,92.6,4
IPC_AT_OFFICE_PREMISES,IPC,OTHER_CRIME,False,float64,9127,92.6,6
IPC_CAUSING_DEATH_BY_NEGLIGENCE,IPC,OTHER_CRIME,False,float64,225,2.28,696
IPC_COUNTERFEIT_CURRENCY_BANK_NOTES,IPC,OTHER_CRIME,False,float64,9127,92.6,26
IPC_COUNTERFEIT_OFFENCES_RELATED_TO_COUNTERFEIT_COIN,IPC,OTHER_CRIME,False,float64,9127,92.6,6
IPC_COUNTERFIETING,IPC,OTHER_CRIME,False,float64,954,9.68,93
IPC_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IPC,OTHER_CRIME,False,float64,225,2.28,732
IPC_DEATHS_DUE_TO_NEGLIGENT_DRIVING_ACT,IPC,OTHER_CRIME,False,float64,9127,92.6,324
IPC_DEATHS_DUE_TO_OTHER_CAUSES,IPC,OTHER_CRIME,False,float64,9127,92.6,59
IPC_DISCLOSURE_OF_IDENTITY_OF_VICTIMS,IPC,OTHER_CRIME,False,float64,9127,92.6,3
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,IPC,OTHER_CRIME,False,float64,954,9.68,24
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,IPC,OTHER_CRIME,False,float64,9127,92.6,5
IPC_IMPUTATION_ASSERTIONS_PREJUDICIAL_TO_NATIONAL_INTEGRATION,IPC,OTHER_CRIME,False,float64,9127,92.6,3
IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,IPC,OTHER_CRIME,False,float64,9127,92.6,71
IPC_IN_PUBLIC_TRANSPORT_SYSTEM,IPC,OTHER_CRIME,False,float64,9127,92.6,7
IPC_MAKING_OR_POSSESSING_MATERIALS_FOR_FORGED_CURRENCY_BANK_NOTES,IPC,OTHER_CRIME,False,float64,9127,92.6,4
IPC_MAKING_OR_USING_DOCUMENTS_RESEMBLING_CURRENCY,IPC,OTHER_CRIME,False,float64,9127,92.6,5
IPC_OFFENCES_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,IPC,OTHER_CRIME,False,float64,9127,92.6,14
IPC_OTHER_ASSAULT_ON_WOMEN,IPC,OTHER_CRIME,False,float64,9127,92.6,205
IPC_OTHER_IPC_CRIMES,IPC,OTHER_CRIME,True,float64,225,2.28,3072
IPC_OTHER_PLACES_RELATED_TO_WORK,IPC,OTHER_CRIME,False,float64,9127,92.6,15
IPC_PLACES_OTHER_THAN_231_232_233,IPC,OTHER_CRIME,False,float64,9127,92.6,72
IPC_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,IPC,OTHER_CRIME,False,float64,9127,92.6,14
IPC_TOTAL_COGNIZABLE_IPC_CRIMES,IPC,OTHER_CRIME,True,float64,9127,92.6,686
IPC_TOTAL_IPC_CRIMES,IPC,OTHER_CRIME,True,float64,954,9.68,4802
SC_IPC_ACID_ATTACK,SC,OTHER_CRIME,False,float64,9128,92.61,1
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,SC,OTHER_CRIME,False,float64,9128,92.61,7
SC_IPC_ATTEMPT_TO_ACID_ATTACK,SC,OTHER_CRIME,False,float64,9128,92.61,1
SC_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,SC,OTHER_CRIME,False,float64,9128,92.61,7
SC_IPC_OTHER_IPC_CRIMES,SC,OTHER_CRIME,True,float64,9128,92.61,46
SC_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,SC,OTHER_CRIME,False,float64,9128,92.61,1
SC_OTHER_CRIMES_AGAINST_SCS,SC,OTHER_CRIME,True,float64,1003,10.18,270
SC_OTHER_SLL_CRIME_AGAINST_SCS,SC,OTHER_CRIME,False,float64,9128,92.61,12
SC_POA_ACID_ATTACK,SC,OTHER_CRIME,False,float64,9128,92.61,2
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,SC,OTHER_CRIME,False,float64,9128,92.61,8
SC_POA_ATTEMPT_TO_ACID_ATTACK,SC,OTHER_CRIME,False,float64,9128,92.61,2
SC_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,SC,OTHER_CRIME,False,float64,9128,92.61,7
SC_POA_OTHER_IPC_CRIMES,SC,OTHER_CRIME,True,float64,9128,92.61,133
SC_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,SC,OTHER_CRIME,False,float64,9128,92.61,84
SC_PREVENTION_OF_ATROCITIES_POA_ACT,SC,OTHER_CRIME,False,float64,1003,10.18,207
SC_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,SC,OTHER_CRIME,False,float64,9128,92.61,9
SC_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,SC,OTHER_CRIME,False,float64,1003,10.18,49
SC_TOTAL_CRIMES_AGAINST_SCS,SC,OTHER_CRIME,True,float64,9128,92.61,195
SC_TOTAL_IPC_CRIMES_AGAINST_SCS,SC,OTHER_CRIME,True,float64,9128,92.61,51
SC_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,SC,OTHER_CRIME,True,float64,9128,92.61,185
ST_IPC_ACID_ATTACK,ST,OTHER_CRIME,False,float64,9128,92.61,1
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,ST,OTHER_CRIME,False,float64,9128,92.61,6
ST_IPC_ATTEMPT_TO_ACID_ATTACK,ST,OTHER_CRIME,False,float64,9128,92.61,1
ST_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,ST,OTHER_CRIME,False,float64,9128,92.61,5
ST_IPC_OTHER_IPC_CRIMES,ST,OTHER_CRIME,True,float64,9128,92.61,30
ST_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,ST,OTHER_CRIME,False,float64,9128,92.61,1
ST_OTHER_CRIMES_AGAINST_STS,ST,OTHER_CRIME,True,float64,968,9.82,99
ST_OTHER_SLL_CRIME_AGAINST_STS,ST,OTHER_CRIME,False,float64,9128,92.61,9
ST_POA_ACID_ATTACK,ST,OTHER_CRIME,False,float64,9128,92.61,2
ST_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,ST,OTHER_CRIME,False,float64,9128,92.61,5
ST_POA_ATTEMPT_TO_ACID_ATTACK,ST,OTHER_CRIME,False,float64,9128,92.61,1
ST_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,ST,OTHER_CRIME,False,float64,9128,92.61,3
ST_POA_OTHER_IPC_CRIMES,ST,OTHER_CRIME,True,float64,9128,92.61,48
ST_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,ST,OTHER_CRIME,False,float64,9128,92.61,28
ST_PREVENTION_OF_ATROCITIES_POA_ACT,ST,OTHER_CRIME,False,float64,968,9.82,72
ST_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,ST,OTHER_CRIME,False,float64,9128,92.61,2
ST_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,ST,OTHER_CRIME,False,float64,968,9.82,19
ST_TOTAL_CRIMES_AGAINST_STS,ST,OTHER_CRIME,True,float64,9128,92.61,79
ST_TOTAL_IPC_CRIMES_AGAINST_STS,ST,OTHER_CRIME,True,float64,9128,92.61,31
ST_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,ST,OTHER_CRIME,True,float64,9128,92.61,68
WOMEN_ABETMENT_OF_SUICIDES_OF_WOMEN,WOMEN,OTHER_CRIME,False,float64,9128,92.61,49
WOMEN_ACID_ATTACK,WOMEN,OTHER_CRIME,False,float64,9128,92.61,6
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,WOMEN,OTHER_CRIME,False,float64,9128,92.61,71
WOMEN_ATTEMPT_TO_ACID_ATTACK,WOMEN,OTHER_CRIME,False,float64,9128,92.61,3
WOMEN_AT_OFFICE_PREMISES,WOMEN,OTHER_CRIME,False,float64,9128,92.61,6
WOMEN_CAUSING_MISCARRIAGE_WITHOUT_CONSENT_OF_WOMEN,WOMEN,OTHER_CRIME,False,float64,9128,92.61,8
WOMEN_COMMISSION_OF_SATI_PREVENTION_ACT_1987,WOMEN,OTHER_CRIME,False,float64,9128,92.61,1
WOMEN_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,WOMEN,OTHER_CRIME,False,float64,226,2.29,732
WOMEN_DEATHS_CAUSED_WITH_INTENT_TO_CAUSE_MISCARRIAGE,WOMEN,OTHER_CRIME,False,float64,9128,92.61,2
WOMEN_DOWRY_PROHIBITION_ACT_1961,WOMEN,OTHER_CRIME,False,float64,9128,92.61,91
WOMEN_IMMORAL_TRAFFIC_PREVENTION_ACT,WOMEN,OTHER_CRIME,False,float64,9128,92.61,29
WOMEN_IMPORTATION_OF_GIRLS,WOMEN,OTHER_CRIME,False,float64,954,9.68,24
WOMEN_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,WOMEN,OTHER_CRIME,False,float64,9128,92.61,5
WOMEN_INDECENT_REPRESENTATION_OF_WOMEN_P_ACT_1986,WOMEN,OTHER_CRIME,False,float64,9128,92.61,6
WOMEN_INSULT_TO_THE_MODESTY_OF_WOMEN_TOTAL,WOMEN,OTHER_CRIME,True,float64,9128,92.61,71
WOMEN_IN_OTHER_PLACES,WOMEN,OTHER_CRIME,False,float64,9128,92.61,72
WOMEN_IN_PLACES_RELATED_TO_WORK,WOMEN,OTHER_CRIME,False,float64,9128,92.61,15
WOMEN_IN_PUBLIC_TRANSPORT_SYSTEM,WOMEN,OTHER_CRIME,False,float64,9128,92.61,7
WOMEN_ITP_UNDER_OTHER_SECTIONS,WOMEN,OTHER_CRIME,False,float64,9128,92.61,22
WOMEN_ITP_UNDER_SECTION_5,WOMEN,OTHER_CRIME,False,float64,9128,92.61,17
WOMEN_ITP_UNDER_SECTION_6,WOMEN,OTHER_CRIME,False,float64,9128,92.61,7
